run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image,p_chosen
1,1,DEV,scram,74,0.75161,74,55.8577,551,8.0648,8.6315,8.6821,9.5814,5.1,scram_2.png,0.0288249138891791
1,2,DEV,scram,73,0.64938,0,47.5928,984,14.7313,15.7312,15.7813,16.6811,1.1,scram_7.png,1.1964674382324e-09
1,3,DEV,scram,75,0.51029,0,38.2241,1718,17.7811,19.5143,19.5644,20.4643,2.1,scram_20.png,8.07962178934247e-26
1,4,DEV,scram,76,0.41071,0,31.0517,2467,22.5643,25.0474,25.0975,25.9974,5.1,scram_12.png,1.59299306414863e-31
1,5,DEV,scram,78,0.32941,78,25.7293,3367,31.0972,34.4804,34.5304,35.4303,0.1,scram_19.png,4.35450961456338e-05
1,6,DEV,scram,86,0.31902,86,27.5733,3501,35.5304,39.0468,39.0969,39.9969,0.1,scram_4.png,0.00567798861216332
1,7,DEV,scram,82,0.30366,0,24.8686,3701,40.0969,43.8133,43.8633,44.7633,1.1,scram_15.png,0.000328557636248369
1,8,DEV,scram,78,0.32941,0,25.7293,3367,45.8633,49.2464,49.2964,50.1964,0.1,scram_24.png,4.74753678153258e-09
1,9,DEV,scram,83,0.29081,0,24.2144,3867,50.2964,54.1795,54.2296,55.1295,3.1,scram_5.png,7.22534560750347e-15
1,10,DEV,scram,73,0.80338,73,58.3052,351,58.2294,58.596,58.6461,59.5459,3.1,scram_9.png,0.0436155961250946
1,11,DEV,scram,72,0.7391,72,52.9999,601,62.6459,63.2625,63.3125,64.2124,0.1,scram_18.png,0.00139942926714102
1,12,DEV,scram,72,0.76431,72,54.9605,501,64.3125,64.829,64.8791,65.779,1.1,scram_3.png,0.00931399964489898
1,13,DEV,scram,74,0.75161,74,55.8577,551,66.879,67.4456,67.4957,68.3955,1.1,scram_21.png,0.00578215435606103
1,14,DEV,scram,73,0.76431,73,55.7248,501,69.4956,70.0121,70.0622,70.9621,1.1,scram_17.png,0.0115945720041165
1,15,DEV,scram,66,0.81217,66,53.811,318,72.0621,72.3954,72.4454,73.3454,4.1,scram_1.png,0.0443698909254548
1,16,DEV,scram,69,0.81672,69,56.4253,301,77.4452,77.7618,77.8118,78.7118,10.1,scram_16.png,0.0463217711924127
1,17,DEV,scram,68,0.78158,0,53.4091,434,88.8114,89.2613,89.3113,90.2113,1.1,scram_14.png,0.0259552344985888
1,18,DEV,scram,69,0.74333,69,50.9758,584,91.3113,91.9112,91.9613,92.8612,2.1,scram_6.png,0.00922772372452059
1,19,DEV,scram,82,0.30497,0,24.9638,3684,94.9611,98.6609,98.711,99.6109,5.1,scram_22.png,1.72456272305808e-27
1,20,DEV,scram,73,0.76866,73,55.9327,484,104.7107,105.2106,105.2607,106.1606,0.1,scram_23.png,0.0188766104409914
1,21,DEV,scram,76,0.75591,0,57.5853,534,106.2606,106.8106,106.8606,107.7605,0.1,scram_13.png,0.0143103602827202
1,22,DEV,scram,69,0.70668,69,48.5364,734,107.8605,108.6105,108.6605,109.5604,0.1,scram_25.png,0.00251276995399879
1,23,DEV,scram,73,0.61387,73,44.957,1151,109.6605,110.827,110.8771,111.777,0.1,scram_11.png,6.64236765973938e-06
1,24,DEV,scram,76,0.51029,0,38.7344,1718,111.8771,113.6103,113.6603,114.5602,4.1,scram_10.png,3.10241285760864e-14
1,25,DEV,scram,78,0.40522,0,31.5122,2518,118.6601,121.1933,121.2433,122.1432,2.1,scram_8.png,1.59100632194365e-26
1,26,DEV,scram,80,0.35364,0,28.4118,3067,124.2432,127.3263,127.3764,128.2763,8.1,scram_21.png,6.65820415857646e-28
1,27,DEV,scram,82,0.31264,82,25.5199,3584,136.376,139.9758,140.0258,140.9257,4.1,scram_16.png,1.04486990727759e-22
1,28,DEV,scram,84,0.31395,0,26.2418,3567,145.0422,148.6254,148.6755,149.5754,0.1,scram_14.png,1.58045963768615e-24
1,29,DEV,scram,74,0.77277,74,56.8998,468,149.6754,150.1587,150.2087,151.1086,3.1,scram_19.png,0.0196800650060888
1,30,DEV,scram,75,0.62785,75,47.0046,1084,154.2086,155.3084,155.3585,156.2584,2.1,scram_23.png,5.48248128197036e-06
1,31,DEV,scram,71,0.67926,0,48.5444,851,158.3584,159.2249,159.275,160.1749,0.1,scram_4.png,0.000286026459291458
1,32,DEV,scram,81,0.50239,0,40.7498,1768,160.2749,162.0581,162.1082,163.0082,1.1,scram_3.png,1.88208769848685e-16
1,33,DEV,scram,81,0.42372,81,34.4201,2351,164.1081,166.4746,166.5246,167.4246,1.1,scram_1.png,1.48517249674252e-21
1,34,DEV,scram,77,0.40522,77,31.107,2518,168.5246,171.0578,171.1078,172.0077,7.1,scram_13.png,4.56734114031431e-20
1,35,DEV,scram,78,0.63852,78,49.5372,1034,179.1074,180.1573,180.2074,181.1073,0.1,scram_7.png,1.51581024266341e-05
1,36,DEV,scram,73,0.53516,0,39.2092,1568,181.2074,182.7906,182.8406,183.7405,0.1,scram_8.png,9.09111101916858e-12
1,37,DEV,scram,73,0.68689,73,50.3156,818,183.8406,184.6738,184.7239,185.6238,2.1,scram_18.png,0.000358753439441068
1,38,DEV,scram,68,0.79019,68,53.7645,401,187.7238,188.1403,188.1904,189.0903,0.1,scram_10.png,0.0299988444971094
1,39,DEV,scram,76,0.70668,76,53.4832,734,189.1904,189.9402,189.9903,190.8902,0.1,scram_15.png,0.00154780513276894
1,40,DEV,scram,74,0.6529,74,48.4414,968,190.9903,191.9735,192.0236,192.9235,1.1,scram_5.png,5.92475983518041e-05
1,41,DEV,scram,73,0.73488,73,53.5279,618,194.0567,194.6901,194.7401,195.64,8.1,scram_11.png,0.00671375687687407
1,42,DEV,scram,72,0.77717,72,56.332,451,203.7397,204.2063,204.2563,205.1563,11.1,scram_17.png,0.0220966795469313
1,43,DEV,scram,74,0.73488,74,54.2628,618,216.2558,216.8891,216.9391,217.8391,0.1,scram_9.png,0.00704026660611303
1,44,DEV,scram,67,0.75161,67,50.5964,551,217.9391,218.5057,218.5557,219.4556,0.1,scram_25.png,0.0122333616456119
1,45,DEV,scram,76,0.7146,76,54.631,701,219.5557,220.2723,220.3223,221.2222,4.1,scram_12.png,0.00346025211529507
1,46,DEV,scram,78,0.62071,78,48.4496,1118,225.3221,226.4553,226.5054,227.4053,0.1,scram_20.png,1.69742794413034e-05
1,47,DEV,scram,84,0.48481,0,40.516,1884,227.5053,229.4052,229.4552,230.3552,0.1,scram_22.png,2.20187754222624e-14
1,48,DEV,scram,70,0.74734,70,52.6515,568,230.4552,231.0384,231.0885,231.9884,3.1,scram_6.png,0.010782724069142
1,49,DEV,scram,78,0.69483,78,54.2145,784,235.0884,235.8883,235.9383,236.8382,6.1,scram_2.png,0.00160653278651038
1,50,DEV,scram,75,0.7146,75,53.9164,701,242.938,243.6546,243.7047,244.6046,12.1,scram_24.png,0.00369775234478727
2,51,IEV,happy,23,0.89203,23,20.1052,518,8.0531,8.5865,8.6365,9.5364,0.1,happy_8.png,0.021551534932258
2,52,IEV,happy,20,0.88197,20,17.3928,768,9.6531,10.4364,10.4864,11.3864,0.1,happy_20.png,0.00853914150858577
2,53,IEV,happy,30,0.84736,30,25.5001,1268,11.5031,12.7863,12.8363,13.7362,0.1,happy_23.png,0.00286039970250517
2,54,IEV,happy,43,0.77691,43,33.197,1884,13.853,15.7528,15.8029,16.7028,2.1,happy_21.png,0.0155469306002403
2,55,IEV,happy,58,0.65418,58,38.0596,2634,18.8194,21.4692,21.5193,22.4192,4.1,happy_13.png,0.0204932085576823
2,56,IEV,happy,83,0.53256,83,44.2426,3251,26.5357,29.8022,29.8523,30.7522,1.1,happy_16.png,0.0311813560689149
2,57,IEV,happy,120,0.42847,0,51.5061,3751,31.8688,35.6353,35.6853,36.5852,0.1,happy_1.png,2.80215103943737e-12
2,58,IEV,happy,87,0.51895,0,44.976,3317,36.702,40.0351,40.0851,40.985,6.1,happy_11.png,5.25920058918085e-07
2,59,IEV,happy,120,0.42847,0,51.5061,3751,47.1015,50.8679,50.918,51.818,2.1,happy_17.png,2.25924998730466e-13
2,60,IEV,happy,22,0.8776,22,18.9533,851,53.9345,54.8011,54.8511,55.7511,2.1,happy_18.png,1.04350801711887e-07
2,61,IEV,happy,29,0.81105,29,23.6435,1618,57.8677,59.5009,59.5509,60.4509,4.1,happy_15.png,0.000299509255427517
2,62,IEV,happy,42,0.73211,42,30.8812,2184,64.5674,66.7672,66.8172,67.7172,0.1,happy_24.png,0.0203841575643798
2,63,IEV,happy,61,0.63541,61,38.6622,2734,67.8339,70.5837,70.6338,71.5337,0.1,happy_22.png,0.00157701982846392
2,64,IEV,happy,80,0.53955,80,43.319,3217,71.6504,74.8836,74.9336,75.8336,1.1,happy_6.png,5.69323772805049e-06
2,65,IEV,happy,110,0.4667,0,51.3444,3568,76.9502,80.5333,80.5833,81.4833,1.1,happy_4.png,7.97600857535485e-11
2,66,IEV,happy,19,0.8897,19,16.9663,587,82.6,83.1999,83.2499,84.1498,0.1,happy_14.png,3.04541866999612e-12
2,67,IEV,happy,34,0.82962,34,28.2811,1451,84.2666,85.7331,85.7831,86.6831,1.1,happy_7.png,2.4945605000686e-07
2,68,IEV,happy,110,0.44246,110,48.7392,3684,87.7997,91.4995,91.5495,92.4495,9.1,happy_5.png,8.89710550121024e-07
2,69,IEV,happy,121,0.4216,0,50.9286,3784,101.5658,105.3656,105.4156,106.3155,4.1,happy_9.png,8.49184592412749e-09
2,70,IEV,happy,128,0.40434,128,51.6093,3867,110.4321,114.3152,114.3652,115.2651,3.1,happy_2.png,0.000255157388672817
2,71,IEV,happy,128,0.39729,128,50.687,3901,118.3817,122.2982,122.3482,123.2481,8.1,happy_3.png,0.0150681191147731
2,72,IEV,happy,130,0.41452,0,53.6984,3818,131.3645,135.1976,135.2476,136.1476,0.1,happy_25.png,0.00655220144630887
2,73,IEV,happy,131,0.39046,0,50.964,3934,136.2643,140.2141,140.2641,141.164,0.1,happy_10.png,0.000868168552589209
2,74,IEV,happy,18,0.89038,18,15.9537,568,141.2807,141.864,141.914,142.814,1.1,happy_12.png,2.86661690229682e-17
2,75,IEV,happy,28,0.81304,0,22.623,1601,143.9307,145.5471,145.5972,146.4971,1.1,happy_19.png,1.17592010119605e-12
2,76,IEV,happy,55,0.66339,55,36.7709,2584,147.6138,150.2136,150.2636,151.1636,8.1,happy_25.png,0.00117388030416296
