run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image,p_chosen
1,41,DEV,scram,72,0.75997,72,54.7556,518,162.5588,163.0921,163.1421,164.0421,8.1,scram_11.png,0.0135047780004764
1,42,DEV,scram,73,0.77277,73,56.127,468,172.1584,172.6417,172.6917,173.5916,11.1,scram_17.png,0.0188403669618524
1,43,DEV,scram,73,0.76866,73,55.9327,484,184.7078,185.2078,185.2578,186.1577,0.1,scram_9.png,0.0177631110838211
1,44,DEV,scram,66,0.79361,66,52.3153,388,186.2744,186.6744,186.7244,187.6243,0.1,scram_25.png,0.0298214548132317
1,45,DEV,scram,74,0.78158,74,58.0986,434,187.741,188.191,188.241,189.141,4.1,scram_12.png,0.0243486959038292
1,46,DEV,scram,73,0.78914,73,57.6675,405,193.2575,193.6741,193.7241,194.624,0.1,scram_20.png,0.0270056776405101
1,47,DEV,scram,75,0.78158,75,58.8801,434,194.7407,195.1907,195.2407,196.1407,0.1,scram_22.png,0.0242351478887168
1,48,DEV,scram,69,0.78575,69,54.368,418,196.2574,196.6906,196.7407,197.6406,3.1,scram_6.png,0.0254854745916368
1,49,DEV,scram,75,0.79019,75,59.2958,401,200.7571,201.1737,201.2238,202.1237,6.1,scram_2.png,0.0278420466918007
1,50,DEV,scram,73,0.78496,73,57.4748,421,208.2401,208.6734,208.7234,209.6234,12.1,scram_24.png,0.0253061052154549
2,51,IEV,happy,23,0.88981,23,20.5061,584,8.0722,8.6722,8.7222,9.6221,0.1,happy_8.png,0.0209125597555395
2,52,IEV,happy,29,0.83302,29,23.7593,1418,9.7389,11.1721,11.2221,12.122,0.1,happy_20.png,0.00148564820410317
2,53,IEV,happy,32,0.83474,32,26.9071,1401,12.2387,13.6553,13.7053,14.6052,0.1,happy_23.png,0.0119923955401813
2,54,IEV,happy,38,0.80309,38,30.8812,1684,14.7219,16.4218,16.4719,17.3718,2.1,happy_21.png,0.0150414339227597
2,55,IEV,happy,36,0.78144,36,28.1225,1851,19.4884,21.3549,21.405,22.3049,4.1,happy_13.png,0.0143591788657963
2,56,IEV,happy,31,0.79683,31,25.0797,1734,26.4881,28.238,28.2881,29.1879,1.1,happy_16.png,0.0153244657164543
2,57,IEV,happy,56,0.68426,0,38.0235,2468,30.3046,32.7878,32.8378,33.7377,0.1,happy_1.png,6.39863671984666e-07
2,58,IEV,happy,31,0.79886,31,24.8796,1718,33.8544,35.5876,35.6377,36.5376,6.1,happy_11.png,0.0089618627094524
2,59,IEV,happy,34,0.81304,0,27.5012,1601,42.654,44.2707,44.3206,45.2206,2.1,happy_17.png,0.0100315354287813
2,60,IEV,happy,18,0.89398,18,16.1616,451,47.3372,47.8038,47.8539,48.7538,2.1,happy_18.png,0.000380903148392595
2,61,IEV,happy,28,0.82067,28,22.6267,1534,50.8703,52.4202,52.4702,53.3702,4.1,happy_15.png,0.0125002289870608
2,62,IEV,happy,29,0.81105,29,23.6435,1618,57.4867,59.12,59.17,60.0699,0.1,happy_24.png,0.012171583819388
2,63,IEV,happy,31,0.80505,31,25.0634,1668,60.1866,61.8698,61.9199,62.8198,0.1,happy_22.png,0.0115887198617764
2,64,IEV,happy,31,0.79466,31,24.4983,1751,62.9365,64.703,64.7531,65.653,1.1,happy_6.png,0.0104981056431405
2,65,IEV,happy,49,0.73734,0,36.3475,2151,66.7696,68.9362,68.9862,69.8861,1.1,happy_4.png,0.000564120617807876
2,66,IEV,happy,31,0.82613,31,25.3365,1484,71.0028,72.5027,72.5527,73.4526,0.1,happy_14.png,0.0114010709876799
2,67,IEV,happy,35,0.82429,35,28.8276,1501,73.5694,75.0859,75.136,76.0359,1.1,happy_7.png,0.0112612689102007
2,68,IEV,happy,29,0.81304,29,23.436,1601,77.1525,78.7691,78.8191,79.719,9.1,happy_5.png,0.0100048576400325
2,69,IEV,happy,31,0.82067,31,25.0887,1534,88.8353,90.3852,90.4353,91.3352,4.1,happy_9.png,0.010824823669539
2,70,IEV,happy,32,0.81501,32,25.6744,1584,95.4517,97.0516,97.1016,98.0016,3.1,happy_2.png,0.0103929492808137
2,71,IEV,happy,29,0.81501,29,23.2294,1584,101.1181,102.718,102.768,103.668,8.1,happy_3.png,0.0103376086280905
2,72,IEV,happy,37,0.81877,0,30.1997,1551,111.7844,113.3509,113.4009,114.3009,0.1,happy_25.png,0.0097250790790817
2,73,IEV,happy,25,0.83643,25,20.8688,1384,114.4175,115.8174,115.8675,116.7674,0.1,happy_10.png,0.0105758961816152
2,74,IEV,happy,31,0.82067,31,25.0887,1534,116.8841,118.434,118.4841,119.384,1.1,happy_12.png,0.00966543214190359
2,75,IEV,happy,25,0.82783,25,21.0156,1468,120.5006,121.9838,122.0339,122.9338,1.1,happy_19.png,0.0100157781203611
2,76,IEV,happy,28,0.82613,28,22.8581,1484,124.0671,125.567,125.617,126.517,8.1,happy_25.png,0.00979779377504247
2,77,IEV,happy,34,0.81684,34,27.9367,1568,134.6334,136.2166,136.2666,137.1665,1.1,happy_17.png,0.00926723011237271
2,78,IEV,happy,32,0.82067,32,25.9094,1534,138.2832,139.8331,139.8831,140.783,0.1,happy_5.png,0.0094241136534243
2,79,IEV,happy,31,0.81105,31,25.2656,1618,140.8997,142.5329,142.583,143.4829,0.1,happy_18.png,0.00888486124951756
2,80,IEV,happy,27,0.82962,27,22.4738,1451,143.5996,145.0662,145.1162,146.0161,1.1,happy_8.png,0.00983665751108299
2,81,IEV,happy,31,0.80505,31,25.0634,1668,147.1328,148.816,148.866,149.766,1.1,happy_22.png,0.00813425829288678
2,82,IEV,happy,33,0.81684,33,27.1199,1568,150.8826,152.4659,152.5159,153.4158,3.1,happy_21.png,0.00915120411492313
2,83,IEV,happy,29,0.81304,29,23.436,1601,156.5324,158.1489,158.199,159.0989,0.1,happy_7.png,0.00896581794585683
2,84,IEV,happy,35,0.82067,0,28.3714,1534,159.2156,160.7655,160.8155,161.7154,1.1,happy_9.png,0.00877786514361336
2,85,IEV,happy,33,0.80711,33,26.4699,1651,162.8321,164.4986,164.5487,165.4486,8.1,happy_6.png,0.00821156084842094
2,86,IEV,happy,31,0.80915,31,25.4578,1634,173.565,175.2148,175.2649,176.1648,5.1,happy_20.png,0.00844401432056503
2,87,IEV,happy,31,0.82429,31,25.5304,1501,181.2813,182.7978,182.8478,183.7478,7.1,happy_19.png,0.00876863030317487
2,88,IEV,happy,35,0.81877,35,28.5621,1551,190.8642,192.4307,192.4808,193.3807,6.1,happy_14.png,0.00865185670898002
2,89,IEV,happy,31,0.81684,31,25.4862,1568,199.4971,201.0804,201.1304,202.0303,2.1,happy_15.png,0.00860046156419934
2,90,IEV,happy,39,0.77454,0,30.2981,1901,204.1469,206.0635,206.1135,207.0134,0.1,happy_2.png,0.00428935113733846
2,91,IEV,happy,33,0.83643,33,27.5603,1384,207.1301,208.53,208.5801,209.48,6.1,happy_24.png,0.00884747244720841
2,92,IEV,happy,32,0.82244,0,26.5477,1518,215.5964,217.1297,217.1797,218.0796,0.1,happy_16.png,0.0077668885379476
2,93,IEV,happy,32,0.82244,32,26.5477,1518,218.1963,219.7295,219.7796,220.6795,0.1,happy_10.png,0.0077429040682993
2,94,IEV,happy,31,0.80915,31,25.4578,1634,220.7962,222.4461,222.4961,223.3961,3.1,happy_12.png,0.00718873768791928
