run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image,value_softmax_p_chosen,uv_p_chosen
1,1,IEV,fear,24,0.87854,24,21.4462,834,8.0311,8.881,8.9483,9.831,5.1,fear_11.png,0.0218466265362765,3.15365204291104e-22
1,2,IEV,fear,34,0.80098,34,27.0706,1701,14.9475,16.6641,16.7142,17.614,1.1,fear_8.png,0.00702622032259196,3.08769406394608e-18
1,3,IEV,fear,63,0.62586,0,39.2836,2784,18.7307,21.5305,21.5805,22.4805,2.1,fear_17.png,3.32451848273764e-12,1.00163227589006e-14
1,4,IEV,fear,103,0.4598,0,47.478,3601,24.5805,28.1969,28.247,29.1468,0.1,fear_13.png,2.8693234348222e-15,1.65751906150563e-16
1,5,IEV,fear,17,0.87368,17,15.1647,918,29.2469,30.1801,30.2302,31.1301,1.1,fear_5.png,0.0135145385733992,0.000623547492304409
1,6,IEV,fear,25,0.87571,25,21.8625,884,32.2302,33.13,33.18,34.08,3.1,fear_23.png,0.0124606083868903,0.00100156741575808
1,7,IEV,fear,20,0.8776,20,17.1981,851,37.1799,38.0464,38.0965,38.9964,0.1,fear_18.png,0.0113263502992385,0.000843788854101173
1,8,IEV,fear,30,0.79683,0,24.2829,1734,39.0965,40.8463,40.8964,41.7963,0.1,fear_19.png,5.99802885408301e-05,0.000319059126231351
1,9,IEV,fear,21,0.87471,21,18.5087,901,41.8964,42.8129,42.863,43.7629,2.1,fear_6.png,0.0112954414175171,0.00198730349052628
1,10,IEV,fear,24,0.87854,24,21.4462,834,45.8629,46.7127,46.7628,47.6627,0.1,fear_16.png,0.0118787252372699,0.00323921628878887
1,11,IEV,fear,66,0.62259,66,41.3615,2801,47.7627,50.5792,50.6293,51.5292,0.1,fear_1.png,0.000179172885171512,0.0128983323733113
1,12,IEV,fear,122,0.42493,0,51.6436,3768,51.6293,55.4124,55.4624,56.3623,0.1,fear_10.png,2.00346573693322e-12,1.96037430991866e-09
1,13,IEV,fear,28,0.85986,28,23.9957,1118,56.4624,57.5956,57.6457,58.5456,4.1,fear_4.png,0.00764727315370207,0.000480219080523969
1,14,IEV,fear,24,0.87368,24,21.2805,918,62.6455,63.5787,63.6288,64.5286,0.1,fear_2.png,0.00822201727113226,0.000490237899543681
1,15,IEV,fear,19,0.8776,19,16.3205,851,64.6287,65.4953,65.5453,66.4452,4.1,fear_21.png,0.00790858999709365,0.00036761397450906
1,16,IEV,fear,36,0.79466,36,28.4716,1751,70.5451,72.3116,72.3617,73.2616,0.1,fear_9.png,0.00687539975004202,0.00220843307343611
1,17,IEV,fear,33,0.79898,0,26.4651,1717,73.3616,75.0948,75.1449,76.0448,1.1,fear_12.png,0.00291052907716405,0.0018719048939761
1,18,IEV,fear,33,0.79466,33,26.0876,1751,77.1448,78.9113,78.9614,79.8613,11.1,fear_24.png,0.00498121990186147,0.00239129440475448
1,19,IEV,fear,66,0.61621,0,40.516,2834,90.9609,93.8107,93.8608,94.7607,3.1,fear_25.png,3.27505142526637e-07,8.07333099009436e-05
1,20,IEV,fear,72,0.60647,72,43.5425,2884,97.8606,100.7604,100.8104,101.7104,0.1,fear_20.png,0.000779005391345679,0.00563762027644871
1,21,IEV,fear,53,0.72405,0,38.0536,2234,101.8104,104.0603,104.1103,105.0102,4.1,fear_7.png,0.00379053835141195,0.00504912884625775
1,22,IEV,fear,22,0.85317,22,18.8442,1201,109.1101,110.3267,110.3767,111.2766,1.1,fear_22.png,0.00499455079323634,0.000803308707530039
1,23,IEV,fear,100,0.48069,100,47.894,3501,112.3766,115.8931,115.9431,116.843,1.1,fear_14.png,0.00525908775653154,0.0107591347330206
1,24,IEV,fear,122,0.41473,0,50.7883,3817,117.943,121.7762,121.8262,122.7261,0.1,fear_15.png,2.13215656708258e-05,0.000188207772558268
1,25,IEV,fear,43,0.73466,0,31.4061,2168,122.8595,125.0427,125.0927,125.9926,0.1,fear_3.png,0.000278207389118656,9.15763611501626e-05
1,26,IEV,fear,59,0.65102,0,38.2713,2651,126.1093,128.7759,128.8259,129.7258,3.1,fear_9.png,0.00369936635442864,0.00208069877718256
1,27,IEV,fear,56,0.66339,56,37.4343,2584,132.8257,135.4256,135.4756,136.3755,2.1,fear_24.png,0.00426453530570043,0.00239795248521129
