run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image,p_chosen
1,1,DEV,scram,79,0.56814,0,45.1217,1384,8.0562,9.4561,9.5067,10.4061,3.1,scram_2.png,0.00265957446808511
1,2,DEV,scram,81,0.47046,81,38.084,1984,13.5227,15.5225,15.5726,16.4725,1.1,scram_7.png,0.00346220005689293
1,3,DEV,scram,77,0.44591,0,34.1631,2168,17.5725,19.7557,19.8057,20.7056,2.1,scram_20.png,0.0252626593593622
1,4,DEV,scram,82,0.3508,82,28.9165,3101,22.8223,25.9387,25.9888,26.8887,2.1,scram_12.png,0.0161334519177858
1,5,DEV,scram,80,0.35925,0,28.7991,3001,28.9887,32.0051,32.0552,32.9551,8.1,scram_19.png,0.0120568300062313
1,6,DEV,scram,76,0.47271,0,35.8741,1968,41.0548,43.038,43.088,43.9879,0.1,scram_4.png,1.44404331990043e-07
1,7,DEV,scram,79,0.39325,0,31.1136,2634,44.088,46.7378,46.7879,47.6878,2.1,scram_15.png,0.000113109930338621
1,8,DEV,scram,78,0.57434,78,44.9487,1351,49.7877,51.1543,51.2043,52.1043,0.1,scram_24.png,0.00941466405414886
1,9,DEV,scram,83,0.49226,0,41.0426,1834,52.2043,54.0542,54.1042,55.0041,6.1,scram_5.png,0.00116685708355128
1,10,DEV,scram,77,0.39998,0,30.7661,2568,61.1039,63.6871,63.7371,64.637,0.1,scram_9.png,3.9451991967376e-05
1,11,DEV,scram,77,0.47754,77,36.6574,1934,64.7371,66.687,66.737,67.6369,0.1,scram_18.png,0.00117436654077021
1,12,DEV,scram,77,0.47046,0,36.2021,1984,67.737,69.7368,69.7869,70.6868,0.1,scram_3.png,0.000732330690417778
1,13,DEV,scram,74,0.55274,0,40.8008,1468,70.7868,72.27,72.3201,73.22,0.1,scram_21.png,0.00614253312755005
1,14,DEV,scram,79,0.39155,0,30.9991,2651,73.32,75.9865,76.0366,76.9365,1.1,scram_17.png,0.000109930484148354
1,15,DEV,scram,76,0.52399,76,39.5896,1634,78.0531,79.703,79.7531,80.653,5.1,scram_1.png,0.0021000012092336
1,16,DEV,scram,82,0.3578,0,29.4142,3018,85.7528,88.786,88.836,89.736,1.1,scram_16.png,2.24557585268682e-08
1,17,DEV,scram,84,0.39325,84,33.0799,2634,90.8359,93.4858,93.5363,94.4357,0.1,scram_14.png,4.89652782717584e-05
1,18,DEV,scram,81,0.38996,0,31.672,2667,94.5362,97.2189,97.269,98.1689,5.1,scram_6.png,6.77773400910669e-06
1,19,DEV,scram,76,0.50239,0,38.2378,1768,103.2687,105.0519,105.102,106.0019,0.1,scram_22.png,0.00251668940631653
1,20,DEV,scram,84,0.38182,0,32.2504,2751,106.1019,108.8684,108.9185,109.8184,3.1,scram_23.png,5.54995375726748e-06
1,21,DEV,scram,78,0.52617,78,41.3027,1621,112.9183,114.5515,114.6015,115.5015,4.1,scram_13.png,0.000859957295012534
1,22,DEV,scram,74,0.4999,74,37.0811,1784,119.6013,121.4012,121.4513,122.3512,1.1,scram_25.png,0.000220875824251016
1,23,DEV,scram,84,0.39998,0,33.566,2568,123.4512,126.0344,126.0844,126.9843,4.1,scram_11.png,1.69702621872465e-08
1,24,DEV,scram,74,0.49469,0,36.7613,1818,131.0842,132.9174,132.9675,133.8673,11.1,scram_10.png,0.000106389578397695
1,25,DEV,scram,81,0.40704,0,32.8527,2501,144.9671,147.4834,147.5334,148.4334,9.1,scram_8.png,5.19013657523314e-08
1,26,DEV,scram,75,0.56184,75,41.903,1418,157.533,158.9662,159.0163,159.9162,3.1,scram_21.png,0.000256571288376866
1,27,DEV,scram,80,0.56497,80,44.9164,1401,163.0494,164.466,164.516,165.416,4.1,scram_16.png,5.68460547194238e-05
1,28,DEV,scram,79,0.46809,79,36.9857,2001,169.5158,171.5324,171.5824,172.4823,0.1,scram_14.png,5.42586129073001e-08
1,29,DEV,scram,81,0.4257,81,34.5566,2334,172.5824,174.9322,174.9823,175.8822,0.1,scram_19.png,3.85637371741989e-09
1,30,DEV,scram,84,0.36953,84,30.9826,2884,175.9822,178.882,178.9321,179.832,0.1,scram_23.png,4.2513072748109e-10
1,31,DEV,scram,85,0.33595,0,28.5223,3284,179.932,183.2318,183.2819,184.1818,2.1,scram_4.png,1.68173494465658e-12
1,32,DEV,scram,74,0.49226,74,36.6123,1834,186.2818,188.1316,188.1817,189.0816,2.1,scram_3.png,7.55976525510282e-06
1,33,DEV,scram,81,0.56184,81,45.274,1418,191.1816,192.6148,192.6648,193.5647,1.1,scram_1.png,0.000127408753282531
1,34,DEV,scram,79,0.59707,79,46.9736,1234,194.6647,195.9146,195.9647,196.8646,1.1,scram_13.png,0.000193558770287854
1,35,DEV,scram,78,0.68689,78,53.75,818,197.9812,198.8145,198.8645,199.7645,0.1,scram_7.png,0.00172894894884657
1,36,DEV,scram,80,0.39659,80,31.7348,2601,199.8812,202.4977,202.5477,203.4476,2.1,scram_8.png,1.7050481480072e-14
1,37,DEV,scram,87,0.36072,87,31.425,2984,205.5642,208.5641,208.6141,209.514,2.1,scram_18.png,1.14088397190152e-14
1,38,DEV,scram,79,0.57434,79,45.523,1351,211.6306,212.9972,213.0473,213.9472,0.1,scram_10.png,1.62750789770232e-06
1,39,DEV,scram,85,0.38345,0,32.7519,2734,214.0639,216.8137,216.8638,217.7637,4.1,scram_15.png,1.78492464413023e-15
1,40,DEV,scram,75,0.59707,75,44.5854,1234,221.8802,223.1301,223.1801,224.0801,5.1,scram_5.png,3.49238907758106e-06
1,41,DEV,scram,84,0.38663,84,32.6,2701,229.1965,231.913,231.9631,232.863,1.1,scram_11.png,5.16968797643071e-15
1,42,DEV,scram,80,0.58392,80,46.7217,1301,233.9797,235.2962,235.3463,236.2462,11.1,scram_17.png,1.15378502856841e-06
1,43,DEV,scram,78,0.44808,78,34.7508,2151,247.3624,249.5289,249.579,250.4789,0.1,scram_9.png,5.92435868296236e-12
1,44,DEV,scram,76,0.42958,76,32.6768,2301,250.5956,252.9121,252.9622,253.8621,0.1,scram_25.png,2.42365655003317e-12
1,45,DEV,scram,78,0.55274,0,43.0118,1468,253.9788,255.462,255.512,256.412,2.1,scram_12.png,1.06919992846503e-06
1,46,DEV,scram,73,0.56184,73,40.7793,1418,258.5286,259.9618,260.0119,260.9118,1.1,scram_20.png,1.91678574238916e-06
1,47,DEV,scram,80,0.45235,0,36.3863,2118,262.0451,264.1783,264.2283,265.1283,1.1,scram_22.png,9.62580218218734e-11
1,48,DEV,scram,75,0.61739,75,46.3919,1134,266.245,267.3948,267.4449,268.3448,0.1,scram_6.png,2.49503239060269e-05
1,49,DEV,scram,74,0.50505,74,37.3955,1751,268.4615,270.228,270.2781,271.178,0.1,scram_2.png,7.29472703635334e-09
1,50,DEV,scram,77,0.38663,77,29.8936,2701,271.2947,274.0112,274.0612,274.9612,12.1,scram_24.png,1.10366013415945e-13
2,51,IEV,happy,27,0.83138,27,22.2772,1434,8.03,9.4799,9.53,10.4299,0.1,happy_8.png,0.0221811231048988
2,52,IEV,happy,37,0.75768,37,27.9547,2018,10.5466,12.5798,12.6298,13.5298,5.1,happy_20.png,0.0126971842466137
2,53,IEV,happy,70,0.62586,0,43.6647,2784,18.6462,21.4461,21.4961,22.396,4.1,happy_23.png,2.4625752321244e-09
2,54,IEV,happy,49,0.71847,49,34.8573,2268,26.5126,28.7957,28.8458,29.7457,0.1,happy_21.png,0.00174894808798783
2,55,IEV,happy,35,0.82429,35,28.8276,1501,29.8624,31.379,31.429,32.3289,1.1,happy_13.png,0.0111607872376842
2,56,IEV,happy,38,0.7553,38,28.9205,2034,33.4456,35.4955,35.5455,36.4454,0.1,happy_16.png,0.00907789964440986
2,57,IEV,happy,56,0.6694,0,37.689,2551,36.5621,39.1286,39.1787,40.0786,0.1,happy_1.png,2.39696495276491e-06
2,58,IEV,happy,34,0.79683,34,27.4702,1734,40.1953,41.9452,41.9952,42.8951,4.1,happy_11.png,0.0113771228600265
2,59,IEV,happy,34,0.78374,34,26.3429,1834,47.0117,48.8616,48.9116,49.8115,3.1,happy_17.png,0.00789256498665859
2,60,IEV,happy,51,0.73211,0,37.4702,2184,52.9281,55.1279,55.178,56.0779,1.1,happy_18.png,0.000280355446826038
2,61,IEV,happy,64,0.61291,64,39.495,2851,57.1946,60.0611,60.1111,61.011,1.1,happy_15.png,9.83109164488674e-05
2,62,IEV,happy,55,0.67553,55,37.2664,2517,62.1277,64.6608,64.7109,65.6108,0.1,happy_24.png,0.00363080755776574
2,63,IEV,happy,31,0.79466,0,24.4983,1751,65.7275,67.4941,67.5441,68.444,1.1,happy_22.png,0.00457213450898899
2,64,IEV,happy,22,0.85861,22,18.9998,1134,69.5607,70.7106,70.7606,71.6605,2.1,happy_6.png,0.000208989408776847
2,65,IEV,happy,56,0.68726,56,38.504,2451,73.7772,76.2437,76.2937,77.1936,1.1,happy_4.png,0.00921980671391824
2,66,IEV,happy,50,0.70744,50,35.6791,2334,78.3103,80.6601,80.7102,81.6102,0.1,happy_14.png,0.00737868797107276
2,67,IEV,happy,34,0.79466,34,26.8823,1751,81.7268,83.4933,83.5434,84.4433,0.1,happy_7.png,0.00107802959762612
2,68,IEV,happy,48,0.70456,0,33.7768,2351,84.56,86.9265,86.9766,87.8765,3.1,happy_5.png,0.00818657992553845
2,69,IEV,happy,22,0.85861,22,18.9998,1134,90.9931,92.143,92.193,93.0929,5.1,happy_9.png,7.17368300802316e-05
2,70,IEV,happy,20,0.88855,20,18.0609,618,98.2095,98.8427,98.8927,99.7926,1.1,happy_2.png,3.67457327314439e-07
2,71,IEV,happy,38,0.7553,0,28.9205,2034,100.9093,102.9592,103.0092,103.9091,3.1,happy_3.png,0.00326970595995548
2,72,IEV,happy,40,0.78814,0,31.4408,1801,107.059,108.8756,108.9256,109.8255,11.1,happy_25.png,0.000829438120539359
2,73,IEV,happy,56,0.67247,56,37.4779,2534,120.9418,123.4916,123.5416,124.4416,6.1,happy_10.png,0.00394334908092633
2,74,IEV,happy,32,0.80309,32,26.0626,1684,130.558,132.2579,132.3079,133.2078,0.1,happy_12.png,0.00015071155665367
2,75,IEV,happy,53,0.69303,53,36.7215,2418,133.3246,135.7577,135.8078,136.7077,0.1,happy_19.png,0.00249146055345561
2,76,IEV,happy,79,0.58012,0,45.5832,3017,136.8244,139.8575,139.9076,140.8075,0.1,happy_25.png,0.00642563178903554
