run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image,full_rtpred_explore,full_rtpred_exploit
1,1,IEV,fear,31,0.84279,31,26.0217,1318,8.0649,9.3982,9.4487,10.3481,5.1,fear_11.png,108,108
1,2,IEV,fear,25,0.85173,25,21.5812,1218,15.5147,16.7479,16.7979,17.6978,1.1,fear_8.png,NaN,108
1,3,IEV,fear,33,0.79466,33,26.0876,1751,18.8145,20.581,20.6311,21.531,2.1,fear_17.png,NaN,104
1,4,IEV,fear,36,0.76515,36,27.2858,1967,23.631,25.6141,25.6642,26.5641,0.1,fear_13.png,NaN,120
1,5,IEV,fear,44,0.71582,44,31.4775,2284,26.6642,28.964,29.014,29.914,1.1,fear_5.png,NaN,141
1,6,IEV,fear,62,0.66027,62,40.9486,2601,31.0139,33.6305,33.6805,34.5804,3.1,fear_23.png,NaN,181
1,7,IEV,fear,68,0.60647,0,41.1166,2884,37.6803,40.5802,40.6302,41.5301,0.1,fear_18.png,NaN,238
1,8,IEV,fear,43,0.71864,0,31.2516,2267,41.6302,43.9133,43.9634,44.8633,0.1,fear_19.png,NaN,184
1,9,IEV,fear,54,0.68142,54,36.8549,2484,44.9634,47.4632,47.5133,48.4131,2.1,fear_6.png,NaN,159
1,10,IEV,fear,61,0.66649,0,40.5533,2567,50.5131,53.0963,53.1463,54.0462,0.1,fear_16.png,NaN,198
1,11,IEV,fear,46,0.73466,46,33.6101,2168,54.1463,56.3295,56.3795,57.2794,0.1,fear_1.png,NaN,159
1,12,IEV,fear,49,0.72127,49,35.3666,2251,57.3962,59.6627,59.7127,60.6126,0.1,fear_10.png,NaN,175
1,13,IEV,fear,55,0.69598,0,38.5989,2401,60.7127,63.1292,63.1792,64.0791,4.1,fear_4.png,NaN,178
1,14,IEV,fear,51,0.71299,51,36.6944,2301,68.179,70.4955,70.5456,71.4455,0.1,fear_2.png,NaN,158
1,15,IEV,fear,46,0.71299,46,33.1294,2301,71.5455,73.862,73.9121,74.812,4.1,fear_21.png,NaN,175
1,16,IEV,fear,47,0.72665,47,34.2338,2218,78.9119,81.145,81.1951,82.095,0.1,fear_9.png,NaN,177
1,17,IEV,fear,51,0.69303,0,35.3355,2418,82.1951,84.6282,84.6783,85.5782,1.1,fear_12.png,NaN,178
1,18,IEV,fear,44,0.72665,44,32.0538,2218,86.6782,88.9114,88.9614,89.8613,11.1,fear_24.png,NaN,160
1,19,IEV,fear,48,0.71014,0,34.0598,2318,100.9609,103.2941,103.3441,104.244,3.1,fear_25.png,NaN,160
1,20,IEV,fear,51,0.71847,51,36.2942,2268,107.3439,109.6271,109.6772,110.5771,0.1,fear_20.png,NaN,157
1,21,IEV,fear,57,0.69598,0,39.9909,2401,110.6771,113.0937,113.1437,114.0436,4.1,fear_7.png,NaN,159
1,22,IEV,fear,41,0.73734,41,30.4487,2151,118.1435,120.3101,120.3601,121.26,1.1,fear_22.png,NaN,156
1,23,IEV,fear,42,0.74774,42,31.0678,2084,122.36,124.4598,124.5099,125.4098,1.1,fear_14.png,NaN,156
1,24,IEV,fear,45,0.72665,0,32.7805,2218,126.5098,128.743,128.7931,129.693,0.1,fear_15.png,NaN,155
1,25,IEV,fear,43,0.73466,0,31.4061,2168,129.793,131.9762,132.0262,132.9261,0.1,fear_3.png,NaN,140
1,26,IEV,fear,41,0.75018,0,30.8639,2068,133.0595,135.1427,135.1927,136.0927,3.1,fear_9.png,NaN,139
1,27,IEV,fear,50,0.69598,50,35.119,2401,139.1926,141.6091,141.6591,142.559,2.1,fear_24.png,NaN,139
1,28,IEV,fear,56,0.67839,56,37.7454,2501,144.659,147.1755,147.2256,148.1255,5.1,fear_14.png,NaN,158
1,29,IEV,fear,54,0.70166,54,38.2066,2368,153.242,155.6251,155.6752,156.5751,5.1,fear_2.png,NaN,177
1,30,IEV,fear,50,0.71014,50,35.4801,2318,161.6916,164.0248,164.0748,164.9747,1.1,fear_22.png,NaN,179
1,31,IEV,fear,50,0.69598,0,35.119,2401,166.0914,168.5079,168.5579,169.4579,8.1,fear_10.png,NaN,180
1,32,IEV,fear,52,0.71299,0,37.4074,2301,177.5743,179.8908,179.9408,180.8407,2.1,fear_25.png,NaN,178
1,33,IEV,fear,45,0.7425,45,33.7293,2118,182.974,185.1072,185.1573,186.0572,9.1,fear_8.png,NaN,177
1,34,IEV,fear,41,0.74001,41,30.2261,2134,195.1735,197.3233,197.3734,198.2733,0.1,fear_16.png,NaN,160
1,35,IEV,fear,45,0.75768,45,34.0162,2018,198.4233,200.4565,200.5066,201.4065,1.1,fear_6.png,NaN,159
1,36,IEV,fear,43,0.72665,0,31.3272,2218,202.5231,204.7563,204.8063,205.7063,5.1,fear_5.png,NaN,158
1,37,IEV,fear,40,0.76746,40,30.9139,1951,210.8228,212.7893,212.8394,213.7393,4.1,fear_17.png,NaN,158
1,38,IEV,fear,42,0.7425,42,31.5017,2118,217.8558,219.989,220.039,220.939,3.1,fear_20.png,NaN,157
1,39,IEV,fear,47,0.7425,47,35.2143,2118,224.0555,226.1887,226.2388,227.1387,1.1,fear_21.png,NaN,157
1,40,IEV,fear,47,0.72665,47,34.2338,2218,228.2554,230.4886,230.5386,231.4385,6.1,fear_13.png,NaN,157
1,41,IEV,fear,49,0.72127,49,35.3666,2251,237.555,239.8216,239.8715,240.7714,0.1,fear_7.png,NaN,157
1,42,IEV,fear,53,0.70456,53,37.2996,2351,240.8881,243.2547,243.3047,244.2046,0.1,fear_12.png,NaN,157
1,43,IEV,fear,53,0.70166,53,37.505,2368,244.3213,246.7045,246.7546,247.6545,0.1,fear_11.png,NaN,158
1,44,IEV,fear,47,0.70456,47,33.0722,2351,247.7712,250.1377,250.1878,251.0877,10.1,fear_23.png,NaN,159
1,45,IEV,fear,50,0.73211,50,36.7381,2184,261.204,263.4038,263.4538,264.3538,0.1,fear_4.png,NaN,177
1,46,IEV,fear,52,0.71299,52,37.4074,2301,264.4705,266.787,266.837,267.7369,0.1,fear_19.png,NaN,159
1,47,IEV,fear,55,0.71014,55,39.0308,2318,267.8536,270.1868,270.2369,271.1368,1.1,fear_3.png,NaN,177
1,48,IEV,fear,43,0.7425,43,32.2442,2118,272.2534,274.3866,274.4367,275.3366,2.1,fear_15.png,NaN,178
1,49,IEV,fear,58,0.6932,58,40.1752,2417,277.4532,279.8864,279.9364,280.8364,1.1,fear_18.png,NaN,178
1,50,IEV,fear,61,0.66631,61,40.5649,2568,281.953,284.5362,284.5862,285.4862,12.1,fear_1.png,NaN,178
2,51,CEV,scram,52,0.76886,0,40.0754,918,8.0307,8.964,9.0141,9.914,1.1,scram_18.png,68,68
2,52,CEV,scram,47,0.77843,47,36.2216,851,11.064,11.9306,11.9806,12.8805,0.1,scram_2.png,NaN,68
2,53,CEV,scram,48,0.81414,48,39.4424,601,12.9972,13.6138,13.6639,14.5638,0.1,scram_14.png,NaN,25
2,54,CEV,scram,49,0.81886,49,40.2754,568,14.6805,15.2637,15.3138,16.2137,0.1,scram_5.png,NaN,25
2,55,CEV,scram,43,0.81886,43,35.3623,568,16.3304,16.9137,16.9637,17.8636,4.1,scram_7.png,NaN,25
