run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image,full_rtpred_explore,full_rtpred_exploit
1,1,IEV,fear,42,0.77229,42,32.8117,1917,8.0664,9.9996,10.0501,10.9496,5.1,fear_11.png,168,168
1,2,IEV,fear,22,0.86833,22,19.4199,1001,16.066,17.0826,17.1327,18.0325,1.1,fear_8.png,NaN,168
1,3,IEV,fear,70,0.59327,0,41.3183,2951,19.1492,22.1157,22.1657,23.0656,2.1,fear_17.png,NaN,165
1,4,IEV,fear,33,0.78144,33,25.7782,1851,25.1656,27.0321,27.0822,27.9821,0.1,fear_13.png,NaN,141
1,5,IEV,fear,42,0.72939,42,30.3748,2201,28.0821,30.2986,30.3487,31.2486,1.1,fear_5.png,NaN,146
1,6,IEV,fear,58,0.68443,58,39.3802,2467,32.3486,34.8317,34.8818,35.7817,3.1,fear_23.png,NaN,158
1,7,IEV,fear,55,0.67247,0,36.8054,2534,38.8816,41.4314,41.4815,42.3814,0.1,fear_18.png,NaN,178
1,8,IEV,fear,47,0.69891,0,32.8056,2384,42.4815,44.8813,44.9313,45.8312,0.1,fear_19.png,NaN,160
1,9,IEV,fear,26,0.85036,26,21.7495,1234,45.9313,47.1811,47.2312,48.1311,2.1,fear_6.png,NaN,153
1,10,IEV,fear,32,0.83643,32,26.7239,1384,50.2311,51.631,51.681,52.5809,0.1,fear_16.png,NaN,145
1,11,IEV,fear,33,0.81116,33,26.8759,1617,52.681,54.3142,54.3642,55.2641,0.1,fear_1.png,NaN,139
1,12,IEV,fear,31,0.83138,31,25.6028,1434,55.3641,56.814,56.8641,57.764,0.1,fear_10.png,NaN,137
1,13,IEV,fear,30,0.85036,30,25.1509,1234,57.8641,59.1139,59.164,60.0639,4.1,fear_4.png,NaN,136
1,14,IEV,fear,26,0.86362,26,22.6527,1068,64.1637,65.247,65.2971,66.1969,0.1,fear_2.png,NaN,134
1,15,IEV,fear,29,0.82067,29,23.4474,1534,66.297,67.8469,67.8969,68.7968,4.1,fear_21.png,NaN,135
1,16,IEV,fear,26,0.85317,26,22.2569,1201,72.8967,74.1132,74.1632,75.0632,0.1,fear_9.png,NaN,135
1,17,IEV,fear,27,0.83801,0,22.3622,1368,75.1632,76.5464,76.5965,77.4964,1.1,fear_12.png,NaN,135
1,18,IEV,fear,105,0.4598,0,48.3976,3601,78.5964,82.2128,82.2629,83.1628,11.1,fear_24.png,NaN,139
1,19,IEV,fear,19,0.87854,19,17.0535,834,94.2623,95.1122,95.1623,96.0622,3.1,fear_25.png,NaN,136
1,20,IEV,fear,25,0.87269,25,21.421,934,99.1621,100.112,100.162,101.062,0.1,fear_20.png,NaN,138
1,21,IEV,fear,31,0.85459,0,26.355,1184,101.162,102.3619,102.4119,103.3119,4.1,fear_7.png,NaN,138
1,22,IEV,fear,16,0.88435,16,14.3514,718,107.4117,108.145,108.195,109.0949,1.1,fear_22.png,NaN,155
1,23,IEV,fear,18,0.8836,18,16.2431,734,110.1949,110.9448,110.9949,111.8948,1.1,fear_14.png,NaN,157
1,24,IEV,fear,28,0.82962,0,23.3034,1451,112.9948,114.4613,114.5114,115.4113,0.1,fear_15.png,NaN,158
1,25,IEV,fear,47,0.70744,0,33.5568,2334,115.528,117.8778,117.9278,118.8278,0.1,fear_3.png,NaN,159
1,26,IEV,fear,76,0.56987,0,43.2698,3068,118.9445,122.0276,122.0777,122.9776,3.1,fear_9.png,NaN,140
1,27,IEV,fear,94,0.4982,94,47.0524,3417,126.0775,129.5106,129.5607,130.4606,2.1,fear_24.png,NaN,135
1,28,IEV,fear,99,0.49112,0,48.3788,3451,132.5605,136.027,136.077,136.9769,5.1,fear_14.png,NaN,361
1,29,IEV,fear,99,0.4982,99,49.5434,3417,142.0934,145.5265,145.5766,146.4765,5.1,fear_2.png,NaN,157
1,30,IEV,fear,95,0.50153,0,47.892,3401,151.593,155.0094,155.0595,155.9594,1.1,fear_22.png,NaN,376
1,31,IEV,fear,84,0.53606,0,45.1232,3234,157.076,160.3258,160.3758,161.2758,8.1,fear_10.png,NaN,376
1,32,IEV,fear,121,0.43202,0,52.2313,3734,169.3921,173.1419,173.192,174.0919,2.1,fear_25.png,NaN,376
1,33,IEV,fear,20,0.88919,20,17.9476,601,176.2084,176.8251,176.8751,177.775,9.1,fear_8.png,NaN,161
1,34,IEV,fear,24,0.84128,24,20.3015,1334,186.8913,188.2412,188.2912,189.1911,0.1,fear_16.png,NaN,175
1,35,IEV,fear,36,0.80915,36,29.5035,1634,189.3079,190.9578,191.0077,191.9077,1.1,fear_6.png,NaN,161
1,36,IEV,fear,34,0.78374,0,26.3429,1834,193.0576,194.9075,194.9576,195.8575,5.1,fear_5.png,NaN,160
1,37,IEV,fear,30,0.83302,30,24.5923,1418,200.974,202.4072,202.4572,203.3571,4.1,fear_17.png,NaN,158
1,38,IEV,fear,28,0.83302,28,22.9262,1418,207.4737,208.9069,208.9569,209.8569,3.1,fear_20.png,NaN,157
1,39,IEV,fear,30,0.84736,30,25.5001,1268,212.9734,214.2566,214.3067,215.2066,1.1,fear_21.png,NaN,157
1,40,IEV,fear,30,0.83302,30,24.5923,1418,216.3232,217.7565,217.8065,218.7064,6.1,fear_13.png,NaN,155
1,41,IEV,fear,27,0.85173,27,23.2847,1218,224.8228,226.0561,226.1061,227.006,0.1,fear_7.png,NaN,140
1,42,IEV,fear,32,0.82962,32,26.6219,1451,227.1227,228.5893,228.6393,229.5393,0.1,fear_12.png,NaN,139
1,43,IEV,fear,35,0.81304,35,28.3143,1601,229.6559,231.2725,231.3225,232.2224,0.1,fear_11.png,NaN,139
1,44,IEV,fear,27,0.82613,27,22.032,1484,232.3392,233.839,233.8891,234.789,10.1,fear_23.png,NaN,139
1,45,IEV,fear,34,0.83302,34,27.9244,1418,244.9052,246.3385,246.3885,247.2884,0.1,fear_4.png,NaN,139
1,46,IEV,fear,33,0.82783,33,27.6383,1468,247.4051,248.8883,248.9384,249.8383,0.1,fear_19.png,NaN,138
1,47,IEV,fear,34,0.83643,34,28.3967,1384,249.955,251.3549,251.4049,252.3048,1.1,fear_3.png,NaN,138
1,48,IEV,fear,30,0.82613,30,24.5104,1484,253.4215,254.9214,254.9714,255.8713,2.1,fear_15.png,NaN,138
1,49,IEV,fear,37,0.82067,37,30.0127,1534,257.988,259.5379,259.5879,260.4878,1.1,fear_18.png,NaN,138
1,50,IEV,fear,44,0.76019,44,33.8129,2001,261.6045,263.621,263.671,264.5709,12.1,fear_1.png,NaN,138
2,51,CEV,scram,58,0.688,0,39.752,1484,8.0281,9.5281,9.5781,10.478,1.1,scram_18.png,124,124
2,52,CEV,scram,87,0.42129,87,36.5787,3351,11.5947,14.9611,15.0111,15.9111,0.1,scram_2.png,NaN,124
2,53,CEV,scram,91,0.42129,91,38.2639,3351,16.0611,19.4276,19.4776,20.3775,0.1,scram_14.png,NaN,317
2,54,CEV,scram,97,0.39986,0,38.5994,3501,20.4942,24.0107,24.0608,24.9607,0.1,scram_5.png,NaN,318
2,55,CEV,scram,46,0.77371,46,35.4526,884,25.0774,25.9773,26.0273,26.9272,4.1,scram_7.png,NaN,305
2,56,CEV,scram,40,0.83557,40,33.6577,451,31.0604,31.527,31.577,32.477,1.1,scram_8.png,NaN,305
2,57,CEV,scram,54,0.69514,0,37.6951,1434,33.5936,35.0435,35.0935,35.9935,0.1,scram_4.png,NaN,305
2,58,CEV,scram,42,0.79986,42,33.8006,701,36.1102,36.8268,36.8768,37.7767,0.1,scram_9.png,NaN,312
2,59,CEV,scram,46,0.82129,0,37.8213,551,37.8934,38.46,38.5101,39.4101,1.1,scram_20.png,NaN,312
2,60,CEV,scram,57,0.64514,57,37,1784,40.5266,42.3265,42.3766,43.2765,3.1,scram_11.png,NaN,313
2,61,CEV,scram,54,0.63314,54,34.4674,1868,46.393,48.2762,48.3262,49.2262,5.1,scram_24.png,NaN,310
2,62,CEV,scram,56,0.61414,56,34.5434,2001,54.3426,56.3592,56.4092,57.3091,1.1,scram_1.png,NaN,308
2,63,CEV,scram,62,0.56886,62,35.2934,2318,58.4258,60.759,60.809,61.7089,2.1,scram_12.png,NaN,306
2,64,CEV,scram,63,0.54514,63,34.2743,2484,63.8255,66.3254,66.3754,67.2753,5.1,scram_6.png,NaN,303
2,65,CEV,scram,77,0.50471,0,39.0189,2767,72.3918,75.175,75.225,76.1249,0.1,scram_21.png,NaN,301
2,66,CEV,scram,60,0.61171,60,37,2018,76.2416,78.2748,78.3248,79.2248,0.1,scram_23.png,NaN,307
2,67,CEV,scram,68,0.57371,68,39.2949,2284,79.3415,81.6413,81.6914,82.5913,2.1,scram_22.png,NaN,304
2,68,CEV,scram,64,0.545,64,34.82,2485,84.7079,87.2077,87.2578,88.1577,8.1,scram_25.png,NaN,301
2,69,CEV,scram,69,0.52843,0,36.4716,2601,96.2741,98.8905,98.9406,99.8405,2.1,scram_17.png,NaN,299
