run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image,value_softmax_p_chosen,uv_p_chosen
5,225,IEV,scram,22,0.86362,22,19.1983,1068,152.7221,153.8053,153.8553,154.7553,0.1,scram_13.png,1.61392356065982e-13,6.7673427441074e-11
5,226,IEV,scram,45,0.72405,45,32.2612,2234,154.8886,157.1385,157.1885,158.0885,0.1,scram_14.png,0.000753470723987614,0.00242264753533916
5,227,IEV,scram,56,0.66027,0,36.987,2601,158.2218,160.8383,160.8883,161.7883,3.1,scram_9.png,0.0158043906858552,0.0171400776313364
5,228,IEV,scram,26,0.84437,0,21.6214,1301,164.9215,166.2381,166.2881,167.188,2.1,scram_8.png,1.24460972106963e-11,1.13231609159075e-09
5,229,IEV,scram,62,0.62893,0,39.0854,2768,169.3213,172.1044,172.1545,173.0544,5.1,scram_10.png,0.0190792091268283,0.0173697141829751
5,230,IEV,scram,18,0.8776,18,15.4429,851,178.1875,179.0541,179.1041,180.0041,3.1,scram_2.png,3.59903153513856e-13,9.14306519291606e-11
5,231,IEV,scram,83,0.5565,0,46.2437,3134,183.1373,186.2871,186.3371,187.2371,0.1,scram_4.png,0.00532378539936032,0.00471164778006714
5,232,IEV,scram,43,0.74513,43,32.0298,2101,187.3704,189.4869,189.537,190.4369,2.1,scram_5.png,0.000190832129156182,0.000610106312691099
5,233,IEV,scram,59,0.66339,59,39.4244,2584,192.5702,195.17,195.2201,196.12,3.1,scram_15.png,0.0143617452609294,0.0147553057769446
5,234,IEV,scram,76,0.58332,0,44.2468,3001,199.2532,202.2697,202.3197,203.2196,1.1,scram_17.png,0.00767409307746864,0.00648625596666008
5,235,IEV,scram,94,0.49799,0,46.5646,3418,204.3529,207.7861,207.8361,208.7361,2.1,scram_19.png,8.75855070451482e-05,0.0001278542724662
5,236,IEV,scram,92,0.50153,0,46.3874,3401,210.8693,214.2858,214.3358,215.2357,0.1,scram_21.png,5.97585094179783e-05,7.26823365063238e-05
5,237,IEV,scram,39,0.78144,39,30.4668,1851,215.3691,217.2357,217.2857,218.1856,8.1,scram_12.png,0.000291324363200524,0.00115115941233818
5,238,IEV,scram,43,0.75275,43,32.1529,2051,226.3186,228.3851,228.4352,229.3351,4.1,scram_6.png,0.00284155061777552,0.00554942748065915
5,239,IEV,scram,79,0.57992,0,45.5938,3018,233.4682,236.5014,236.5514,237.4514,0.1,scram_24.png,0.00141231507152538,0.00104834637015194
5,240,IEV,scram,55,0.69024,55,38.2999,2434,237.5847,240.0346,240.0846,240.9845,1.1,scram_7.png,0.0166531346213785,0.0142035914084179
5,241,IEV,scram,45,0.7553,45,34.2076,2034,242.1178,244.1677,244.2177,245.1177,9.1,scram_1.png,0.00535226432712577,0.00855863408778349
5,242,IEV,scram,0,0,0,0,4016,254.2506,258.2837,258.3338,259.2337,1.1,scram_3.png,1.00631671096243e-09,7.34797189850685e-09
5,243,IEV,scram,68,0.61931,68,42.1804,2818,260.367,263.2001,263.2502,264.1501,1.1,scram_16.png,0.00263347675380215,0.00185642034337406
5,244,IEV,scram,40,0.77215,40,30.5071,1918,265.2834,267.2166,267.2666,268.1666,4.1,scram_13.png,0.00293204025350618,0.00562959004483602
5,245,IEV,scram,22,0.86485,0,19.0319,1051,272.2997,273.3663,273.4163,274.3163,2.1,scram_18.png,5.00154740064869e-09,2.19216607733286e-07
5,246,IEV,scram,70,0.58671,70,41.1252,2984,276.4497,279.4494,279.4994,280.3993,0.1,scram_25.png,0.00112736224813133,0.00102522694738814
5,247,IEV,scram,77,0.57992,0,44.434,3018,280.5327,283.5658,283.6159,284.5158,0.1,scram_22.png,0.000631946318697962,0.000574850035057844
5,248,IEV,scram,25,0.86606,25,21.4652,1034,284.6492,285.6991,285.7491,286.649,4.1,scram_20.png,4.59658437210134e-09,1.80658834047485e-07
5,249,IEV,scram,36,0.79683,36,29.0639,1734,290.7822,292.5321,292.5821,293.4821,1.1,scram_11.png,0.000208326422214727,0.000621615769118409
5,250,IEV,scram,99,0.49466,0,49.2037,3434,294.6154,298.0652,298.1152,299.0151,12.1,scram_23.png,1.6158905413222e-06,3.20383733589084e-06
6,251,DEV,fear,84,0.46125,0,38.8359,2051,8.0692,10.1357,10.1858,11.0857,0.1,fear_1.png,0.00265957446808511,9.03590062228976e-42
6,252,DEV,fear,70,0.67172,70,46.8033,884,11.2191,12.119,12.169,13.0689,1.1,fear_10.png,0.0136103686318181,3.04134638765912e-29
6,253,DEV,fear,71,0.61387,71,43.7292,1151,14.2023,15.3688,15.4189,16.3188,0.1,fear_15.png,0.000396435472606966,5.04371310670235e-34
6,254,DEV,fear,76,0.55274,76,41.9063,1468,16.4522,17.9354,17.9854,18.8853,4.1,fear_22.png,3.26347584800732e-06,2.71289993402507e-36
6,255,DEV,fear,83,0.41611,83,34.7244,2418,23.0685,25.5017,25.5517,26.4516,1.1,fear_21.png,7.02784504160181e-12,3.23379045499515e-32
6,256,DEV,fear,85,0.37564,0,31.7991,2817,27.585,30.4181,30.4681,31.3681,7.1,fear_19.png,1.46935059275213e-21,1.75700543714668e-23
6,257,DEV,fear,87,0.36211,0,31.5302,2968,38.5011,41.4843,41.5343,42.4342,6.1,fear_13.png,3.4682720560176e-27,1.21427395733164e-28
6,258,DEV,fear,70,0.64567,70,45.4482,1001,48.5673,49.5839,49.6339,50.5339,1.1,fear_5.png,0.0129740974944089,4.16769295984762e-07
6,259,DEV,fear,74,0.4999,0,37.0811,1784,51.6672,53.467,53.5171,54.417,0.1,fear_4.png,2.29414782829452e-12,5.22968067023501e-18
6,260,DEV,fear,82,0.35925,0,29.5176,3001,54.5504,57.5668,57.6169,58.5168,0.1,fear_25.png,1.59791309609341e-29,1.63718028906615e-30
6,261,DEV,fear,73,0.70263,0,51.1517,751,58.6506,59.4167,59.4668,60.3667,7.1,fear_11.png,0.0175004759296598,0.00134139784840431
6,262,DEV,fear,82,0.41611,82,34.3083,2418,67.4997,69.9329,69.9829,70.8829,5.1,fear_23.png,2.51426174043633e-12,2.26653795973274e-13
6,263,DEV,fear,76,0.57114,0,43.6024,1368,76.066,77.4492,77.4993,78.3992,0.1,fear_17.png,0.00104290078258265,1.10818362372364e-06
6,264,DEV,fear,78,0.35643,78,27.8917,3034,78.5325,81.5824,81.6324,82.5323,1.1,fear_20.png,3.89444180149488e-10,1.8148432618312e-11
6,265,DEV,fear,79,0.39325,0,31.1136,2634,83.6657,86.3155,86.3655,87.2654,0.1,fear_2.png,4.44933767605948e-10,1.51764094109286e-12
6,266,DEV,fear,80,0.56184,80,44.7122,1418,87.3988,88.832,88.8821,89.782,0.1,fear_16.png,0.000787711615610486,9.7764599360441e-07
6,267,DEV,fear,75,0.57114,75,43.0313,1368,89.9153,91.2986,91.3486,92.2485,0.1,fear_3.png,0.00181035920467835,5.23160062333605e-06
6,268,DEV,fear,76,0.5589,0,42.2852,1434,92.3819,93.8318,93.8818,94.7818,1.1,fear_12.png,0.000859925815634965,1.31234047112896e-06
6,269,DEV,fear,80,0.40522,0,32.3227,2518,95.9151,98.4482,98.4983,99.3982,1.1,fear_6.png,2.46570308347468e-11,4.36061121645882e-13
6,270,DEV,fear,86,0.31011,0,26.5775,3617,100.5315,104.1646,104.2147,105.1146,0.1,fear_7.png,5.61430567847701e-20,1.08674249490402e-15
6,271,DEV,fear,68,0.69085,68,47.0738,801,105.248,106.0646,106.1146,107.0146,9.1,fear_18.png,0.0200712469908921,0.000502462774011796
6,272,DEV,fear,82,0.34398,82,28.0844,3184,116.1475,119.3472,119.3973,120.2972,3.1,fear_8.png,1.46766724841628e-14,2.46928055149063e-14
6,273,DEV,fear,79,0.35356,79,28.0524,3068,123.4305,126.5136,126.5637,127.4635,8.1,fear_14.png,4.28429424180679e-11,3.76644036791707e-12
6,274,DEV,fear,0,0,0,0,4016,135.5965,139.6296,139.6797,140.5796,9.1,fear_9.png,1.00768493780997e-18,3.14685325454494e-16
6,275,DEV,fear,85,0.40175,0,34.0952,2551,149.7125,152.279,152.3291,153.229,4.1,fear_24.png,1.2065449408069e-11,3.73417214486362e-14
6,276,DEV,fear,78,0.63852,78,49.5372,1034,157.3622,158.4121,158.4621,159.362,1.1,fear_23.png,0.00406909430641455,2.58833232548736e-05
6,277,DEV,fear,80,0.53242,80,42.7729,1584,160.4953,162.0952,162.1453,163.0452,1.1,fear_2.png,4.45613461628063e-06,1.91705129525745e-08
6,278,DEV,fear,76,0.52684,0,40.2926,1617,164.1785,165.8117,165.8618,166.7617,6.1,fear_21.png,1.26989263087466e-06,4.05246108730881e-09
6,279,DEV,fear,85,0.37564,85,31.7991,2817,172.8948,175.7279,175.778,176.6779,0.1,fear_4.png,1.05113585671212e-11,2.39148013110578e-13
6,280,DEV,fear,81,0.3373,0,27.2734,3267,176.8112,180.0944,180.1444,181.0443,0.1,fear_14.png,2.7644436281296e-15,3.78532511320763e-16
6,281,DEV,fear,81,0.37564,0,30.2966,2817,181.1777,184.0109,184.0609,184.9608,0.1,fear_8.png,5.20769953891925e-14,5.27681364843768e-16
6,282,DEV,fear,82,0.46809,0,38.39,2001,185.0942,187.1108,187.1608,188.0607,7.1,fear_13.png,4.76681376822439e-10,8.81268968951724e-13
6,283,DEV,fear,83,0.45458,83,37.9017,2101,195.1937,197.3102,197.3603,198.2602,2.1,fear_3.png,1.24877448351534e-09,2.17934917857822e-12
6,284,DEV,fear,82,0.36953,0,30.2435,2884,200.3935,203.2933,203.3433,204.2433,3.1,fear_1.png,1.88437175098738e-14,1.19335358167292e-16
6,285,DEV,fear,85,0.31134,0,26.3598,3601,207.3765,210.9929,211.0429,211.9429,0.1,fear_20.png,9.19661702324488e-20,3.00404315980116e-20
6,286,DEV,fear,72,0.63852,72,45.7061,1034,212.0763,213.1262,213.1762,214.0761,2.1,fear_15.png,0.00179542540236877,1.19701759408906e-05
