run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image,value_softmax_p_chosen,uv_p_chosen
1,1,IEV,fear,25,0.8776,25,21.586,851,8.0668,8.9335,8.984,9.8834,5.1,fear_11.png,0.0222391736223065,0.0192358031221382
1,2,IEV,fear,17,0.89306,17,15.4482,484,15.0666,15.5665,15.6166,16.5164,1.1,fear_8.png,0.00705750281102039,0.0066832694906438
1,3,IEV,fear,18,0.87854,18,16.175,834,17.6331,18.483,18.5331,19.433,2.1,fear_17.png,0.0149174216069471,0.0133892725707746
1,4,IEV,fear,14,0.89096,14,12.2824,551,21.533,22.0995,22.1496,23.0495,0.1,fear_13.png,0.0086629992482337,0.00793359450568279
1,5,IEV,fear,14,0.89152,14,12.1753,534,23.1496,23.6995,23.7495,24.6494,1.1,fear_5.png,0.00806213790709483,0.00734918189003496
1,6,IEV,fear,22,0.89152,22,19.3075,534,25.7494,26.2993,26.3494,27.2493,3.1,fear_23.png,0.008625487484932,0.00785967736139295
1,7,IEV,fear,16,0.8944,16,14.2895,435,30.3492,30.7991,30.8492,31.7491,0.1,fear_18.png,0.00753277890284147,0.00691642276289909
1,8,IEV,fear,17,0.8776,0,14.5653,851,31.8492,32.7157,32.7658,33.6657,0.1,fear_19.png,0.0106466681113058,0.0100995165231575
1,9,IEV,fear,18,0.89152,18,15.7414,534,33.7657,34.3157,34.3657,35.2656,2.1,fear_6.png,0.0106827727599821,0.00990949557344039
1,10,IEV,fear,22,0.88981,22,19.6163,584,37.3656,37.9656,38.0156,38.9155,0.1,fear_16.png,0.01082947619794,0.0100152622432636
1,11,IEV,fear,18,0.89398,18,16.1616,451,39.0655,39.5321,39.5821,40.4821,0.1,fear_1.png,0.0101766842626493,0.00945990044734624
1,12,IEV,fear,19,0.89306,19,17.2343,484,40.5821,41.082,41.1321,42.032,0.1,fear_10.png,0.0101779973525402,0.00944239713656917
1,13,IEV,fear,21,0.89306,21,19.0204,484,42.132,42.632,42.682,43.5819,4.1,fear_4.png,0.0102027569852739,0.00946268692378456
1,14,IEV,fear,21,0.89203,21,18.3211,518,47.7151,48.2484,48.2985,49.1984,0.1,fear_2.png,0.010182148792796,0.00943305253404733
1,15,IEV,fear,15,0.89348,15,13.5778,469,49.3151,49.7983,49.8484,50.7483,4.1,fear_21.png,0.00986446092859079,0.00913479103552147
1,16,IEV,fear,19,0.89038,19,16.844,568,54.8481,55.4314,55.4814,56.3814,0.1,fear_9.png,0.00995786382746549,0.0092001874488882
