run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image,full_rtpred_explore,full_rtpred_exploit
1,1,IEV,fear,22,0.88792,22,19.9456,634,8.067,8.717,8.7675,9.667,5.1,fear_11.png,39,39
1,2,IEV,fear,23,0.86606,23,19.7331,1034,14.7835,15.8334,15.8834,16.7833,1.1,fear_8.png,NaN,36
1,3,IEV,fear,41,0.7425,41,30.7592,2118,17.9,20.0332,20.0833,20.9831,2.1,fear_17.png,NaN,43
1,4,IEV,fear,51,0.67535,0,34.5774,2518,23.0998,25.6329,25.683,26.5829,0.1,fear_13.png,NaN,180
1,5,IEV,fear,26,0.82244,26,21.6131,1518,26.6829,28.2161,28.2662,29.1661,1.1,fear_5.png,NaN,59
1,6,IEV,fear,22,0.88792,22,19.9456,634,30.2661,30.916,30.966,31.866,3.1,fear_23.png,NaN,97
1,7,IEV,fear,21,0.87269,21,17.9302,934,34.9659,35.9158,35.9659,36.8658,0.1,fear_18.png,NaN,95
1,8,IEV,fear,39,0.7425,0,29.2742,2118,36.9658,39.099,39.1491,40.049,0.1,fear_19.png,NaN,95
1,9,IEV,fear,21,0.87471,21,18.5087,901,40.149,41.0656,41.1157,42.0156,2.1,fear_6.png,NaN,53
1,10,IEV,fear,25,0.87664,25,21.7277,868,44.1155,44.9987,45.0488,45.9487,0.1,fear_16.png,NaN,53
1,11,IEV,fear,26,0.8559,26,21.9188,1168,46.0488,47.232,47.282,48.1819,0.1,fear_1.png,NaN,53
1,12,IEV,fear,28,0.84887,28,23.6272,1251,48.282,49.5485,49.5986,50.4985,0.1,fear_10.png,NaN,56
1,13,IEV,fear,25,0.87571,25,21.8625,884,50.6152,51.5151,51.5652,52.4651,4.1,fear_4.png,NaN,58
1,14,IEV,fear,23,0.87854,23,20.5677,834,56.5816,57.4315,57.4816,58.3815,0.1,fear_2.png,NaN,58
1,15,IEV,fear,17,0.88654,17,14.8614,668,58.4816,59.1648,59.2148,60.1148,4.1,fear_21.png,NaN,57
1,16,IEV,fear,27,0.85036,27,22.5998,1234,64.2146,65.4645,65.5145,66.4145,0.1,fear_9.png,NaN,59
1,17,IEV,fear,28,0.82962,0,23.3034,1451,66.5146,67.9811,68.0311,68.931,1.1,fear_12.png,NaN,75
1,18,IEV,fear,18,0.87945,18,16.0314,817,70.0482,70.8809,70.931,71.8309,11.1,fear_24.png,NaN,38
1,19,IEV,fear,19,0.88117,19,16.6396,784,82.9305,83.7304,83.7805,84.6803,3.1,fear_25.png,NaN,53
1,20,IEV,fear,32,0.83138,32,26.4342,1434,87.7802,89.2301,89.2802,90.1801,0.1,fear_20.png,NaN,54
1,21,IEV,fear,36,0.82429,0,29.6519,1501,90.2801,91.7968,91.8467,92.7467,4.1,fear_7.png,NaN,57
1,22,IEV,fear,15,0.89096,15,13.1734,551,96.8465,97.4131,97.4632,98.3631,1.1,fear_22.png,NaN,36
1,23,IEV,fear,23,0.85861,23,19.8584,1134,99.4631,100.613,100.663,101.563,1.1,fear_14.png,NaN,38
1,24,IEV,fear,24,0.8559,24,20.207,1168,102.6629,103.8462,103.8962,104.7962,0.1,fear_15.png,NaN,54
1,25,IEV,fear,20,0.87162,20,17.2138,951,104.8962,105.8627,105.9128,106.8127,0.1,fear_3.png,NaN,55
1,26,IEV,fear,23,0.85986,0,19.6964,1118,106.9127,108.046,108.096,108.9959,3.1,fear_9.png,NaN,55
1,27,IEV,fear,16,0.89351,16,14.4658,468,112.0959,112.5791,112.6292,113.5291,2.1,fear_24.png,NaN,37
1,28,IEV,fear,22,0.87471,22,19.3834,901,115.629,116.5456,116.5957,117.4956,5.1,fear_14.png,NaN,54
1,29,IEV,fear,25,0.87368,25,22.1541,918,122.5954,123.5286,123.5787,124.4786,5.1,fear_2.png,NaN,54
1,30,IEV,fear,20,0.88654,20,17.521,668,129.5951,130.2783,130.3284,131.2283,1.1,fear_22.png,NaN,54
1,31,IEV,fear,22,0.86606,0,18.8671,1034,132.3449,133.3949,133.4449,134.3448,8.1,fear_10.png,NaN,54
1,32,IEV,fear,22,0.88855,22,19.838,618,142.4612,143.0944,143.1445,144.0444,2.1,fear_25.png,NaN,37
1,33,IEV,fear,20,0.89038,20,17.7344,568,146.161,146.7443,146.7944,147.6942,9.1,fear_8.png,NaN,36
1,34,IEV,fear,83,0.53256,83,44.2426,3251,156.8106,160.077,160.1271,161.027,0.1,fear_16.png,NaN,36
1,35,IEV,fear,85,0.55304,85,46.9732,3151,161.1437,164.3102,164.3602,165.2601,1.1,fear_6.png,NaN,344
