run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image,full_rtpred_explore,full_rtpred_exploit
1,1,IEV,fear,23,0.8836,23,20.6612,734,8.0682,8.8182,8.8682,9.7681,5.1,fear_11.png,49,49
1,2,IEV,fear,29,0.83302,29,23.7593,1418,14.8846,16.3178,16.3679,17.2678,1.1,fear_8.png,NaN,49
1,3,IEV,fear,38,0.76501,38,28.8289,1968,18.3845,20.3676,20.4177,21.3176,2.1,fear_17.png,NaN,74
1,4,IEV,fear,54,0.66027,0,35.6665,2601,23.4176,26.034,26.0841,26.9841,0.1,fear_13.png,NaN,154
1,5,IEV,fear,14,0.88855,14,12.7296,618,27.0841,27.7173,27.7674,28.6672,1.1,fear_5.png,NaN,99
1,6,IEV,fear,96,0.51191,96,48.9309,3351,29.7673,33.1337,33.1837,34.0837,3.1,fear_23.png,NaN,118
1,7,IEV,fear,97,0.49112,0,47.3965,3451,37.1836,40.65,40.7001,41.6,0.1,fear_18.png,NaN,339
1,8,IEV,fear,20,0.85861,0,17.2826,1134,41.7,42.8499,42.9,43.7999,0.1,fear_19.png,NaN,326
1,9,IEV,fear,75,0.57671,75,43.4559,3034,43.8999,46.9497,46.9998,47.8997,2.1,fear_6.png,NaN,327
1,10,IEV,fear,76,0.59327,0,44.8779,2951,49.9996,52.9661,53.0162,53.9161,0.1,fear_16.png,NaN,321
1,11,IEV,fear,25,0.85727,25,21.7465,1151,54.0494,55.216,55.2661,56.166,0.1,fear_1.png,NaN,326
1,12,IEV,fear,41,0.76989,41,31.4741,1934,56.266,58.2159,58.2659,59.1659,0.1,fear_10.png,NaN,326
1,13,IEV,fear,92,0.52576,0,48.2916,3284,59.2659,62.5656,62.6157,63.5156,4.1,fear_4.png,NaN,325
1,14,IEV,fear,43,0.76515,43,32.6419,1967,67.6155,69.5987,69.6487,70.5486,0.1,fear_2.png,NaN,322
1,15,IEV,fear,86,0.52576,0,45.137,3284,70.6486,73.9484,73.9985,74.8984,4.1,fear_21.png,NaN,320
1,16,IEV,fear,25,0.86116,25,21.2479,1101,78.9983,80.1148,80.1649,81.0648,0.1,fear_9.png,NaN,314
1,17,IEV,fear,58,0.65732,0,37.8474,2617,81.1648,83.798,83.848,84.7479,1.1,fear_12.png,NaN,314
1,18,IEV,fear,38,0.76515,38,28.8161,1967,85.848,87.8311,87.8812,88.7811,11.1,fear_24.png,NaN,321
1,19,IEV,fear,90,0.51543,0,46.1932,3334,99.8806,103.2304,103.2804,104.1804,3.1,fear_25.png,NaN,319
1,20,IEV,fear,23,0.8828,23,19.9071,751,107.2803,108.0468,108.0969,108.9968,0.1,fear_20.png,NaN,161
1,21,IEV,fear,77,0.59663,0,45.8874,2934,109.0968,112.0467,112.0967,112.9966,4.1,fear_7.png,NaN,161
1,22,IEV,fear,36,0.76989,36,27.6247,1934,117.0965,119.0463,119.0964,119.9963,1.1,fear_22.png,NaN,153
1,23,IEV,fear,29,0.82429,29,23.8819,1501,121.0963,122.6128,122.6629,123.5628,1.1,fear_14.png,NaN,154
1,24,IEV,fear,62,0.63541,0,39.2977,2734,124.6628,127.4126,127.4626,128.3626,0.1,fear_15.png,NaN,153
1,25,IEV,fear,87,0.52225,0,45.3219,3301,128.4626,131.7791,131.8291,132.729,0.1,fear_3.png,NaN,138
1,26,IEV,fear,39,0.76501,0,29.5939,1968,132.829,134.8122,134.8623,135.7622,3.1,fear_9.png,NaN,135
1,27,IEV,fear,38,0.76989,38,29.1644,1934,138.8621,140.812,140.862,141.7619,2.1,fear_24.png,NaN,122
1,28,IEV,fear,77,0.57329,0,44.2215,3051,143.8619,146.9283,146.9784,147.8783,5.1,fear_14.png,NaN,134
1,29,IEV,fear,25,0.87471,25,22.0075,901,152.9781,153.8947,153.9447,154.8446,5.1,fear_2.png,NaN,120
1,30,IEV,fear,43,0.75018,43,32.3643,2068,159.9444,162.0276,162.0776,162.9776,1.1,fear_22.png,NaN,119
1,31,IEV,fear,16,0.89398,0,14.3736,451,164.0942,164.5608,164.6109,165.5108,8.1,fear_10.png,NaN,132
