run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image,full_rtpred_explore,full_rtpred_exploit
1,1,IEV,fear,31,0.80915,31,25.4578,1634,8.027,9.6769,9.727,10.6269,5.1,fear_11.png,139,139
1,2,IEV,fear,17,0.88029,17,15.0179,801,15.7434,16.5599,16.61,17.5099,1.1,fear_8.png,NaN,139
1,3,IEV,fear,27,0.85986,27,23.1358,1118,18.6265,19.7598,19.8098,20.7097,2.1,fear_17.png,NaN,137
1,4,IEV,fear,44,0.77454,44,34.1708,1901,22.8097,24.7262,24.7762,25.6762,0.1,fear_13.png,NaN,129
1,5,IEV,fear,50,0.70183,50,35.3874,2367,25.7762,28.1594,28.2094,29.1093,1.1,fear_5.png,NaN,162
1,6,IEV,fear,64,0.65102,64,41.5264,2651,30.2094,32.8758,32.9259,33.8258,3.1,fear_23.png,NaN,203
1,7,IEV,fear,74,0.57329,0,42.5017,3051,36.9257,39.9922,40.0422,40.9421,0.1,fear_18.png,NaN,241
1,8,IEV,fear,47,0.72127,47,33.9241,2251,41.0588,43.3253,43.3753,44.2753,0.1,fear_19.png,NaN,200
1,9,IEV,fear,52,0.71031,52,36.8882,2317,44.3754,46.7085,46.7585,47.6585,2.1,fear_6.png,NaN,202
1,10,IEV,fear,55,0.67247,0,36.8054,2534,49.7584,52.3083,52.3583,53.2582,0.1,fear_16.png,NaN,204
1,11,IEV,fear,41,0.77454,41,31.8471,1901,53.3583,55.2748,55.3248,56.2247,0.1,fear_1.png,NaN,195
1,12,IEV,fear,98,0.48069,98,46.9326,3501,56.3248,59.8412,59.8913,60.7912,0.1,fear_10.png,NaN,194
1,13,IEV,fear,113,0.4598,0,52.0761,3601,60.8912,64.5077,64.5577,65.4576,4.1,fear_4.png,NaN,376
1,14,IEV,fear,19,0.89442,19,16.9676,434,69.5575,70.0074,70.0575,70.9574,0.1,fear_2.png,NaN,218
1,15,IEV,fear,22,0.89152,22,19.3075,534,71.0574,71.6073,71.6574,72.5573,4.1,fear_21.png,NaN,220
