run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image,full_rtpred_explore,full_rtpred_exploit,limited_rtpred_explore,limited_rtpred_exploit
1,1,IEV,fear,26,0.86833,26,22.8933,1001,8.0299,9.0466,9.0971,9.9965,5.1,fear_11.png,76,76,21,21
1,2,IEV,fear,20,0.88029,20,17.6587,801,15.113,15.9297,15.9797,16.8795,1.1,fear_8.png,376,76,152,80
1,3,IEV,fear,27,0.82783,27,22.6713,1468,17.9962,19.4794,19.5295,20.4294,2.1,fear_17.png,376,74,153,80
1,4,IEV,fear,22,0.85036,22,18.348,1234,22.5294,23.7792,23.8293,24.7292,0.1,fear_13.png,376,90,158,80
1,5,IEV,fear,17,0.87571,17,14.8568,884,24.8293,25.7291,25.7792,26.6791,1.1,fear_5.png,376,93,158,80
1,6,IEV,fear,39,0.79466,39,30.8556,1751,27.7791,29.5456,29.5957,30.4956,3.1,fear_23.png,376,94,158,80
1,7,IEV,fear,28,0.82962,28,23.3034,1451,33.5955,35.0621,35.1122,36.012,0.1,fear_18.png,376,141,158,91
1,8,IEV,fear,19,0.86244,0,16.7689,1084,36.1121,37.212,37.2621,38.1619,0.1,fear_19.png,376,154,158,87
1,9,IEV,fear,36,0.78602,36,28.4848,1817,38.262,40.0952,40.1453,41.0451,2.1,fear_6.png,376,160,158,94
1,10,IEV,fear,44,0.76268,0,33.6099,1984,43.1451,45.145,45.195,46.0949,0.1,fear_16.png,376,180,158,102
1,11,IEV,fear,28,0.84128,28,23.6667,1334,46.195,47.5448,47.5949,48.4948,0.1,fear_1.png,376,140,158,86
1,12,IEV,fear,28,0.85036,28,23.4502,1234,48.5949,49.8447,49.8948,50.7947,0.1,fear_10.png,376,140,158,84
1,13,IEV,fear,31,0.83966,31,26.3709,1351,50.8948,52.2613,52.3114,53.2113,4.1,fear_4.png,376,139,158,83
1,14,IEV,fear,35,0.81093,35,28.5213,1619,57.3112,58.9444,58.9944,59.8943,0.1,fear_2.png,376,139,158,82
1,15,IEV,fear,31,0.80505,31,25.0634,1668,59.9943,61.6776,61.7276,62.6275,4.1,fear_21.png,376,156,158,84
1,16,IEV,fear,32,0.82067,32,25.9094,1534,66.7274,68.2773,68.3273,69.2272,0.1,fear_9.png,376,158,158,85
1,17,IEV,fear,29,0.82244,0,24.0804,1518,69.3273,70.8605,70.9105,71.8104,1.1,fear_12.png,376,159,158,85
1,18,IEV,fear,23,0.8559,23,19.3511,1168,72.9104,74.0937,74.1437,75.0436,11.1,fear_24.png,376,157,158,85
1,19,IEV,fear,25,0.84736,25,21.2633,1268,86.1432,87.4264,87.4765,88.3764,3.1,fear_25.png,376,157,158,85
1,20,IEV,fear,33,0.82613,33,26.9888,1484,91.4763,92.9762,93.0262,93.9267,0.1,fear_20.png,376,157,158,84
