run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image,full_rtpred_explore,full_rtpred_exploit
1,1,IEV,fear,25,0.8776,25,21.586,851,8.0292,8.8958,8.9464,9.8458,5.1,fear_11.png,61,61
1,2,IEV,fear,30,0.82419,30,24.7177,1502,14.9623,16.4788,16.5289,17.4288,1.1,fear_8.png,NaN,60
1,3,IEV,fear,75,0.57007,0,42.6883,3067,18.5454,21.6286,21.6786,22.5785,2.1,fear_17.png,NaN,82
1,4,IEV,fear,41,0.73482,41,29.9235,2167,24.6785,26.8617,26.9117,27.8116,0.1,fear_13.png,NaN,76
1,5,IEV,fear,52,0.66903,52,35.0377,2553,27.9117,30.4781,30.5282,31.4281,1.1,fear_5.png,NaN,132
1,6,IEV,fear,67,0.63218,67,42.6672,2751,32.5281,35.2946,35.3446,36.2446,3.1,fear_23.png,NaN,179
1,7,IEV,fear,67,0.6096,0,40.925,2868,39.3444,42.2277,42.2776,43.1776,0.1,fear_18.png,NaN,212
1,8,IEV,fear,46,0.70183,0,32.5801,2367,43.2776,45.6608,45.7109,46.6107,0.1,fear_19.png,NaN,191
1,9,IEV,fear,22,0.86833,22,19.4199,1001,46.7108,47.7273,47.7774,48.6773,2.1,fear_6.png,NaN,181
1,10,IEV,fear,31,0.84279,31,26.0217,1318,50.7773,52.1105,52.1605,53.0604,0.1,fear_16.png,NaN,183
1,11,IEV,fear,45,0.73734,45,33.3981,2151,53.1605,55.327,55.377,56.2769,0.1,fear_1.png,NaN,177
1,12,IEV,fear,62,0.65102,62,40.2244,2651,56.377,59.0435,59.0935,59.9934,0.1,fear_10.png,NaN,179
1,13,IEV,fear,23,0.88724,23,20.062,651,60.0935,60.7601,60.8101,61.71,4.1,fear_4.png,NaN,201
1,14,IEV,fear,25,0.87053,25,21.7244,968,65.8432,66.8264,66.8765,67.7764,0.1,fear_2.png,NaN,203
1,15,IEV,fear,34,0.79038,34,26.4991,1784,67.8931,69.693,69.743,70.643,4.1,fear_21.png,NaN,206
1,16,IEV,fear,56,0.67839,56,37.7454,2501,74.7428,77.2593,77.3094,78.2093,0.1,fear_9.png,NaN,203
1,17,IEV,fear,58,0.65732,0,37.8474,2617,78.3093,80.9425,80.9925,81.8924,1.1,fear_12.png,NaN,216
1,18,IEV,fear,26,0.83801,26,21.5242,1368,83.0091,84.3923,84.4423,85.3423,11.1,fear_24.png,NaN,200
1,19,IEV,fear,55,0.6694,0,37.0196,2551,96.4584,99.0249,99.075,99.9749,3.1,fear_25.png,NaN,201
1,20,IEV,fear,26,0.86606,26,22.3313,1034,103.0748,104.1247,104.1747,105.0747,0.1,fear_20.png,NaN,195
1,21,IEV,fear,37,0.82067,0,30.0127,1534,105.1747,106.7246,106.7746,107.6746,4.1,fear_7.png,NaN,196
1,22,IEV,fear,45,0.71299,45,32.4165,2301,111.7744,114.0909,114.1409,115.0409,1.1,fear_22.png,NaN,204
1,23,IEV,fear,44,0.73466,44,32.1408,2168,116.1409,118.3241,118.3741,119.274,1.1,fear_14.png,NaN,215
1,24,IEV,fear,44,0.73211,0,32.3454,2184,120.374,122.5738,122.6239,123.5238,0.1,fear_15.png,NaN,214
