run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image,full_rtpred_explore,full_rtpred_exploit,limited_rtpred_explore,limited_rtpred_exploit
1,1,DEV,scram,77,0.66786,0,51.2812,901,8.0687,8.9853,9.0358,9.9353,5.1,scram_2.png,66,66,29,29
1,2,DEV,scram,71,0.73488,0,52.0581,618,15.0517,15.685,15.735,16.6349,1.1,scram_7.png,376,66,274,29
1,3,DEV,scram,74,0.52953,0,39.4031,1601,17.7516,19.3681,19.4182,20.3181,2.1,scram_20.png,376,66,274,29
1,4,DEV,scram,75,0.4257,0,32.0025,2334,22.4347,24.7845,24.8346,25.7345,5.1,scram_12.png,376,66,284,29
1,5,DEV,scram,78,0.33858,78,26.3472,3251,30.8343,34.1008,34.1508,35.0507,0.1,scram_19.png,376,66,284,29
1,6,DEV,scram,86,0.32676,86,28.1634,3401,35.1508,38.5672,38.6172,39.5172,0.1,scram_4.png,376,324,181,284
1,7,DEV,scram,81,0.32288,0,26.2538,3451,39.6173,43.0837,43.1337,44.0336,1.1,scram_15.png,376,336,148,284
1,8,DEV,scram,77,0.36359,0,28.0066,2951,45.1336,48.1001,48.1502,49.0501,0.1,scram_24.png,25,323,137,284
1,9,DEV,scram,76,0.55274,76,41.9063,1468,49.1501,50.6333,50.6834,51.5833,3.1,scram_5.png,25,334,124,284
1,10,DEV,scram,79,0.58064,0,45.9279,1318,54.6832,56.0164,56.0664,56.9664,3.1,scram_9.png,25,328,138,284
1,11,DEV,scram,77,0.55581,77,42.6511,1451,60.0663,61.5328,61.5829,62.4828,0.1,scram_18.png,376,331,152,284
1,12,DEV,scram,78,0.54385,78,42.4438,1518,62.5828,64.116,64.1661,65.066,1.1,scram_3.png,376,326,163,284
1,13,DEV,scram,80,0.56184,0,44.7122,1418,66.166,67.5992,67.6492,68.5491,1.1,scram_21.png,376,323,170,284
1,14,DEV,scram,79,0.55274,79,43.5645,1468,69.6491,71.1323,71.1824,72.0823,1.1,scram_17.png,376,325,178,284
1,15,DEV,scram,74,0.56184,0,41.3412,1418,73.1823,74.6155,74.6655,75.5655,4.1,scram_1.png,376,322,183,284
1,16,DEV,scram,77,0.54105,77,41.723,1534,79.682,81.2319,81.2819,82.1818,10.1,scram_16.png,376,324,188,284
1,17,DEV,scram,75,0.56184,0,41.903,1418,92.2981,93.7313,93.7813,94.6812,1.1,scram_14.png,376,321,194,284
1,18,DEV,scram,75,0.51577,0,38.5616,1684,95.7812,97.4811,97.5311,98.4311,2.1,scram_6.png,376,323,197,284
1,19,DEV,scram,73,0.63852,0,46.3446,1034,100.531,101.5809,101.631,102.5309,5.1,scram_22.png,376,327,201,284
1,20,DEV,scram,79,0.5589,79,43.9619,1434,107.6307,109.0806,109.1306,110.0305,0.1,scram_23.png,376,328,202,284
1,21,DEV,scram,82,0.56497,0,46.0464,1401,110.1306,111.5471,111.5971,112.4971,0.1,scram_13.png,376,325,206,284
1,22,DEV,scram,73,0.56184,73,40.7793,1418,112.5971,114.0303,114.0804,114.9803,0.1,scram_25.png,376,327,209,284
1,23,DEV,scram,75,0.52953,75,39.9326,1601,115.0803,116.6969,116.7469,117.6468,0.1,scram_11.png,376,325,211,284
1,24,DEV,scram,76,0.52118,0,39.4144,1651,117.7469,119.4134,119.4635,120.3634,4.1,scram_10.png,376,322,213,284
1,25,DEV,scram,76,0.45458,0,34.7197,2101,124.4632,126.5797,126.6298,127.5297,2.1,scram_8.png,376,325,215,284
1,26,DEV,scram,73,0.62071,0,45.346,1118,129.6297,130.7629,130.8129,131.7128,8.1,scram_21.png,376,335,222,284
1,27,DEV,scram,74,0.57434,74,42.6513,1351,139.8125,141.179,141.2291,142.129,4.1,scram_16.png,376,336,223,284
1,28,DEV,scram,76,0.57114,0,43.6024,1368,146.2289,147.6121,147.6621,148.5626,0.1,scram_14.png,376,333,224,284
1,29,DEV,scram,80,0.5265,80,42.3775,1619,148.6621,150.2953,150.3454,151.2452,3.1,scram_19.png,376,336,226,284
1,30,DEV,scram,77,0.5589,0,42.8441,1434,154.3452,155.795,155.845,156.745,2.1,scram_23.png,376,328,227,284
1,31,DEV,scram,75,0.52667,0,39.7554,1618,158.8449,160.4781,160.5282,161.4281,0.1,scram_4.png,376,333,229,284
1,32,DEV,scram,81,0.50239,0,40.7498,1768,161.5281,163.3113,163.3614,164.2613,1.1,scram_3.png,376,337,231,284
1,33,DEV,scram,77,0.58722,77,45.1742,1284,165.3613,166.6612,166.7112,167.6111,1.1,scram_1.png,376,340,284,284
1,34,DEV,scram,71,0.61039,71,43.5366,1168,168.7111,169.8949,169.9444,170.8443,7.1,scram_13.png,376,338,284,284
1,35,DEV,scram,79,0.58392,79,46.1378,1301,177.9607,179.2773,179.3273,180.2273,0.1,scram_7.png,376,338,284,284
1,36,DEV,scram,72,0.56814,0,41.1448,1384,180.3439,181.7438,181.7938,182.6938,0.1,scram_8.png,376,336,284,284
1,37,DEV,scram,76,0.59707,76,45.1824,1234,182.8104,184.0604,184.1104,185.0103,2.1,scram_18.png,376,338,284,284
1,38,DEV,scram,74,0.60027,74,44.1738,1218,187.1269,188.3602,188.4102,189.3101,0.1,scram_10.png,376,336,284,284
1,39,DEV,scram,79,0.58392,79,46.1378,1301,189.4268,190.7434,190.7934,191.6933,0.1,scram_15.png,376,334,284,284
1,40,DEV,scram,76,0.58722,76,44.587,1284,191.81,193.1099,193.16,194.0599,1.1,scram_5.png,376,134,284,284
1,41,DEV,scram,77,0.59035,77,45.3671,1268,195.1765,196.4598,196.5098,197.4097,8.1,scram_11.png,376,120,284,284
1,42,DEV,scram,78,0.59035,78,45.9575,1268,205.526,206.8094,206.8593,207.7592,11.1,scram_17.png,376,119,284,284
1,43,DEV,scram,78,0.59035,0,45.9575,1268,218.8755,220.1587,220.2087,221.1086,0.1,scram_9.png,376,118,284,284
1,44,DEV,scram,72,0.58392,72,42.0504,1301,221.2253,222.5419,222.5919,223.4918,0.1,scram_25.png,376,119,284,284
1,45,DEV,scram,80,0.57758,80,46.3087,1334,223.6085,224.9584,225.0085,225.9084,4.1,scram_12.png,376,118,284,284
1,46,DEV,scram,79,0.57114,79,45.3158,1368,230.0582,231.4415,231.4915,232.3914,0.1,scram_20.png,376,118,284,284
1,47,DEV,scram,82,0.5589,82,45.6386,1434,232.5081,233.958,234.0081,234.908,0.1,scram_22.png,376,118,284,284
1,48,DEV,scram,75,0.56814,75,42.8492,1384,235.058,236.4579,236.5079,237.4079,3.1,scram_6.png,376,118,284,284
1,49,DEV,scram,82,0.52667,82,43.4421,1618,240.5244,242.1576,242.2077,243.1076,6.1,scram_2.png,376,118,284,284
1,50,DEV,scram,80,0.5589,80,44.5208,1434,249.224,250.6739,250.7239,251.6239,12.1,scram_24.png,376,119,284,89
2,51,IEV,happy,24,0.88586,24,21.1801,684,8.0744,8.7744,8.8244,9.7243,0.1,happy_8.png,44,44,14,14
2,52,IEV,happy,19,0.88511,19,16.8765,701,9.8411,10.5576,10.6076,11.5076,0.1,happy_20.png,363,41,275,55
2,53,IEV,happy,23,0.88435,23,20.5418,718,11.6243,12.3575,12.4076,13.3075,0.1,happy_23.png,376,40,276,55
2,54,IEV,happy,24,0.88511,24,21.3021,701,13.4242,14.1408,14.1908,15.0907,2.1,happy_21.png,376,40,276,55
2,55,IEV,happy,19,0.87854,19,17.0535,834,17.2073,18.0573,18.1073,19.0072,4.1,happy_13.png,376,39,286,55
2,56,IEV,happy,18,0.87571,18,15.7326,884,23.1237,24.0237,24.0737,24.9736,1.1,happy_16.png,376,39,286,55
2,57,IEV,happy,22,0.88029,22,19.4193,801,26.0903,26.9069,26.9569,27.8568,0.1,happy_1.png,376,38,286,55
2,58,IEV,happy,17,0.8794,17,15.1604,818,27.9735,28.8068,28.8569,29.7567,6.1,happy_11.png,376,38,286,55
2,59,IEV,happy,22,0.8794,22,19.5574,818,35.8731,36.7064,36.7564,37.6564,2.1,happy_17.png,376,38,286,55
2,60,IEV,happy,22,0.87664,22,19.0978,868,39.773,40.6562,40.7062,41.6062,2.1,happy_18.png,376,38,286,55
2,61,IEV,happy,16,0.8836,16,14.4759,734,43.7228,44.4727,44.5227,45.4227,4.1,happy_15.png,376,38,286,55
2,62,IEV,happy,17,0.87854,17,15.2965,834,49.5392,50.3891,50.4391,51.339,0.1,happy_24.png,376,38,286,55
2,63,IEV,happy,17,0.88724,17,14.7385,651,51.4557,52.1223,52.1724,53.0723,0.1,happy_22.png,376,38,286,55
2,64,IEV,happy,16,0.87854,16,14.4179,834,53.189,54.0389,54.0889,54.9889,1.1,happy_6.png,376,38,286,55
2,65,IEV,happy,24,0.8836,0,21.5448,734,56.1055,56.8555,56.9055,57.8054,1.1,happy_4.png,376,38,286,55
2,66,IEV,happy,23,0.87263,23,19.6846,935,58.9221,59.872,59.922,60.8219,0.1,happy_14.png,376,53,286,55
2,67,IEV,happy,26,0.87471,26,22.8822,901,60.9387,61.8552,61.9052,62.8052,1.1,happy_7.png,376,54,286,55
2,68,IEV,happy,19,0.87269,19,16.1848,934,63.9218,64.8717,64.9218,65.8217,9.1,happy_5.png,376,55,286,55
2,69,IEV,happy,21,0.87368,21,18.6594,918,74.938,75.8712,75.9212,76.8212,4.1,happy_9.png,376,55,286,55
2,70,IEV,happy,21,0.87664,21,18.2211,868,80.9377,81.8209,81.871,82.7709,3.1,happy_2.png,376,55,286,55
2,71,IEV,happy,17,0.87854,17,15.2965,834,85.8874,86.7374,86.7874,87.6873,8.1,happy_3.png,376,56,286,55
2,72,IEV,happy,28,0.86947,0,24.4778,984,95.8036,96.8036,96.8536,97.7535,0.1,happy_25.png,376,56,286,55
2,73,IEV,happy,15,0.89038,15,13.2825,568,97.8702,98.4535,98.5035,99.4035,0.1,happy_10.png,376,37,286,55
2,74,IEV,happy,18,0.89096,18,15.8462,551,99.5201,100.0867,100.1368,101.0367,1.1,happy_12.png,376,54,286,55
2,75,IEV,happy,16,0.8828,16,13.7275,751,102.1534,102.9199,102.97,103.8699,1.1,happy_19.png,376,54,286,55
2,76,IEV,happy,17,0.88654,17,14.8614,668,104.9866,105.6698,105.7198,106.6198,8.1,happy_25.png,376,54,286,55
2,77,IEV,happy,23,0.8828,23,19.9071,751,114.7361,115.5027,115.5527,116.4526,1.1,happy_17.png,376,54,286,55
2,78,IEV,happy,19,0.88792,19,17.2818,634,117.5693,118.2192,118.2693,119.1692,0.1,happy_5.png,376,54,286,55
2,79,IEV,happy,17,0.89038,17,15.0633,568,119.2859,119.8691,119.9192,120.8191,0.1,happy_18.png,376,37,286,55
2,80,IEV,happy,72,0.58332,0,41.9135,3001,120.9358,123.9523,124.0023,124.9022,1.1,happy_8.png,376,54,286,55
2,81,IEV,happy,47,0.70744,47,33.5568,2334,126.0522,128.4021,128.4521,129.352,1.1,happy_22.png,376,37,286,55
2,82,IEV,happy,52,0.70183,52,36.7911,2367,130.4687,132.8519,132.9019,133.8018,3.1,happy_21.png,376,76,286,55
2,83,IEV,happy,47,0.70166,0,33.295,2368,136.9184,139.3016,139.3516,140.2515,0.1,happy_7.png,376,232,286,183
2,84,IEV,happy,61,0.66631,0,40.5649,2568,140.3682,142.9514,143.0015,143.9013,1.1,happy_9.png,376,213,286,175
2,85,IEV,happy,19,0.88435,19,17.0044,718,145.0513,145.7846,145.8346,146.7345,8.1,happy_6.png,376,76,286,55
2,86,IEV,happy,19,0.88117,19,16.6396,784,154.8509,155.6508,155.7008,156.6007,5.1,happy_20.png,376,76,286,55
2,87,IEV,happy,95,0.50153,0,47.892,3401,161.7172,165.1337,165.1837,166.0836,7.1,happy_19.png,376,76,286,55
2,88,IEV,happy,24,0.88029,24,21.1799,801,173.2,174.0166,174.0666,174.9665,6.1,happy_14.png,376,76,286,55
2,89,IEV,happy,21,0.87571,21,18.3597,884,181.083,181.9829,182.0329,182.9328,2.1,happy_15.png,376,76,286,55
2,90,IEV,happy,22,0.87664,22,19.0978,868,185.0494,185.9327,185.9827,186.8826,0.1,happy_2.png,376,76,286,55
2,91,IEV,happy,24,0.88511,24,21.3021,701,186.9994,187.7159,187.7659,188.6659,6.1,happy_24.png,376,76,286,55
2,92,IEV,happy,23,0.8776,23,19.8308,851,194.7823,195.6489,195.6989,196.5989,0.1,happy_16.png,376,76,286,55
2,93,IEV,happy,23,0.8776,23,19.8308,851,196.7156,197.5821,197.6322,198.5321,0.1,happy_10.png,376,76,286,55
2,94,IEV,happy,19,0.87934,19,16.9276,819,198.6488,199.4821,199.5321,200.432,3.1,happy_12.png,376,76,286,55
2,95,IEV,happy,17,0.8836,17,15.3595,734,203.5486,204.2985,204.3485,205.2484,0.1,happy_11.png,376,76,286,55
2,96,IEV,happy,20,0.87162,20,17.2138,951,205.3651,206.3317,206.3818,207.2817,2.1,happy_23.png,376,76,286,55
2,97,IEV,happy,17,0.88654,17,14.8614,668,209.3983,210.0816,210.1316,211.0315,5.1,happy_4.png,376,76,286,55
2,98,IEV,happy,22,0.87269,22,18.8029,934,216.148,217.0979,217.1479,218.0479,0.1,happy_3.png,376,76,286,55
2,99,IEV,happy,26,0.8776,26,22.4636,851,218.1646,219.0311,219.0811,219.9811,4.1,happy_1.png,376,77,286,55
2,100,IEV,happy,19,0.8776,19,16.3205,851,224.0976,224.9642,225.0142,225.9141,12.1,happy_13.png,376,77,286,55
3,101,CEVR,scram,166,0.22994,0,38.1497,668,8.015,8.6982,8.7483,9.6482,0.1,scram_18.png,43,43,40,40
3,102,CEVR,scram,160,0.22526,0,36.099,551,9.7649,10.3315,10.3815,11.2815,7.1,scram_5.png,363,43,289,40
3,103,CEVR,scram,145,0.25397,0,36.746,1201,18.3978,19.6144,19.6644,20.5644,4.1,scram_1.png,363,43,300,40
3,104,CEVR,scram,162,0.22526,0,36.5495,551,24.6809,25.2475,25.2975,26.1974,0.1,scram_2.png,376,43,300,40
3,105,CEVR,scram,153,0.24439,0,37.4888,1001,26.3141,27.3307,27.3807,28.2807,0.1,scram_11.png,376,43,300,40
3,106,CEVR,scram,126,0.28468,126,35.8613,1751,28.3974,30.1639,30.2139,31.1139,2.1,scram_4.png,376,43,300,40
3,107,CEVR,scram,85,0.42697,85,36.1461,3267,33.2304,36.5136,36.5636,37.4635,0.1,scram_9.png,376,208,300,185
3,108,CEVR,scram,135,0.2746,0,37,1584,37.5802,39.1801,39.2302,40.1301,2.1,scram_25.png,376,298,210,300
3,109,CEVR,scram,137,0.26613,137,36.4677,1434,42.2467,43.6966,43.7466,44.6466,0.1,scram_22.png,376,306,218,300
3,110,CEVR,scram,136,0.26167,0,35.6917,1351,44.7632,46.1298,46.1798,47.0798,0.1,scram_19.png,376,295,222,300
3,111,CEVR,scram,137,0.27367,0,37.5473,1568,47.1965,48.7797,48.8297,49.7296,0.1,scram_23.png,376,301,224,300
3,112,CEVR,scram,150,0.24827,0,37.2483,1084,49.8463,50.9462,50.9963,51.8962,1.1,scram_20.png,376,308,228,300
3,113,CEVR,scram,129,0.28784,129,37,1801,53.0628,54.8794,54.9295,55.8294,4.1,scram_12.png,376,311,229,300
3,114,CEVR,scram,134,0.27659,0,37,1618,59.9459,61.5791,61.6291,62.529,1.1,scram_10.png,376,297,233,300
3,115,CEVR,scram,128,0.28158,0,36.1553,1701,63.6457,65.3622,65.4123,66.3122,11.1,scram_13.png,376,303,235,300
3,116,CEVR,scram,151,0.24671,0,37.2467,1051,77.4284,78.4949,78.545,79.4449,0.1,scram_7.png,376,311,238,300
3,117,CEVR,scram,157,0.23409,0,36.7659,768,79.5616,80.3449,80.3949,81.2948,4.1,scram_8.png,376,314,238,300
3,118,CEVR,scram,149,0.25735,0,38.2868,1268,85.4113,86.6946,86.7446,87.6445,3.1,scram_14.png,376,315,238,300
3,119,CEVR,scram,136,0.28055,136,38.1222,1684,90.7611,92.461,92.511,93.4109,3.1,scram_3.png,376,317,239,300
3,120,CEVR,scram,132,0.28676,0,37.8603,1784,96.5275,98.3273,98.3774,99.2773,5.1,scram_21.png,376,305,241,300
3,121,CEVR,scram,136,0.268,136,36.464,1468,104.3938,105.877,105.9271,106.827,10.1,scram_17.png,376,314,242,300
3,122,CEVR,scram,140,0.268,0,37.536,1468,116.9432,118.4264,118.4764,119.3764,1.1,scram_24.png,376,304,243,300
3,123,CEVR,scram,146,0.25735,146,37.5147,1268,120.493,121.7762,121.8263,122.7262,0.1,scram_16.png,376,309,244,300
3,124,CEVR,scram,145,0.25905,145,37.5181,1301,122.8429,124.1595,124.2095,125.1094,1.1,scram_15.png,376,303,245,300
3,125,CEVR,scram,146,0.25905,0,37.7772,1301,126.2261,127.5426,127.5927,128.4927,0.1,scram_6.png,376,298,246,300
3,126,CEVR,scram,143,0.26526,0,38.061,1418,128.6093,130.0425,130.0925,130.9925,2.1,scram_12.png,376,301,246,300
3,127,CEVR,scram,139,0.26167,0,36.4767,1351,133.1091,134.4756,134.5257,135.4256,1.1,scram_25.png,376,304,247,300
3,128,CEVR,scram,132,0.27367,0,36.179,1568,136.5423,138.1255,138.1755,139.0755,0.1,scram_20.png,376,307,248,300
3,129,CEVR,scram,147,0.25563,147,37.5113,1234,139.1921,140.442,140.4921,141.392,1.1,scram_19.png,376,314,249,300
3,130,CEVR,scram,144,0.25649,0,37,1251,142.5086,143.7752,143.8252,144.7252,1.1,scram_14.png,376,306,249,300
3,131,CEVR,scram,151,0.24671,0,37.2467,1051,145.8418,146.9084,146.9584,147.8583,2.1,scram_1.png,376,311,250,300
3,132,CEVR,scram,148,0.25735,0,38.0294,1268,149.9749,151.2582,151.3082,152.2081,9.1,scram_18.png,376,313,250,300
3,133,CEVR,scram,140,0.26707,0,37.2671,1451,161.3244,162.791,162.841,163.7409,3.1,scram_15.png,376,315,250,300
3,134,CEVR,scram,124,0.29219,124,36.1234,1868,166.8575,168.7407,168.7907,169.6906,1.1,scram_11.png,376,318,251,300
3,135,CEVR,scram,119,0.29894,0,35.5053,1968,170.8073,172.7905,172.8405,173.7405,6.1,scram_7.png,376,309,252,300
3,136,CEVR,scram,134,0.27081,0,36.1876,1518,179.8569,181.3901,181.4401,182.34,0.1,scram_17.png,376,316,253,300
3,137,CEVR,scram,155,0.24138,0,37.4828,935,182.4567,183.4067,183.4567,184.3566,3.1,scram_2.png,376,318,253,300
3,138,CEVR,scram,116,0.31849,0,37,2234,187.4732,189.723,189.7731,190.673,6.1,scram_3.png,376,319,253,300
3,139,CEVR,scram,140,0.268,140,37.536,1468,196.7894,198.2727,198.3227,199.2226,0.1,scram_9.png,376,321,254,300
3,140,CEVR,scram,128,0.27958,128,35.8817,1668,199.3393,201.0225,201.0725,201.9725,6.1,scram_5.png,376,318,255,300
3,141,CEVR,scram,134,0.2689,0,35.9244,1484,208.0889,209.5888,209.6388,210.5387,0.1,scram_8.png,376,310,255,300
3,142,CEVR,scram,146,0.25817,0,37.7745,1284,210.6554,211.9553,212.0053,212.9053,2.1,scram_13.png,376,315,256,300
3,143,CEVR,scram,168,0.21526,0,36.139,284,215.0552,215.3552,215.4052,216.3052,7.1,scram_22.png,376,317,256,300
3,144,CEVR,scram,162,0.22791,0,37,618,223.4215,224.0548,224.1048,225.0047,2.1,scram_16.png,376,317,256,300
3,145,CEVR,scram,134,0.27855,0,37.2786,1651,227.1213,228.7879,228.8379,229.7378,0.1,scram_10.png,376,317,256,300
3,146,CEVR,scram,151,0.24439,0,37,1001,229.8545,230.8711,230.9211,231.8211,0.1,scram_23.png,376,319,256,300
3,147,CEVR,scram,125,0.30243,0,37.9073,2018,231.9377,233.9709,234.021,234.9209,0.1,scram_4.png,376,320,256,300
3,148,CEVR,scram,130,0.27659,130,35.8936,1618,235.0542,236.6875,236.7375,237.6375,2.1,scram_21.png,376,322,257,300
3,149,CEVR,scram,134,0.27367,134,36.7263,1568,239.7541,241.3373,241.3873,242.2872,0.1,scram_24.png,376,319,258,300
3,150,CEVR,scram,134,0.28158,0,37.8447,1701,242.4039,244.1205,244.1705,245.0704,12.1,scram_6.png,376,314,258,300
4,151,DEV,happy,73,0.67536,73,49.0149,868,8.05,8.9333,8.9833,9.8832,0.1,happy_18.png,63,63,36,36
4,152,DEV,happy,73,0.65667,73,47.9966,951,9.9999,10.9665,11.0165,11.9165,2.1,happy_7.png,376,62,96,52
4,153,DEV,happy,75,0.65667,0,49.3099,951,14.0497,15.0163,15.0663,15.9663,2.1,happy_10.png,376,64,96,52
4,154,DEV,happy,72,0.71051,72,50.8513,718,18.0829,18.8162,18.8662,19.7661,1.1,happy_3.png,376,61,96,52
