"run","trial","rewFunc","emotion","magnitude","probability","score","ev","rt","clock_onset","isi_onset","feedback_onset","iti_onset","iti_ideal","image","pushidx"
1,1,"IEV","scram",25,0.858300012440435,25,21.6157442468709,0,4185,5317,5634,6467,0,NA,4185
1,2,"IEV","scram",35,0.791556242154171,35,27.9697833822757,0,7917,9699,9999,10848,0,NA,7917
1,3,"IEV","scram",44,0.72355901075941,0,31.5765216327449,0,11915,14164,14464,15314,0,NA,11915
1,4,"IEV","scram",39,0.805900281671247,39,31.424945767991,0,16647,18313,18613,19462,0,NA,16647
1,5,"IEV","scram",38,0.800733896878572,38,30.2977301282382,0,20729,22445,22744,23594,0,NA,20729
1,6,"IEV","scram",41,0.77897459310611,41,32.2424700176976,0,24811,26693,26993,27843,0,NA,24811
1,7,"IEV","scram",35,0.78129961492989,35,27.3536964874411,0,29109,30975,31275,32124,0,NA,29109
1,8,"IEV","scram",43,0.783602858038346,43,33.4080840427022,0,33208,35040,35340,36190,0,NA,33208
1,9,"IEV","scram",36,0.779111959909043,36,28.3350785186892,0,37473,39339,39638,40488,0,NA,37473
1,10,"IEV","scram",16,0.890375540320002,16,14.1729017831394,0,41721,42288,42587,43437,0,NA,41721
1,11,"IEV","scram",101,0.487784893930398,101,49.507983544738,0,44570,48036,48335,49185,0,NA,44570
1,12,"IEV","scram",111,0.440580426742873,111,48.8243045175671,0,50252,53950,54250,55100,0,NA,50252
1,13,"IEV","scram",115,0.428891515075293,115,49.3453747813915,0,56433,60182,60481,61331,0,NA,56433
1,14,"IEV","scram",109,0.442878073437221,109,48.2774112984961,0,62364,66046,66346,67195,0,NA,62364
1,15,"IEV","scram",134,0.401223691494925,0,53.7349761984928,0,68379,72261,72560,73410,0,NA,68379
1,16,"IEV","scram",112,0.435986528634854,0,49.0307032251664,0,74493,78209,78508,79358,0,NA,74493
1,17,"IEV","scram",16,0.896653663794657,16,14.7215578606292,0,80608,80941,81241,82090,0,NA,80608
1,18,"IEV","scram",25,0.870720272122597,25,21.6973512446594,0,83273,84240,84539,85389,0,NA,83273
1,19,"IEV","scram",38,0.7993578899625,38,30.4252079727101,0,86672,88388,88688,89538,0,NA,86672
1,20,"IEV","scram",80,0.544876710921424,80,43.5622632323547,0,91004,94203,94503,95352,0,NA,91004
1,21,"IEV","scram",120,0.42930868597608,120,51.4735536990718,0,96486,100234,100534,101383,0,NA,96486
1,22,"IEV","scram",21,0.891615796661326,21,18.3979899979238,0,102667,103200,103499,104349,0,NA,102667
1,23,"IEV","scram",98,0.48528272541057,98,47.6763859699019,0,105382,108865,109164,110014,0,NA,105382
1,24,"IEV","scram",112,0.45165388116993,0,50.5764481415972,0,111180,114829,115129,115978,0,NA,111180
1,25,"IEV","scram",25,0.883838108919412,25,22.3913399206373,0,117511,118245,118544,119394,0,NA,117511
1,26,"IEV","scram",34,0.815583868985785,0,28.0622803689507,0,120677,122260,122559,123409,0,NA,120677
1,27,"IEV","scram",46,0.72225227202675,46,33.1260177944628,0,124692,126942,127241,128091,0,NA,124692
1,28,"IEV","scram",111,0.461267735977858,111,51.0977268033579,0,129224,132823,133122,133972,0,NA,129224
1,29,"IEV","scram",43,0.756345686037789,43,32.6111533937361,0,135255,137288,137587,138437,0,NA,135255
1,30,"IEV","scram",113,0.457923792439898,113,51.6895785940319,0,139870,143486,143785,144635,0,NA,139870
1,31,"IEV","scram",34,0.795557117298649,34,26.7962026851641,0,146118,147868,148167,149017,0,NA,146118
1,32,"IEV","scram",96,0.499862615620575,0,47.9705184570687,0,150300,153715,154015,154865,0,NA,150300
1,33,"IEV","scram",37,0.797845999680526,37,29.766682143613,0,156248,157981,158280,159130,0,NA,156248
1,34,"IEV","scram",116,0.437239205303995,116,50.7235858452138,0,160463,164178,164478,165328,0,NA,160463
1,35,"IEV","scram",122,0.416597810693394,0,50.7120681372895,0,166561,170376,170676,171525,0,NA,166561
1,36,"IEV","scram",104,0.47234161470059,104,49.2291627818504,0,172859,176408,176707,177557,0,NA,172859
1,37,"IEV","scram",114,0.451444895300749,0,51.4879579166248,0,178840,182489,182788,183638,0,NA,178840
1,38,"IEV","scram",16,0.896844788919827,16,14.6814225150252,0,185021,185354,185654,186504,0,NA,185021
1,39,"IEV","scram",20,0.866755911507041,20,17.0373140864905,0,187537,188570,188870,189719,0,NA,187537
1,40,"IEV","scram",40,0.786151159801698,40,31.6171123404004,0,191286,193102,193401,194251,0,NA,191286
1,41,"IEV","scram",33,0.782927701067475,33,25.6364227772592,0,195784,197633,197933,198783,0,NA,195784
1,42,"IEV","scram",104,0.462312674417033,0,48.2817701522701,0,199916,203515,203814,204664,0,NA,199916
1,43,"IEV","scram",34,0.785215502977551,34,26.9882022162874,0,205997,207830,208129,208979,0,NA,205997
1,44,"IEV","scram",37,0.771587489290075,37,28.2415993113106,0,210162,212095,212395,213244,0,NA,210162
1,45,"IEV","scram",48,0.695287973544951,0,33.0841130415531,0,214278,216693,216993,217843,0,NA,214278
1,46,"IEV","scram",98,0.47985821974906,0,46.9736341895746,0,218976,222491,222791,223641,0,NA,218976
1,47,"IEV","scram",22,0.890235725036672,22,19.540232122327,0,225124,225707,226006,226856,0,NA,225124
1,48,"IEV","scram",21,0.872441716830723,21,17.9665687168907,0,228239,229189,229489,230338,0,NA,228239
1,49,"IEV","scram",32,0.823968507446165,0,26.3887289593684,0,231638,233154,233454,234303,0,NA,231638
1,50,"IEV","scram",44,0.764718682697448,44,33.4427902082376,0,235537,237519,237819,238669,0,NA,235537
1,51,"IEV","scram",57,0.681066158631444,0,38.923068527843,0,239802,242301,242601,243450,0,NA,239802
1,52,"IEV","scram",115,0.452489835969577,0,51.8993936909474,0,244834,248482,248782,249631,0,NA,244834
1,53,"IEV","scram",22,0.892997014510292,0,19.9244345859554,0,250715,251215,251514,252364,0,NA,250715
1,54,"IEV","scram",32,0.83127968172343,0,26.445168740354,0,253764,255197,255496,256346,0,NA,253764
1,55,"IEV","scram",40,0.792336401515046,40,31.8581542680308,0,257446,259212,259511,260361,0,NA,257446
1,56,"IEV","scram",36,0.776766546098185,36,27.7713346364962,0,261911,263794,264093,264943,0,NA,261911
1,57,"IEV","scram",56,0.693204320028945,56,38.7887648288349,0,266493,268908,269208,270058,0,NA,266493
1,58,"IEV","scram",87,0.515636000720865,87,44.6357556165718,0,271558,274890,275189,276039,0,NA,271558
1,59,"IEV","scram",114,0.446220770308989,0,50.7991326983342,0,277539,281204,281504,282353,0,NA,277539
1,60,"IEV","scram",37,0.81887974027872,37,30.1886375894605,0,283703,285253,285552,286402,0,NA,283703
