"run","trial","rewFunc","emotion","magnitude","probability","score","ev","rt","clock_onset","isi_onset","feedback_onset","iti_onset","iti_ideal","image","pushidx"
1,1,"CEV","scram",74,0.485428571428571,0,36.0291428571429,2832,3937,6847,7180,7997,0,NA,6769
1,2,"CEV","scram",45,0.791,0,35.418,692,9342,10111,10416,11261,0,NA,10034
1,3,"CEV","scram",53,0.657571428571429,53,35.0272857142857,1632,12324,14026,14331,15176,0,NA,13956
1,4,"CEV","scram",63,0.565571428571429,0,35.8688571428572,2280,16445,18791,19096,19941,0,NA,18725
1,5,"CEV","scram",57,0.645714285714286,57,37,1712,21105,22890,23195,24040,0,NA,22817
1,6,"CEV","scram",56,0.649,56,36.351,1684,25309,27071,27376,28222,0,NA,26993
1,7,"CEV","scram",53,0.648285714285714,53,34.4068571428571,1697,29735,31503,31808,32653,0,NA,31432
1,8,"CEV","scram",60,0.650571428571429,60,38.9517142857143,1681,34067,35818,36124,36969,0,NA,35748
1,9,"CEV","scram",58,0.667428571428571,58,39.0022857142857,1557,37983,39617,39922,40767,0,NA,39540
1,10,"CEV","scram",52,0.650714285714286,52,33.7464285714286,1674,42282,44032,44337,45182,0,NA,43956
1,11,"CEV","scram",52,0.669857142857143,52,34.9904285714286,1553,46447,48064,48369,49214,0,NA,48000
1,12,"CEV","scram",60,0.648428571428571,0,38.9452857142857,1702,50729,52496,52801,53646,0,NA,52431
1,13,"CEV","scram",49,0.817428571428571,49,40.2697142857143,514,54911,55495,55800,56645,0,NA,55425
1,14,"CEV","scram",71,0.517571428571429,0,37,2617,57661,60343,60648,61493,0,NA,60278
1,15,"CEV","scram",93,0.417571428571429,93,38.6702857142857,3306,62559,65941,66246,67091,0,NA,65865
1,16,"CEV","scram",93,0.405714285714286,93,37.8114285714286,3383,68357,71822,72127,72973,0,NA,71740
1,17,"CEV","scram",89,0.401,0,35.797,3422,74089,77587,77892,78738,0,NA,77511
1,18,"CEV","scram",45,0.827142857142857,45,37,443,80104,80619,80924,81770,0,NA,80547
1,19,"CEV","scram",56,0.724857142857143,0,40.6242857142857,1156,83286,84518,84823,85668,0,NA,84442
1,20,"CEV","scram",91,0.427428571428571,0,38.7097142857143,3247,87135,90449,90754,91599,0,NA,90382
1,21,"CEV","scram",100,0.370285714285714,100,37,3642,93067,96780,97086,97931,0,NA,96709
1,22,"CEV","scram",103,0.370285714285714,0,38.1108571428571,3642,98948,102662,102967,103812,0,NA,102590
