"run","trial","rewFunc","emotion","magnitude","probability","score","ev","rt","clock_onset","isi_onset","feedback_onset","iti_onset","iti_ideal","image","pushidx"
1,1,"CEV","scram",48,0.733,0,35.534,1036,3515,4681,5014,5830,0,NA,4551
1,2,"CEV","scram",70,0.515428571428571,0,35.9691428571428,2571,7230,9929,10229,11078,0,NA,9801
1,3,"CEV","scram",44,0.783714285714286,44,34.6488571428571,701,12145,12961,13261,14110,0,NA,12846
1,4,"CEV","scram",44,0.806,44,35.388,551,15377,16043,16343,17193,0,NA,15928
1,5,"CEV","scram",46,0.812428571428571,46,37,487,18359,18976,19275,20125,0,NA,18846
1,6,"CEV","scram",46,0.779142857142857,46,36.2208571428571,738,21392,22241,22541,23390,0,NA,22130
1,7,"CEV","scram",42,0.810142857142857,42,33.7594285714286,509,24907,25540,25840,26689,0,NA,25416
1,8,"CEV","scram",49,0.798285714285714,49,39.3948571428571,590,28106,28822,29122,29971,0,NA,28696
1,9,"CEV","scram",48,0.817285714285714,48,39.4518571428571,469,30988,31571,31871,32720,0,NA,31457
1,10,"CEV","scram",39,0.831714285714286,39,32.8414285714286,358,34237,34720,35020,35869,0,NA,34595
1,11,"CEV","scram",44,0.782428571428571,44,34.6527142857143,719,37136,37969,38269,39118,0,NA,37855
1,12,"CEV","scram",50,0.789857142857143,50,39.3695714285714,659,40635,41418,41717,42567,0,NA,41294
1,13,"CEV","scram",50,0.798428571428571,50,40.1937142857143,593,43834,44550,44850,45699,0,NA,44427
1,14,"CEV","scram",47,0.783428571428571,47,37,689,46733,47549,47849,48698,0,NA,47422
1,15,"CEV","scram",49,0.815142857142857,49,40.2605714285714,474,49765,50365,50664,51514,0,NA,50239
1,16,"CEV","scram",48,0.803285714285714,48,38.6065714285714,556,52781,53464,53763,54613,0,NA,53337
1,17,"CEV","scram",42,0.829428571428571,42,34.5117142857143,372,55730,56229,56529,57378,0,NA,56102
1,18,"CEV","scram",46,0.812857142857143,46,37,493,58745,59362,59661,60511,0,NA,59238
1,19,"CEV","scram",52,0.793857142857143,0,40.9692857142857,627,62027,62777,63077,63926,0,NA,62654
1,20,"CEV","scram",49,0.822428571428571,49,40.2897142857143,431,65393,65943,66242,67092,0,NA,65824
1,21,"CEV","scram",45,0.819428571428571,45,37,441,68575,69141,69441,70291,0,NA,69016
1,22,"CEV","scram",48,0.820142857142857,48,39.4604285714286,449,71307,71874,72173,73023,0,NA,71756
1,23,"CEV","scram",46,0.817,46,37.817,467,74056,74639,74939,75789,0,NA,74523
1,24,"CEV","scram",46,0.813,46,37,500,77005,77622,77921,78771,0,NA,77505
1,25,"CEV","scram",44,0.817857142857143,44,36.1821428571429,457,79988,80571,80870,81720,0,NA,80445
1,26,"CEV","scram",47,0.817857142857143,47,38.6357142857143,464,83087,83670,83969,84819,0,NA,83551
1,27,"CEV","scram",47,0.820285714285714,47,38.6405714285714,446,85936,86502,86802,87651,0,NA,86382
1,28,"CEV","scram",49,0.806,49,39.418,547,88918,89584,89901,90733,0,NA,89465
1,29,"CEV","scram",44,0.806142857142857,44,35.3877142857143,544,92000,92667,92966,93816,0,NA,92544
1,30,"CEV","scram",48,0.820428571428571,48,39.4612857142857,438,94832,95399,95698,96548,0,NA,95270
1,31,"CEV","scram",45,0.803714285714286,45,36.1962857142857,563,97915,98598,98897,99747,0,NA,98478
1,32,"CEV","scram",41,0.811,41,32.945,507,101114,101747,102046,102896,0,NA,101621
1,33,"CEV","scram",45,0.799,45,36.201,596,103963,104679,104979,105828,0,NA,104559
1,34,"CEV","scram",48,0.818142857142857,48,39.4544285714286,462,107345,107928,108227,109077,0,NA,107807
1,35,"CEV","scram",48,0.825285714285714,48,39.4758571428571,406,110494,111027,111326,112176,0,NA,110900
1,36,"CEV","scram",44,0.827714285714286,44,36.1722857142857,400,113543,114059,114359,115208,0,NA,113943
1,37,"CEV","scram",41,0.813428571428571,41,33.7462857142857,502,116275,116891,117191,118040,0,NA,116777
1,38,"CEV","scram",45,0.830142857142857,45,37,384,119407,119907,120207,121056,0,NA,119791
1,39,"CEV","scram",49,0.813571428571429,49,40.2542857142857,502,122173,122789,123089,123938,0,NA,122675
1,40,"CEV","scram",42,0.808857142857143,42,33.7645714285714,524,125255,125905,126204,127054,0,NA,125779
1,41,"CEV","scram",42,0.813571428571429,42,34.5592857142857,495,128321,128937,129237,130086,0,NA,128816
1,42,"CEV","scram",48,0.811285714285714,48,38.6225714285714,511,131203,131836,132136,132985,0,NA,131714
1,43,"CEV","scram",48,0.804142857142857,0,38.6082857142857,557,134352,135035,135335,136184,0,NA,134909
1,44,"CEV","scram",49,0.830428571428571,49,40.3217142857143,373,137201,137701,138000,138850,0,NA,137574
1,45,"CEV","scram",43,0.823285714285714,43,35.3534285714286,427,140316,140866,141166,142015,0,NA,140743
1,46,"CEV","scram",42,0.820285714285714,42,34.5391428571429,450,143299,143865,144165,145014,0,NA,143749
1,47,"CEV","scram",48,0.813857142857143,48,39.4415714285714,499,146331,146947,147247,148097,0,NA,146830
1,48,"CEV","scram",44,0.816285714285714,44,36.1837142857143,480,149513,150113,150413,151262,0,NA,149993
1,49,"CEV","scram",48,0.823428571428571,48,39.4702857142857,436,152529,153079,153378,154228,0,NA,152965
1,50,"CEV","scram",41,0.813142857142857,41,32.9342857142857,495,155661,156277,156577,157427,0,NA,156156
1,51,"CEV","scram",48,0.814,0,39.442,484,158710,159310,159609,160459,0,NA,159194
1,52,"CEV","scram",47,0.840142857142857,47,39.5204285714286,299,161592,162009,162308,163158,0,NA,161891
1,53,"CEV","scram",47,0.833,47,39.499,350,164391,164858,165157,166007,0,NA,164741
1,54,"CEV","scram",48,0.828428571428571,48,39.4852857142857,377,167390,167890,168190,169039,0,NA,167767
1,55,"CEV","scram",43,0.828428571428571,43,35.3431428571429,384,170373,170872,171172,172021,0,NA,170757
1,56,"CEV","scram",49,0.833142857142857,49,41.1657142857143,350,173505,173971,174271,175120,0,NA,173855
1,57,"CEV","scram",45,0.827428571428571,0,37,400,176204,176720,177020,177869,0,NA,176604
1,58,"CEV","scram",46,0.854714285714286,0,39.5641428571429,205,179003,179319,179619,180468,0,NA,179208
1,59,"CEV","scram",42,0.823714285714286,42,34.5288571428571,411,181652,182185,182485,183334,0,NA,182063
1,60,"CEV","scram",42,0.823857142857143,42,34.5284285714286,414,184718,185251,185550,186400,0,NA,185132
1,61,"CEV","scram",48,0.816714285714286,48,39.4501428571429,465,187583,188166,188466,189315,0,NA,188048
1,62,"CEV","scram",42,0.833428571428571,42,35.3331428571429,349,190349,190815,191115,191964,0,NA,190698
1,63,"CEV","scram",40,0.821571428571429,0,32.8921428571429,436,193498,194048,194347,195197,0,NA,193934
2,64,"IEV","happy",19,0.869208015852151,0,16.6905875058926,870,4246,5229,5545,6378,0,NA,5116
