run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image
1,1,DEV,scram,74,0.75591,74,56.0735,534,8.0667,8.6167,8.6672,9.5667,5.1,scram_2.png
1,2,DEV,scram,69,0.78158,69,54.1907,434,14.7165,15.1664,15.2164,16.1163,1.1,scram_7.png
1,3,DEV,scram,66,0.82561,66,54.2857,268,17.2163,17.4996,17.5496,18.4496,2.1,scram_20.png
1,4,DEV,scram,65,0.79019,65,51.3939,401,20.5662,20.9828,21.5162,21.9327,5.1,scram_12.png
1,5,DEV,scram,65,0.79466,65,51.5607,384,27.0491,27.4491,27.4992,28.3991,0.1,scram_19.png
1,6,DEV,scram,80,0.5589,80,44.5208,1434,28.4992,29.949,29.9991,30.899,0.1,scram_4.png
1,7,DEV,scram,75,0.52667,0,39.7554,1618,30.999,32.6322,32.6823,33.5822,1.1,scram_15.png
1,8,DEV,scram,64,0.8079,0,52.0383,334,34.6988,35.0488,35.0988,35.9987,0.1,scram_24.png
1,9,DEV,scram,72,0.69861,72,50.2413,768,36.1154,36.8987,36.9488,37.8486,3.1,scram_5.png
1,10,DEV,scram,74,0.75161,0,55.8577,551,40.9486,41.5151,41.5652,42.4651,3.1,scram_9.png
1,11,DEV,scram,73,0.70668,73,51.3632,734,45.565,46.3149,46.3649,47.2649,0.1,scram_18.png
1,12,DEV,scram,74,0.67926,74,50.5822,851,47.365,48.2315,48.2815,49.1814,1.1,scram_3.png
1,13,DEV,scram,75,0.73093,75,54.7903,634,50.2814,50.9314,50.9814,51.8814,1.1,scram_21.png
1,14,DEV,scram,73,0.74734,73,54.8935,568,52.9813,53.5646,53.6146,54.5145,1.1,scram_17.png
1,15,DEV,scram,69,0.72676,69,50.2089,651,55.6145,56.2811,56.3311,57.2311,4.1,scram_1.png
1,16,DEV,scram,70,0.79466,70,55.534,384,61.3309,61.7308,61.7809,62.6808,10.1,scram_16.png
1,17,DEV,scram,67,0.81217,0,54.6231,318,72.7804,73.1137,73.1637,74.0636,1.1,scram_14.png
1,18,DEV,scram,67,0.79019,67,52.9743,401,75.1636,75.5802,75.6302,76.5301,2.1,scram_6.png
1,19,DEV,scram,68,0.79019,68,53.7645,401,78.6301,79.0467,79.0968,79.9967,5.1,scram_22.png
1,20,DEV,scram,71,0.81217,71,57.8718,318,85.0965,85.4297,85.4798,86.3797,0.1,scram_23.png
1,21,DEV,scram,75,0.79466,0,59.5073,384,86.4797,86.8797,86.9297,87.8296,0.1,scram_13.png
