Param_and_model	Min	Max	Mean	Std	Subjects_ 1	Subjects_ 2	Subjects_ 3	Subjects_ 4	Subjects_ 5	Subjects_ 6	Subjects_ 7	Subjects_ 8	Subjects_ 9	Subjects_10	Subjects_11	Subjects_12	Subjects_13	Subjects_14	Subjects_15	Subjects_16	Subjects_17	Subjects_18	Subjects_19	Subjects_20	Subjects_21	Subjects_22	Subjects_23	Subjects_24	Subjects_25	Subjects_26	Subjects_27	Subjects_28	Subjects_29	Subjects_30	Subjects_31	Subjects_32	Subjects_33	Subjects_34	Subjects_35	Subjects_36	Subjects_37	Subjects_38	Subjects_39	Subjects_40	Subjects_41	Subjects_42	Subjects_43	Subjects_44	Subjects_45	Subjects_46	Subjects_47	Subjects_48	Subjects_49	Subjects_50	Subjects_51	Subjects_52	Subjects_53	Subjects_54	Subjects_55	Subjects_56	Subjects_57	Subjects_58	Subjects_59	Subjects_60	Subjects_61	Subjects_62	Subjects_63	Subjects_64	Subjects_65	Subjects_66	Subjects_67	Subjects_68	Subjects_69	Subjects_70	Subjects_71	Subjects_72	Subjects_73	Subjects_74	Subjects_75	Subjects_76
beta_fixed	1.61021250026764	4.34984762176753	2.93080496527019	0.540400056550726	3.9881488121965	2.77483255136286	2.37922148355288	3.59440280002813	3.17984726026923	3.77310098496919	3.20501389744057	3.06198418733839	3.90533338610541	2.70983501673669	3.47400537230176	3.18647538318562	3.41982419378741	4.34984762176753	3.39700687204825	2.98771280618168	3.30399468095816	3.15459642983808	2.35446453998089	3.77575596756821	3.16499866858853	2.11235499283034	2.56467413569324	3.21299117145228	2.30885632905245	3.27459642223999	2.93838095931	2.28910072637564	2.09954898962953	2.82422251962132	2.67794161297795	2.78522188375124	2.8825410494483	3.42636914174091	2.79523706486893	3.96591034958193	3.16546490079472	2.99516295731367	1.61021250026764	2.89126204501372	2.51553438823979	2.03020444107801	2.85935376736792	2.67658721283282	3.0199428583082	2.67133060222319	2.61932793237799	2.58209866147792	3.09849190557703	3.45200652776588	2.59278687814222	3.22517113964429	2.84160322821778	3.72025252647836	2.82705650168412	2.5900596567914	2.20562603725027	2.59891462982804	2.92093113279058	3.35221350098974	3.13025249241312	2.69420162846436	1.79164993277635	3.17356212376213	3.23571832098108	3.55133495721429	3.44855869296625	2.78721235306976	2.15712420876117	2.673784417981	2.79032755095829	2.19082938783024	3.20891262356053	2.69796976847148	3.0512062757621	1.79858642832717
alpha_fixed	-3.47876167133042	1.02372555770593	-1.4623053299045	1.12226288435646	0.479472712153717	-1.64675500177982	-1.33503643177584	-2.67036878124396	-2.28264585171007	-0.490348834718654	-1.64413644138108	-0.972885996123384	-0.242853985356514	-2.03847293317468	-0.651660981700251	1.02372555770593	-2.41917119846656	0.891740106430492	-0.788947236711152	-0.957533452747831	0.222335404912408	-2.43759874175294	-2.13320967136805	-1.53259440155018	-0.656403131964633	-2.69392340341859	-1.46538509465254	-1.19876359009727	-2.1029885008767	-1.84569078883503	-2.20023414151034	-2.163077068316	-2.52538740277783	-0.871671412981971	-2.30687001647643	-1.15113163378169	-1.87141709110596	0.840539487347687	-0.686386597588155	0.255024355819984	0.960624508686061	-1.68554621610246	-2.78260812601179	-1.23600762180749	-1.99468297201982	-1.83367094807203	-2.89906015790619	-2.32791457628333	-3.47876167133042	-2.91777091681934	-2.90747508955792	-2.29238589278571	-1.81534629445285	0.266812673835056	-1.7272175025367	-2.35847494360479	-1.16510145075972	-0.223920210031291	-0.758425844629623	-1.7121058451983	-3.47153234108924	-2.12213599387229	-1.92102812438123	-0.647301831717222	-1.03249298354222	-0.247456828847971	-2.33016431497137	-1.37291081166648	-2.22521706629006	-0.988942375132134	-2.0354848914717	-2.10835464732924	-3.33603265439717	-2.14999630431559	0.692224662941522	-1.97492105159333	0.632770639283315	-2.95593229085921	-0.473559490766501	-1.90698508376158
prop_spread_fixed	-4.23206015119763	4.51627052971258	-1.21189341350892	1.78322533601357	0.511835083338403	-0.000815145543298534	-3.37711655923107	-0.434950983919567	-0.453410204809935	-1.72349097838384	2.01252365484706	-1.3867784114091	-0.0572172008185204	-3.10011748272387e-07	-0.990944105808664	-0.633887981386771	-2.88650630480188	4.51627052971258	-7.691747683225e-08	-3.76733700096381	-3.42582837298636	-4.23206015119763	0.262479137265645	-0.0111006345228715	-1.35551048345614	-3.22513357052633	-1.21164337636037	0.647711002744871	-2.39790576104673	1.32265103305444	-4.007371300298	-3.21616297953419	-3.53369510310064	-0.0374771358201316	-3.23531205977994	0.107517090137843	-1.83258357469301	1.82106167875607	0.807719731617389	1.14003990575062	-0.339501597249791	-1.07366765594937	-3.89719277474825	-0.634968343806365	-0.0136446183134988	-2.96798621157726	-1.39409399225563	-7.29194482573803e-12	-0.382861591575622	-1.35451992162613	0.145815514439307	0.722290963570031	-3.86954997473458	-0.340065048133585	-2.98644955151021	-3.69837493963132e-12	-3.49891524804517	-3.1002996687362	-2.93657607785377	-3.83316928986328	-2.31051188078547	-2.08018136146467	-2.69027367324543	-1.11963446404715	-1.711960220019	-3.48767923439419	-0.187079517429409	-0.36600391117843	-0.300381863545544	0.762286410895571	1.93276352565577	-2.88501797977029	-0.818732284295559	-1.51733555631035	-0.217295589875839	-2.68368993589726	-0.0993412127578382	-3.26698262297285	-0.0022579097718185	-3.01480413738472
beta_fixed_decay	1.96552240232775	5.24001865664034	2.90051563075761	0.533566759304273	3.55375158398325	2.7593295314923	2.40371466115394	3.59446357314981	2.93854620150067	3.90507928861403	3.294671095537	3.02896378520252	3.74098707685979	2.71317985596077	3.25654029957139	2.89446965634297	2.87160898108144	4.15998276971625	3.40212609459214	3.07749694731814	3.0756600565266	2.95948720358738	2.38976311724329	3.52859602673188	3.17370431002323	2.04333979708666	2.72139284088502	2.77983650470038	2.410759633773	3.08872484593656	2.6791596877332	2.58635507448229	2.32146794985501	2.84492120986968	2.62859997625511	2.76092784888305	2.5891487422323	3.334191624721	2.58765223829098	3.94454385888529	2.78278992412421	2.90441347544045	2.03658290170606	2.7887805437789	2.61367895753933	2.25881099445348	2.52181299462462	2.86912342232125	2.15101581983457	2.60263952379435	2.93539088258033	2.72566212481355	2.43301060274415	3.35015727647182	2.77114469894495	3.29458670965724	2.57934526787574	3.65100486304006	2.86042430447785	2.67592304584763	2.54082728724961	2.5231005826182	2.81777816383641	3.46444489274557	3.01843735592498	2.60980661029502	2.48378672391715	3.09520254172402	3.2241478900151	3.57588145964229	5.24001865664034	2.70830528434362	2.37622241134559	2.42538828760624	2.46120977090992	2.25599616782463	2.83926045086174	2.97092750831443	2.99348120558668	1.96552240232775
alpha_fixed_decay	-3.95323196711073	1.66815975475001	-0.786322230732105	1.20083782074056	0.114087630226379	-1.62294376086431	-1.06991163806849	-1.95736621954181	-2.36443022898008	1.66815975475001	-1.41738509508482	-0.474329423200353	0.0208762834274097	-1.50349321415971	-0.498336344384245	0.934053607262653	-1.91855344747208	1.34544567397934	-0.582473038815567	0.0995652182274114	0.699655885803131	-2.45621677029032	-1.1610165492129	-0.518944511108126	0.5363869692453	-2.29624335828577	-0.109095773953952	-1.62953025300242	-0.75554436448626	-2.01006582287549	-1.50349878225696	-0.212183882908398	-1.51997611542227	-0.430107252553967	-1.67423711791377	-0.647971450340426	-1.62344418356624	1.03975333679819	0.487580445566332	1.05618818951334	1.0288133338768	-1.46765281382523	-1.76372804114692	-0.13406185094317	-0.872973744215768	-0.41163284108243	-2.83045638753411	-1.55898558670889	-3.95323196711073	-3.05893091724826	-0.656301125430507	-1.10058358770699	-1.91950796091361	0.88991117289138	-0.0128753509031464	-0.10656893892809	-0.385475961125776	0.832351189523619	0.0683538150235342	-1.06439215294502	-2.14813196973269	-1.39784258807941	-1.37002495818264	0.494554325245599	0.498299416942655	0.0317149952506811	-1.30533850172625	-0.840816829761061	-0.911872255244247	0.0159697675385074	-3.41500494465701	-1.62069481121382	-2.85674101972401	-1.75329460491558	1.23099489696533	-0.886955098538941	0.781800380139588	-1.2221887224558	0.165953270382426	-0.817394963470714
gamma_fixed_decay	-6.25335495295246	1.26282765535186	-1.25782110622123	1.58935574237485	-0.91634987617808	-1.78492223027522	-1.26335450664989	-0.0110469375541209	-3.08307165581058	-0.102798740043835	-6.07254128846669	-2.07276151390433	0.600281893537115	-1.69257124162878	0.0463706670262813	0.329353763415928	-0.483776710374434	0.663109127516979	-2.42218719217999	-1.85874628772071	0.900631598801878	-3.4601748258483	-0.734174145727845	0.119360973705932	0.101315374901857	-1.57044005905097	-0.211776025644685	-1.24838119391187	0.118011860016309	-4.00077750122212	-0.399762788375813	0.969734054156482	-1.17738406075298	-2.72404735663422	-1.6161208203537	-1.04929569962723	-0.598440616285386	-0.990717035625112	1.26282765535186	-2.48365281055465	-0.536815407546487	-2.21747254992072	-1.12061451708699	-0.292603312192239	-0.429069721336776	-0.628572463383721	-6.25335495295246	-2.76850266977245	-5.4361784545583	-4.53666601910274	0.863135539813902	-1.4176238951261	-0.62727731776297	-0.46460226593318	-1.28482116322149	-0.205259602456002	-0.852526927229005	-0.904007438141159	-0.155833884671046	-1.37808990772027	-1.65379827917338	-0.718550167658776	-1.67603119727407	-0.922915249899212	1.15665478868917	-1.23333916186999	-0.329775029669126	-2.31283463933316	-1.26644435682404	-1.57449067499538	-5.23039433993603	-2.53557265384549	-3.62889202099304	-1.45844482262151	-1.04640316547827	-0.935361922853638	0.59861842509401	-0.181349323610448	-0.506645588105153	-0.573401610184857
prop_spread_fixed_decay	-4.23995441156844	4.65254057830841	-0.0637043141423791	1.82584660095494	-0.155931431353647	-2.56049769241894	-4.23995441156844	0.491383492877189	-0.0829722953094361	1.64316425938518	0.932969656324638	-2.83903929885238	-0.412171177856562	-0.662981560983633	-1.98067304464712	-0.561808420383058	0.977566383834806	4.65254057830841	-0.95274778666182	-0.465129418078591	-0.559556569406949	0.00279830486076227	2.49194061443807	-4.0866794073935	-0.954464690242205	3.43316091799947	-0.57362552012633	-0.642853506231891	-0.703664416646839	0.361588941230295	-0.340220152662242	-0.853045955026018	-3.2738873112523	0.748025108694463	-0.0552814661085527	0.805820826448256	1.38167379458716	-0.165848775593722	1.06262951879061	1.71241337876337	-0.0298903963997479	-2.199097164028	-2.97865798325444	-0.960667688878126	-0.622620585205226	-0.0204964433892735	-1.26019707594954	-1.18856847448105	-0.674955580040526	-3.39150221404893	-3.80099625152592	0.995677077242069	2.73148303051895	-0.304404006087049	-0.393335557380429	1.2013560161031	0.5861374379184	-0.281050163679346	-1.10292025940798	-0.63696482006965	-0.224980965070108	1.95354874702295	-1.59948792044892	-0.965840080112366	3.69882424847349	1.74213026824299	-0.58085037648645	0.952695965987017	-0.281425395855805	3.44192217867224	1.17363604343814	3.59558419481889	-0.91743597967077	2.45588745174894	3.34501207025276	-0.801985084830599	0.0712684383027588	-1.50318052673444	-4.92875539559456e-05	0.360227769286644
beta_kalman_softmax	2.31284742656218	4.66924495658543	3.41461733834957	0.454452392605786	3.56561481793594	3.35145904262234	2.70775823461602	4.29050962798563	3.80407588153103	3.92454911743293	3.35562530115009	3.24715088992002	4.06302954003228	3.4253326184796	3.69483920870963	3.47241424747454	4.21020020943727	4.30697289281575	3.59992923091998	3.21667135874331	3.75452786576437	3.69783425279854	2.91247731293972	4.22642282428232	3.2756266055003	2.81042235861241	3.07024354639933	3.56723343640349	2.8459246145933	3.77774643345028	3.34583772047351	2.86212843548181	2.87449056165893	2.88936618464884	3.54291185070619	3.14178003859306	3.35032422377237	3.69816140321548	3.13257415736967	3.86349223197826	3.30262994395529	3.14950780108166	2.5061854165455	3.24809256644276	3.19431242246293	2.75151570307511	4.10983809150939	3.23097929628268	4.66924495658543	3.79339974206458	3.55120900863363	3.11090906843544	3.38981465329457	3.82600264240932	2.97021389232577	3.86866746844032	2.98166366060704	3.85175920791711	3.29945348125589	2.98194215940111	3.89213819380619	2.9687510727067	3.2843380354636	3.53204969423683	3.52348843804868	2.94888683470237	3.1461093738663	3.45782653092626	3.76746966700934	3.7526877642315	4.17974726607528	3.25405260330778	3.5174498484637	3.26442259062537	3.1930005801092	2.85854305112346	3.11508296329823	3.65887530213422	3.22015101669629	2.31284742656218
prop_spread_kalman_softmax	-4.00290703507605	7.56061802016874	-0.269268615440571	1.81936429418246	0.000181720786086014	-3.03979881074164	7.56061802016874	0.230103179414252	0.278998710553552	-2.63519573377989	1.56350001122382	-1.46693081192978	-0.000230571500456178	0.704046713870355	0.910557733275825	-0.448949606350802	-1.03761457061101	-0.480279436721414	-0.729898055097897	-2.772342140712	1.54300283967813	-3.58488586057628	0.022940038145793	-0.0574519631234762	0.0888633955425271	-2.86618760651233	1.86683271834815	-0.599496078617601	-1.00453551008952	0.626817012245537	-0.00011446900834344	-2.93115808887152	-1.38266198060651	1.06221986359756	0.918304694741397	-2.8896094823481	0.259978353655834	0.0988543082654035	0.380921673451138	-0.00132395304001151	0.0722050408686988	0.163193969946233	-4.00290703507605	-0.515711565884795	0.168413194423007	-0.365223910675379	-1.17302038840385	-0.578443192652485	-0.904142859030897	-1.34163833081793	2.09938113676764	1.82259643158474	-3.00605666927619	-2.86582501614065	-2.29950841912877	1.51513114579541	-2.8752139038976	-0.195287305197315	0.412083796022774	-3.00045162175994	2.02980629046573	0.563136145862126	-0.401218403741547	0.0599123952510516	1.1055971906072	-3.42510701250212	0.0134200979933064	1.97134851097174	-1.72878880786391	1.04340313000607	-0.774672695359737	2.43628996755195	0.741103108791773	2.3275241470959	-0.517331687234963	1.96564965043128	-1.15080037403069	-0.624146628517843	0.289105257842005	0.293704188705105
beta_kalman_processnoise	0.286374069109315	4.69164611472424	3.30447017151346	0.593399818001751	3.60797618030366	3.3365587341149	2.5464653847461	4.30532915521875	3.8171658481954	3.92523274853019	3.36753583147259	3.2364481015213	4.13215308804682	3.37699381564687	3.68315824086406	3.4220709693891	3.13972241627977	4.21176305026099	3.57923919100175	3.18983503394089	3.69024471771843	3.69517152819524	2.92071906186076	3.35604667959192	3.25767563490515	2.8088783221975	3.0353065947217	3.60448959376564	2.81660778186644	3.7145406450301	3.46068969689133	2.82480136238697	2.88701439571693	2.8925627746518	1.72371891555232	3.08672181812678	3.38359870990627	3.6268765197735	3.08136607054703	3.8283490490689	3.29518234316641	3.15051206307792	2.53166208592673	3.25258588557604	3.17480794189477	2.76858136634548	4.08666998102928	3.20702002087916	4.69164611472424	3.80749727433346	3.58549062638847	3.1040469265953	3.37479970703056	3.70355649475811	2.96955193790181	3.87687972629257	2.94773415500245	3.83624461155552	3.26575552372823	2.89787261816238	3.87134336079369	2.96151020710037	0.286374069109315	3.53564422110281	3.51720012988419	2.93689933753797	2.77776193662515	3.43178348992932	3.77524972766423	3.71243990258886	4.04227001202436	3.26335496309694	3.52051118488396	3.25470407539475	3.12487665822189	2.86773307855246	3.11248577196702	3.56445177191572	3.18948214881022	2.29253192144293
