Param_and_model	Min	Max	Mean	Std	Subjects_ 1	Subjects_ 2	Subjects_ 3	Subjects_ 4	Subjects_ 5	Subjects_ 6	Subjects_ 7	Subjects_ 8	Subjects_ 9	Subjects_10	Subjects_11	Subjects_12	Subjects_13	Subjects_14	Subjects_15	Subjects_16	Subjects_17	Subjects_18	Subjects_19	Subjects_20	Subjects_21	Subjects_22	Subjects_23	Subjects_24	Subjects_25	Subjects_26	Subjects_27	Subjects_28	Subjects_29	Subjects_30	Subjects_31	Subjects_32	Subjects_33	Subjects_34	Subjects_35	Subjects_36	Subjects_37	Subjects_38	Subjects_39	Subjects_40	Subjects_41	Subjects_42	Subjects_43	Subjects_44	Subjects_45	Subjects_46	Subjects_47	Subjects_48	Subjects_49	Subjects_50	Subjects_51	Subjects_52	Subjects_53	Subjects_54	Subjects_55	Subjects_56	Subjects_57	Subjects_58	Subjects_59	Subjects_60	Subjects_61	Subjects_62	Subjects_63	Subjects_64	Subjects_65	Subjects_66	Subjects_67	Subjects_68	Subjects_69	Subjects_70	Subjects_71	Subjects_72	Subjects_73	Subjects_74	Subjects_75	Subjects_76
beta_fixed	5.00387443952084	77.4666577934711	21.6434923059242	12.5574069955681	53.9549161745415	16.0359415742649	10.7964943428528	36.3939590253678	24.0430809378852	43.5147945543215	24.6558426671834	21.3699170419777	49.6666353184702	15.026796140489	32.2657201923264	24.2029707328811	30.5640412003637	77.4666577934711	29.8745477495959	19.8402520554082	27.2211618760587	23.4435740550825	10.5324876254768	43.6304790789084	23.6887124933865	8.26768872401705	12.9964226093227	24.853315681087	10.0629094143006	26.4325557360364	18.8852455660009	9.86606140187438	8.16248771566694	16.847841026892	14.5551024061434	16.2034127519301	17.8595976901703	30.7647373156598	16.3665082174221	52.7682851170781	23.6997595091114	19.9886169157885	5.00387443952084	18.0160323037338	12.3732191154955	7.61564314993382	17.4502463733943	14.5354023172453	20.490120810572	14.4591958365844	13.7264953513374	13.22486356808	22.1644999051698	31.563662175696	13.3669718645383	25.1578792979318	17.1432280238585	41.2748157765549	16.8956552264496	13.33056683832	9.07593166099667	13.4491328228	18.5585599007003	28.5658943502528	22.8797557779303	14.7937031657867	5.99934281728317	23.8924407849954	25.4246282649738	34.8598228113377	31.4550232749551	16.2356972678781	8.64623709832191	14.494719605741	16.2863535389142	8.94262694576228	24.7521566739684	14.8495530695838	21.1408307193866	6.04110189543673
alpha_fixed	0.0299226041529718	0.735697657387334	0.23441471602639	0.194358892731859	0.617623355694588	0.161548002795503	0.208327500617226	0.0647446342974671	0.0925704587619999	0.379811394555362	0.161903001862159	0.274305635852086	0.439583151223977	0.115222319158	0.342615336570748	0.735697657387334	0.0817224303823842	0.709249138876689	0.312394762796932	0.277372310409631	0.555356004285726	0.0803501720946004	0.105910671662093	0.177614410943019	0.341548060298462	0.0633328757676677	0.187645070456858	0.231695239970275	0.108806693881969	0.136379642102547	0.0997294651053764	0.103115528088022	0.0740974822449658	0.294906634784911	0.0905555852106913	0.24028244622445	0.133377838419869	0.698578826106447	0.334837374074976	0.563412777287298	0.723246824743218	0.15636245440028	0.0582712677327609	0.2251316813907	0.119762307127494	0.137801539284389	0.0522000423873005	0.0888373237276501	0.0299226041529718	0.0512820422942845	0.0517852773456217	0.0917555243387173	0.139993218268644	0.566310254333868	0.150943837807353	0.0863944920313796	0.237741561125196	0.444252685143593	0.318988129903642	0.152890777423487	0.030133166316522	0.106963863449344	0.127746960957802	0.343597820707197	0.262601072849232	0.438449558871522	0.0886553864292203	0.202149968082139	0.0975087333689324	0.271121028972036	0.115527288871256	0.108287441741155	0.0343555324241407	0.104331568467241	0.666461631241204	0.121861298875043	0.653117430524232	0.0494568826707631	0.383774106642619	0.129319941329193
prop_spread_fixed	0.0143145589424475	0.989188457244151	0.314638444373471	0.263640914491375	0.625236562217196	0.499796213625459	0.0330183337900542	0.392944704121771	0.388550265891254	0.1514220498699	0.882105723406148	0.19992256320023	0.485699600979322	0.499999922497063	0.270725639413516	0.34662947330407	0.0528246498543427	0.989188457244151	0.499999980770631	0.0225913664325138	0.0314979427452559	0.0143145589424475	0.565245620702963	0.49722486986613	0.204970935273693	0.0382307801832808	0.229410403612981	0.656494457148017	0.0833325321511962	0.789622431207218	0.0178564743972958	0.0385619912955035	0.0283685589748908	0.490631812515455	0.0378582794138196	0.526853408901737	0.137930783478825	0.860693471307842	0.69162338019014	0.757686965672211	0.415930550129261	0.254706223359301	0.0198949705592729	0.346384836103269	0.496588898343455	0.0488932846346818	0.198754978542375	0.499999999998177	0.405436901795058	0.205132402275405	0.536389424952567	0.673111303231228	0.0204411963847634	0.415793676181777	0.0480418050063998	0.499999999999075	0.0293431109884178	0.0430948955918305	0.0503748120809653	0.0211825114344973	0.0902561053855049	0.111038063510076	0.0635497297768338	0.246079093011763	0.152909639049285	0.0296648341584495	0.453366052179188	0.40950696925709	0.425464136125401	0.681849932376342	0.873554984977274	0.0528991665961848	0.306032826992241	0.179854207428086	0.445888850692392	0.0639426632991491	0.475185100972424	0.0367214127291395	0.499435522796861	0.0467615348798187
beta_fixed_decay	7.13864085884717	188.673622388745	21.9767269700235	22.1064576596856	34.9441678665153	15.7892532015795	11.0641998927866	36.3961708670779	18.8883664631943	49.654016754271	26.9685425370354	20.6757969186112	42.139564632154	15.07714251095	25.959569268387	18.0739135136445	17.6654186702367	64.0704186389325	30.0278743295212	21.7040080730541	21.6641767745578	19.2880783616809	10.9109090306841	34.0760920922622	23.8958382033465	7.71633721233356	15.2014807502194	16.1163857792928	11.1424220911817	21.9490716754488	14.5728424110771	13.2812740172711	10.1906226547243	17.2002034092675	13.8543598852485	15.8145096180668	13.3184293598482	28.0556945246559	13.2985131838538	51.6527717848307	16.1640545844327	18.2545337793298	7.6643744801401	16.2611779115223	13.6491733251828	9.57170159187873	12.4511500809548	17.6215647574244	8.59358349742943	13.4993228347086	18.8288615709443	15.2665189221008	11.3931306901735	28.5072168056908	15.9769123008823	26.966266868866	13.1885003973758	38.5133472503233	17.4689375127084	14.5257515881123	12.690165041164	12.4671923580106	16.7396166378846	31.958714334106	20.4592960940236	13.5964211896817	11.986568412145	22.0917125779925	25.1321496734283	35.7260980542714	188.673622388745	15.0038267366685	10.7641633824087	11.3066187869994	11.7189802492061	9.54479679528789	17.1031122669264	19.5100069002865	19.9550292757222	7.13864085884717
alpha_fixed_decay	0.0188311534064941	0.841330314441262	0.353613276197565	0.224009375900217	0.528491011038462	0.16479928960715	0.255419888531764	0.123752365805109	0.0859255948204032	0.841330314441262	0.195071845517897	0.383592040435709	0.505218881317502	0.181905101171115	0.377931713621102	0.717896950386855	0.12802296256546	0.793384054177282	0.358363746207177	0.524870762146299	0.668111473205727	0.0789851157727424	0.238482621939779	0.373099075395096	0.630971535149806	0.0914345627101344	0.472753075305988	0.163894722014658	0.319614413611497	0.118150119507475	0.181904272552653	0.447152156952152	0.179465036559717	0.394100720939525	0.157860078303227	0.343446811842997	0.164730422737682	0.738802409449123	0.619536281740525	0.741961429751361	0.736685771183343	0.187299636880086	0.146324043532557	0.466534643822653	0.294635904660957	0.398520661192466	0.0557003880552692	0.173792256914147	0.0188311534064941	0.0448334625614702	0.341571001222964	0.249630563617243	0.127916445114486	0.708871841428981	0.496781206740287	0.473382951183862	0.404806843693075	0.69685184684552	0.517081803410902	0.256471003644503	0.104505912550334	0.198158683332668	0.202615814091176	0.621178726582334	0.622059604722861	0.507928084291175	0.213267926886578	0.301362778102667	0.286616868750775	0.503992357036263	0.0318297998679934	0.165109069521852	0.0543339095395271	0.147632133727749	0.773992657069204	0.291738587643763	0.686068007303051	0.227551505453914	0.541393361724235	0.306316916473165
gamma_fixed_decay	0.00192029378262639	0.779512488828225	0.299561533986493	0.206712046499049	0.285702215601156	0.143696401883006	0.220396973115414	0.497238293696776	0.0438109584871904	0.474322923056572	0.0023000050908603	0.111772582844783	0.645720796376209	0.155437996043497	0.511590589953015	0.581602129223263	0.381360707545003	0.65995846459802	0.0814963838620161	0.134849249258974	0.711079279077768	0.0304668687231614	0.324279409072344	0.529804865894588	0.525307199638546	0.172153666885693	0.44725298433764	0.222980487694278	0.529468772466998	0.0179724823317697	0.401369333863227	0.725066485968559	0.235522875027709	0.0615692009529405	0.165740551505401	0.259360368753855	0.354700537171916	0.270770472955727	0.779512488828225	0.0770121541689882	0.368928710108814	0.0981923844443039	0.245897314733213	0.427366652933102	0.394348495388474	0.34783429782337	0.00192029378262639	0.0590501550654079	0.00433720523765209	0.0105955822435311	0.703315341915894	0.195034352147383	0.348128153778705	0.385894607947474	0.216730672534138	0.448864508044976	0.298903045672236	0.288227664302521	0.461120177453411	0.201315944142981	0.160596261848099	0.327712325758238	0.157621719276468	0.284364264605636	0.760724341231097	0.2255975287196	0.418295362911797	0.0900655652482018	0.219866527114491	0.171577152524294	0.00532292940782587	0.0734017264135932	0.0258591343452321	0.188705300787278	0.259916389701542	0.281838163888171	0.645340160090883	0.454786514729128	0.375980206593086	0.36045229212348
prop_spread_fixed_decay	0.0142035996812741	0.990552760775926	0.481742324863538	0.283718244774166	0.461095938330235	0.0717243988339749	0.0142035996812741	0.620432293710486	0.479268818290244	0.837965038991149	0.71767737580699	0.0552506630667173	0.398391627873505	0.340070163611501	0.121247109227839	0.363129129479286	0.726625066904351	0.990552760775926	0.278332555774604	0.385769690970163	0.363650067208154	0.500699575758688	0.923574892224588	0.0165175001910551	0.277987823719818	0.968724975776716	0.360400676575414	0.344601785565156	0.331000280807814	0.589425017432352	0.415756000342217	0.29879428955318	0.0364779532758184	0.678748228060759	0.486183152030894	0.691218233483014	0.799259684468735	0.458632583042681	0.74319272899732	0.847149048592236	0.492527957207655	0.0998315933893422	0.0483994004025215	0.276744532355927	0.349185675109263	0.494876068533516	0.220939968558505	0.233515060728679	0.337388093167403	0.0325620996024296	0.0218599588351385	0.730207791947342	0.938859022649043	0.424481241875777	0.402914591709191	0.768765923383434	0.642478404658425	0.430196333269699	0.249193125731831	0.345932967855937	0.443990808469706	0.875833081262169	0.16805319721476	0.275710438503958	0.975845280126181	0.850957447028073	0.358736945528636	0.721657035221428	0.430104355974037	0.968989327506129	0.763801618704706	0.973288443719909	0.285480619043894	0.920990924144968	0.965941119402075	0.309601050191796	0.517809572029955	0.181951638577399	0.499987678111514	0.589095569461697
beta_kalman_softmax	10.1031517190681	106.617211410713	33.7926715268142	16.9448668391595	35.3611874146238	28.5443507001535	14.9956211419782	73.0036637310529	44.8837530367213	50.6302446169607	28.663521921357	25.7169649760457	58.150212891471	30.7328654706118	40.2391019706468	32.2144222254172	67.3700265750924	74.2154903207562	36.5956445119405	24.9449490481511	42.7140482845554	40.359800513651	18.4023304767483	68.4718576949966	26.4598001434397	16.6169350425015	21.5471497667628	35.4184700324531	17.2174708362757	43.7174105472928	28.3843438556892	17.4987322505878	17.7163964105287	17.9819087790964	34.5674279761155	23.1450292578404	28.5119764058727	40.3730063992542	22.93293661529	47.6314011602012	27.1840374874607	23.3245814214289	12.2580812889754	25.7411934440992	24.393395573978	15.6663594468651	60.9368505773696	25.3044253708835	106.617211410713	44.4071166749012	34.8554325426124	22.441435931745	29.6604542933837	45.8787773210891	19.496089213956	47.8785438836382	19.7205977505093	47.0758065604854	27.0978254035866	19.7260906780523	49.0155793652578	19.467590801259	26.691309765075	34.1939830451116	33.9024891535314	19.084697476619	23.2454490680713	31.7478983969629	43.2704375818806	42.6355223688182	65.3493351328119	25.8950700054643	33.6983828130553	26.1649987127133	24.361416265005	17.4361049083218	22.535299878747	38.8176601714681	25.0319001307725	10.1031517190681
prop_spread_kalman_softmax	0.0179349357387318	0.999479717402959	0.457445090028991	0.277502108138697	0.500045430196396	0.0456599368265843	0.999479717402959	0.557273311150096	0.569300727416657	0.0669073461848289	0.826855008279976	0.187409563726701	0.499942357125141	0.669084369273235	0.713114278671959	0.389610535556244	0.261610526300023	0.382186142489615	0.325217098923386	0.0588371824694287	0.823900825823376	0.0269911048980012	0.505734758047841	0.485640958609449	0.522201241090695	0.0538505659948419	0.866091371040466	0.354458991505263	0.26805062102082	0.651767379514088	0.499971382747945	0.0506346257386532	0.200581814253655	0.743114535525708	0.714696549675353	0.0526696001105011	0.564630970644727	0.524693471265383	0.594095380116277	0.499669011788345	0.518043421681214	0.54070818660551	0.0179349357387318	0.373855558551955	0.54200406538239	0.409695595272145	0.236309468861664	0.359290893631005	0.288199883168202	0.207240764760553	0.890843014022327	0.860877386662168	0.0471530018899747	0.053869043210608	0.0911636817136353	0.819820397804264	0.053392517688214	0.451332744606088	0.601587428634994	0.0474054745846536	0.883891199474971	0.637177872930005	0.401019640526784	0.51497362010269	0.751307380816416	0.0315199558786164	0.503354974146179	0.87775588279391	0.15074257006923	0.739506108376812	0.315469176312456	0.919553064184455	0.677237028646923	0.911131067809043	0.373476385840163	0.8771430746669	0.240342921831803	0.348838953941	0.571777071140233	0.572902736839858
beta_kalman_processnoise	1.33159046896141	109.03251218982	31.3485998580589	16.5593417117961	36.8913158416282	28.1221840857037	12.7619155069056	74.0935997345504	45.4751420546271	50.664868860399	29.0069608783746	25.4431894358906	62.311941702738	29.2826097417911	39.7718048689537	30.6327889438783	23.0974544914335	67.475397520479	35.8462583141016	24.2844210074093	40.0546478400449	40.252476430489	18.5546245869436	28.6756026566636	25.9890588217248	16.59129768729	20.8073563472552	36.7629150467597	16.7200363528289	41.0397309495198	31.8389281535797	16.8575961008418	17.9396688142648	18.0394815381629	5.60533551989486	21.9051510762594	29.4766584128101	37.5952051543511	21.7881462203165	45.986553984221	26.9823336655165	23.3480171779791	12.5743884918761	25.8571170870357	23.9222249699449	15.9360106054632	59.5412875927183	24.7053549783549	109.03251218982	45.0375809891735	36.0710507875374	22.2879667810501	29.2184309488167	40.5914110915249	19.4831879619423	48.2733537529579	19.0627116070258	46.351080873451	26.1998981597809	18.1355231193728	48.0068332808652	19.3271377072411	1.33159046896141	34.3171154045301	33.689968751385	18.8572854932412	16.0829858970107	30.9317600670526	43.6083971792102	40.9536075381625	56.9554858095683	26.1370791463071	33.8017029678501	25.911945417096	22.7570880207145	17.597081748511	22.4768473323365	35.3200846331778	24.2758529081951	9.89997192663346
