"run","trial","rewFunc","emotion","magnitude","probability","score","ev","rt","starttime"
1,1,"CEV","scram",50,0.716285714285714,0,35.5674285714286,1286,1.58923270972446
1,2,"CEV","scram",57,0.630285714285714,0,35.7394285714286,1888,6.03579421411268
1,3,"CEV","scram",74,0.481571428571429,74,35.5552857142857,2929,11.1840613820823
1,4,"CEV","scram",73,0.491857142857143,0,36.0162857142857,2857,16.4656678432366
1,5,"CEV","scram",78,0.472,78,37,2996,21.7805913880002
1,6,"CEV","scram",83,0.438714285714286,0,36.5612857142857,3229,27.4287399655441
1,7,"CEV","scram",73,0.481714285714286,73,35.0731428571429,2928,33.0269299589563
1,8,"CEV","scram",83,0.462571428571429,0,38.3877142857143,3062,38.6583808836294
1,9,"CEV","scram",81,0.474571428571429,81,38.4237142857143,2978,43.8066983374301
1,10,"CEV","scram",72,0.479428571428571,72,34.6028571428571,2944,49.4214996598894
1,11,"CEV","scram",75,0.472857142857143,0,35.5814285714286,2990,54.8364074205747
1,12,"CEV","scram",81,0.477,0,38.431,2961,60.4678639324848
1,13,"CEV","scram",84,0.460428571428571,0,38.8417142857143,3077,65.966065240209
1,14,"CEV","scram",74,0.498571428571429,0,37,2810,70.9478120822459
1,15,"CEV","scram",84,0.465285714285714,84,38.8611428571429,3043,76.2127482682699
1,16,"CEV","scram",80,0.477142857142857,80,37.9542857142857,2960,81.5942881009541
1,17,"CEV","scram",79,0.453428571428571,0,35.6397142857143,3126,86.9924786530901
1,18,"CEV","scram",76,0.486714285714286,76,37,2893,92.4073707691859
1,19,"CEV","scram",80,0.494,0,39.47,2842,97.9222943140194
1,20,"CEV","scram",82,0.475,0,38.9,2975,103.52036418044
1,21,"CEV","scram",80,0.460714285714286,80,37,3075,109.218649856397
1,22,"CEV","scram",82,0.465571428571429,0,38.3967142857143,3041,114.433478836087
1,23,"CEV","scram",80,0.465428571428571,80,37.4654285714286,3042,119.648437720491
1,24,"CEV","scram",78,0.472714285714286,0,37,2991,125.013313703355
1,25,"CEV","scram",75,0.489428571428571,75,36.5105714285714,2874,130.261594699929
1,26,"CEV","scram",80,0.475142857142857,0,37.9502857142857,2974,135.759842102882
1,27,"CEV","scram",79,0.477571428571429,79,37.9551428571429,2957,140.991430195747
1,28,"CEV","scram",82,0.468,82,38.404,3024,146.439586874912
1,29,"CEV","scram",91,0.396714285714286,91,36.2065714285714,3523,152.38764172548
1,30,"CEV","scram",103,0.370571428571429,103,38.1117142857143,3706,158.26903866278
1,31,"CEV","scram",98,0.375285714285714,0,36.6247142857143,3673,164.467048186343
1,32,"CEV","scram",84,0.415857142857143,84,34.9207142857143,3389,170.381722258055
1,33,"CEV","scram",92,0.399285714285714,92,36.6007142857143,3505,176.113180027111
1,34,"CEV","scram",108,0.351714285714286,0,38.0551428571429,3838,182.627716930583
1,35,"CEV","scram",85,0.451571428571429,85,38.3547142857143,3139,188.342483751476
1,36,"CEV","scram",88,0.413571428571429,0,36.5864285714286,3405,194.273882015725
1,37,"CEV","scram",93,0.380285714285714,0,35.4788571428572,3638,200.138608119218
1,38,"CEV","scram",76,0.486714285714286,0,37,2893,205.570249012089
1,39,"CEV","scram",86,0.451857142857143,86,38.8074285714286,3137,210.98509531247
1,40,"CEV","scram",86,0.409,0,35.364,3437,216.899786984082
1,41,"CEV","scram",85,0.420857142857143,0,35.7374285714286,3354,222.681206689682
1,42,"CEV","scram",81,0.466142857142857,0,37.9322857142857,3037,227.996121294796
1,43,"CEV","scram",104,0.361428571428571,0,37.7228571428571,3770,234.294047148433
1,44,"CEV","scram",80,0.49,0,38.96,2870,239.34238290065
1,45,"CEV","scram",84,0.428142857142857,84,36.1437142857143,3303,245.273855755455
1,46,"CEV","scram",82,0.437714285714286,0,35.6868571428571,3236,250.938645833521
1,47,"CEV","scram",91,0.418714285714286,91,38.2561428571429,3369,256.78669495706
1,48,"CEV","scram",89,0.411571428571429,0,36.5884285714286,3419,262.784722080687
1,49,"CEV","scram",87,0.440142857142857,0,38.3204285714286,3219,268.432802772499
1,50,"CEV","scram",71,0.487857142857143,71,34.5607142857143,2885,273.897706831456
1,51,"CEV","scram",84,0.459285714285714,0,38.3778571428571,3085,279.412533715949
1,52,"CEV","scram",90,0.426,90,38.278,3318,285.010733766481
1,53,"CEV","scram",92,0.414142857142857,0,38.2424285714286,3401,290.792121903738
1,54,"CEV","scram",82,0.466571428571429,82,38.3997142857143,3034,296.356971067609
1,55,"CEV","scram",82,0.440428571428571,0,36.1191428571429,3217,302.055087168934
1,56,"CEV","scram",86,0.457142857142857,86,39.2857142857143,3100,307.786538791959
1,57,"CEV","scram",84,0.440428571428571,0,37,3217,313.234740169486
1,58,"CEV","scram",116,0.326285714285714,0,37.9788571428571,4016,319.532629147056
1,59,"CEV","scram",93,0.383428571428571,93,35.8497142857143,3616,325.480715007056
1,60,"CEV","scram",97,0.371571428571429,0,35.8852857142857,3699,331.712009207928
1,61,"CEV","scram",83,0.464428571428571,0,38.3932857142857,3049,337.093574183295
1,62,"CEV","scram",89,0.405,0,36.19,3465,342.741729465663
1,63,"CEV","scram",72,0.483571428571429,0,34.5821428571429,2915,348.339869452757
2,64,"IEV","happy",24,0.840900148920323,0,20.3465441406275,1338,1.63868592237122
2,65,"IEV","happy",19,0.884482098402984,19,16.981689408567,715,4.63765869673807
2,66,"IEV","happy",15,0.896375753577474,0,13.8833080516904,349,7.62001846602652
