"run","trial","rewFunc","emotion","magnitude","probability","score","ev","rt","starttime"
1,1,"CEV","scram",58,0.618714285714286,0,35.7625714285714,1969,2.27241339330794
1,2,"CEV","scram",47,0.753142857142857,0,35.4937142857143,1028,5.8025100955274
1,3,"CEV","scram",63,0.557714285714286,63,35.3268571428571,2396,10.4176494498388
1,4,"CEV","scram",66,0.541857142857143,0,35.9162857142857,2507,15.3493639554363
1,5,"CEV","scram",68,0.543428571428571,68,37,2496,20.1645122494665
1,6,"CEV","scram",85,0.431571428571429,0,36.5684285714286,3279,25.8626244397019
1,7,"CEV","scram",66,0.531714285714286,66,34.8731428571429,2578,31.1108562680311
1,8,"CEV","scram",74,0.519714285714286,0,38.5591428571429,2662,36.3424639165169
1,9,"CEV","scram",74,0.519857142857143,74,38.5595714285714,2661,41.1742048221058
1,10,"CEV","scram",66,0.524571428571429,66,34.3771428571429,2628,46.4724569742684
1,11,"CEV","scram",68,0.519857142857143,0,35.4404285714286,2661,51.5541246163775
1,12,"CEV","scram",74,0.522285714285714,0,38.5668571428571,2644,56.8690596151282
1,13,"CEV","scram",72,0.543714285714286,72,39.1748571428571,2494,61.7841611154145
1,14,"CEV","scram",68,0.541428571428571,0,37,2510,66.4658776464639
1,15,"CEV","scram",73,0.538142857142857,73,39.1525714285714,2533,71.2476406917558
1,16,"CEV","scram",72,0.532,72,38.064,2576,76.2459938343964
1,17,"CEV","scram",67,0.529571428571429,0,35.4112857142857,2593,81.111066350597
1,18,"CEV","scram",68,0.541571428571429,68,37,2509,86.1427449578186
1,19,"CEV","scram",72,0.548714285714286,0,39.7435714285714,2459,91.2744069427717
1,20,"CEV","scram",74,0.527285714285714,74,39.1091428571429,2609,96.5060031372705
1,21,"CEV","scram",71,0.520142857142857,71,37,2659,101.787607922219
1,22,"CEV","scram",75,0.515571428571429,0,38.5467142857143,2691,106.652672057447
1,23,"CEV","scram",71,0.529714285714286,71,37.5297142857143,2592,111.417773767316
1,24,"CEV","scram",71,0.522714285714286,0,37,2641,116.432789083512
1,25,"CEV","scram",69,0.532285714285714,69,36.4677142857143,2574,121.381180289667
1,26,"CEV","scram",73,0.522714285714286,0,38.0454285714286,2641,126.54626467888
1,27,"CEV","scram",72,0.527571428571429,72,38.0551428571429,2607,131.427849628904
1,28,"CEV","scram",73,0.530714285714286,73,38.5921428571429,2585,136.459534940892
1,29,"CEV","scram",67,0.532428571428571,67,35.9351428571429,2573,141.457905962889
1,30,"CEV","scram",73,0.530142857142857,73,38.5904285714286,2589,146.222981691768
1,31,"CEV","scram",69,0.527714285714286,0,36.4722857142857,2606,151.354656248179
1,32,"CEV","scram",64,0.539571428571429,64,34.3021428571429,2523,156.4029643432
1,33,"CEV","scram",67,0.544428571428571,67,36.4555714285714,2489,161.118094338803
1,34,"CEV","scram",72,0.537428571428571,0,38.6122857142857,2538,166.333042048616
1,35,"CEV","scram",71,0.544571428571429,71,38.6337142857143,2488,171.398044444155
1,36,"CEV","scram",66,0.549285714285714,0,36.4507142857143,2455,176.379727032327
1,37,"CEV","scram",66,0.530285714285714,66,34.8788571428571,2588,181.194896837464
1,38,"CEV","scram",71,0.520714285714286,0,37,2655,186.376452314435
1,39,"CEV","scram",73,0.535,73,39.14,2555,191.208231213735
1,40,"CEV","scram",66,0.530428571428571,0,34.8782857142857,2587,196.273196453752
1,41,"CEV","scram",66,0.532857142857143,0,35.4014285714286,2570,201.27159345668
1,42,"CEV","scram",71,0.535142857142857,71,38.0702857142857,2554,206.103715136938
1,43,"CEV","scram",72,0.528142857142857,0,38.0562857142857,2603,211.234968690143
1,44,"CEV","scram",74,0.525714285714286,0,39.1028571428571,2620,216.033411229611
1,45,"CEV","scram",67,0.537714285714286,67,35.9245714285714,2536,221.198324088647
1,46,"CEV","scram",66,0.533,0,35.401,2569,226.196682818641
1,47,"CEV","scram",71,0.544857142857143,71,38.6345714285714,2486,231.161714966525
1,48,"CEV","scram",68,0.537857142857143,0,36.4621428571429,2535,236.276703603391
1,49,"CEV","scram",71,0.545,71,38.635,2485,241.191741687828
1,50,"CEV","scram",63,0.545,63,34.275,2485,246.25677593099
1,51,"CEV","scram",72,0.537857142857143,0,38.6135714285714,2535,251.221834897995
1,52,"CEV","scram",73,0.526,73,38.578,2618,256.120193488256
1,53,"CEV","scram",100,0.380857142857143,0,38.1425714285714,3634,262.134931674285
1,54,"CEV","scram",72,0.538,72,38.614,2534,267.200004469836
1,55,"CEV","scram",67,0.533285714285714,0,35.9334285714286,2567,272.248252501362
1,56,"CEV","scram",73,0.540428571428571,73,39.7021428571429,2517,277.396513243963
1,57,"CEV","scram",53,0.695142857142857,0,37,1434,281.061984414235
1,58,"CEV","scram",64,0.607142857142857,0,38.8214285714286,2050,285.393880227755
1,59,"CEV","scram",67,0.526285714285714,67,35.4211428571429,2616,290.342257465643
1,60,"CEV","scram",65,0.543,0,35.371,2499,295.373940263351
1,61,"CEV","scram",71,0.540571428571429,0,38.6217142857143,2516,300.222347253643
1,62,"CEV","scram",64,0.557285714285714,0,35.8854285714286,2399,304.80418628623
1,63,"CEV","scram",65,0.526428571428571,0,34.3678571428571,2615,310.102419720904
2,64,"IEV","happy",21,0.858300012440435,0,18.1825441971092,1138,1.43871106527513
2,65,"IEV","happy",29,0.828148529864383,29,24.2926722264564,1465,5.1874604174518
2,66,"IEV","happy",41,0.750635664516986,0,30.825672091958,2065,9.88591231568716
2,67,"IEV","happy",61,0.663935164347086,61,40.7163010816337,2581,14.7509999176254
2,68,"IEV","happy",79,0.553858412422502,0,43.6094215830261,3147,20.4824336612946
2,69,"IEV","happy",98,0.502357559634812,0,49.3596432793816,3397,26.5142944145482
2,70,"IEV","happy",57,0.654920141281603,57,37.3547706994022,2630,31.4288302005152
2,71,"IEV","happy",60,0.658061100760374,60,39.7715889874412,2613,36.2772905495367
2,72,"IEV","happy",58,0.667216879736429,0,38.504978320823,2563,41.4755285937572
2,73,"IEV","happy",15,0.893622365537491,15,13.5502175293695,464,44.2745943967602
2,74,"IEV","happy",25,0.87398407742558,0,22.1108403387825,913,47.4735534823849
2,75,"IEV","happy",23,0.852244341158897,23,19.8139353583532,1212,51.0723656219197
2,76,"IEV","happy",32,0.822986351122932,32,26.4908535984592,1513,55.1710164280958
2,77,"IEV","happy",42,0.768174114070333,42,32.3885387271309,1946,59.3529758670484
2,78,"IEV","happy",62,0.648970361562761,62,40.3549325552246,2662,64.4013166478253
2,79,"IEV","happy",77,0.574500559957397,0,44.1549732215871,3045,69.8828728232183
2,80,"IEV","happy",69,0.617376014446905,69,42.2956184161707,2828,75.0978015362634
2,81,"IEV","happy",67,0.630268543720338,67,42.1497775925053,2761,80.2461628502933
2,82,"IEV","happy",58,0.645977535546749,0,37.314580925707,2678,85.3610799696762
2,83,"IEV","happy",70,0.624133512131055,0,43.7638850973741,2793,90.392768354679
2,84,"IEV","happy",59,0.63995694269784,0,37.7222734364989,2710,95.341140563949
2,85,"IEV","happy",61,0.661738323087413,61,40.1940469292061,2593,100.222933082317
2,86,"IEV","happy",55,0.676962120956274,55,37.1667522133736,2509,105.421158834419
2,87,"IEV","happy",61,0.667943920410404,61,40.4599643044256,2559,110.269591526303
2,88,"IEV","happy",54,0.676962120956274,54,36.4897900924173,2509,115.067983221321
2,89,"IEV","happy",125,0.416597810693394,0,51.9618615693697,3808,121.515865843277
2,90,"IEV","happy",63,0.661921666803323,0,41.5060925129131,2592,126.347641669563
2,91,"IEV","happy",61,0.667943920410404,0,40.4599643044256,2559,131.445936005854
2,92,"IEV","happy",53,0.671024697917048,53,35.5641876601478,2542,136.677555946342
2,93,"IEV","happy",59,0.674090510272081,59,40.0623185240208,2525,141.842511268915
2,94,"IEV","happy",58,0.686023653378739,58,39.9599652005779,2458,146.590960024274
2,95,"IEV","happy",54,0.668125553071707,54,35.7714153131536,2558,151.539330277999
2,96,"IEV","happy",52,0.674090510272081,52,35.3436849521162,2525,156.404458946607
2,97,"IEV","happy",58,0.686023653378739,58,39.9599652005779,2458,161.25280140352
2,98,"IEV","happy",59,0.680176396392099,0,40.3431685166086,2491,165.984606982209
2,99,"IEV","happy",56,0.665213329323061,56,37.308757970539,2574,171.049606584071
2,100,"IEV","happy",56,0.674450200391356,56,38.0155232392958,2523,176.164567843138
2,101,"IEV","happy",58,0.674450200391356,58,39.3644236400786,2523,180.929673184757
2,102,"IEV","happy",54,0.665395723103178,0,35.9654084984667,2573,186.194595123117
2,103,"IEV","happy",21,0.895849157715479,21,18.4723689665615,374,189.210304382257
2,104,"IEV","happy",25,0.87337306660342,25,22.1975898624408,923,192.62582646677
2,105,"IEV","happy",33,0.812454609556454,33,26.7467742800376,1606,196.574511565035
2,106,"IEV","happy",49,0.698053287047066,49,34.2680763852617,2389,201.306314629386
