"run","trial","rewFunc","emotion","magnitude","probability","score","ev","rt","starttime"
1,1,"CEV","scram",51,0.697285714285714,0,35.6054285714286,1419,1.72263625683263
1,2,"CEV","scram",59,0.608571428571429,0,35.7828571428571,2040,6.25235777173657
1,3,"CEV","scram",41,0.843285714285714,41,34.4701428571429,397,8.86833298648708
1,4,"CEV","scram",42,0.844142857142857,42,35.3117142857143,391,11.6838992106495
1,5,"CEV","scram",79,0.467285714285714,79,37,3029,17.032141794567
1,6,"CEV","scram",79,0.464857142857143,0,36.5351428571429,3046,22.4970260186819
1,7,"CEV","scram",76,0.462571428571429,76,35.1497142857143,3062,28.228474568692
1,8,"CEV","scram",52,0.755428571428571,52,39.2662857142857,1012,31.810660572839
1,9,"CEV","scram",53,0.736428571428571,53,39.2092857142857,1145,35.1261769302655
1,10,"CEV","scram",75,0.460285714285714,75,34.6985714285714,3078,40.8742770380341
1,11,"CEV","scram",46,0.755571428571429,46,34.7332857142857,1011,44.3065213595983
1,12,"CEV","scram",52,0.762714285714286,52,39.2881428571429,961,47.9386226461502
1,13,"CEV","scram",84,0.462857142857143,0,38.8514285714286,3060,53.42017910094
1,14,"CEV","scram",49,0.753285714285714,49,37,1027,56.619129526196
1,15,"CEV","scram",53,0.750857142857143,53,40.0034285714286,1044,59.8847149567446
1,16,"CEV","scram",51,0.753285714285714,51,38.5065714285714,1027,63.3335815026658
1,17,"CEV","scram",77,0.465285714285714,0,35.6041428571429,3043,68.6485304696253
1,18,"CEV","scram",44,0.846142857142857,44,37,377,71.547577415593
1,19,"CEV","scram",54,0.758142857142857,0,40.7907142857143,993,75.2129960651509
1,20,"CEV","scram",64,0.620142857142857,64,39.4805714285714,1959,79.7948434787104
1,21,"CEV","scram",61,0.608285714285714,61,37,2042,84.4599553854205
1,22,"CEV","scram",64,0.605857142857143,0,38.8175714285714,2059,88.6919664370362
1,23,"CEV","scram",80,0.470285714285714,80,37.4702857142857,3008,93.8735515268054
1,24,"CEV","scram",49,0.748857142857143,49,37,1058,97.3057251690188
1,25,"CEV","scram",76,0.479857142857143,76,36.5201428571429,2941,102.620670224889
1,26,"CEV","scram",65,0.584714285714286,0,38.1694285714286,2207,107.352426076541
1,27,"CEV","scram",50,0.765571428571429,50,38.5311428571429,941,110.568051805487
1,28,"CEV","scram",52,0.758428571428571,52,39.2752857142857,991,113.983629204216
1,29,"CEV","scram",78,0.461,78,36.078,3073,119.481750334147
1,30,"CEV","scram",82,0.470428571428571,82,38.4112857142857,3007,124.663464490557
1,31,"CEV","scram",47,0.763428571428571,47,36.2365714285714,956,128.145605097874
1,32,"CEV","scram",74,0.470571428571429,74,34.6471428571429,3006,133.677158689126
1,33,"CEV","scram",80,0.458714285714286,80,36.5412857142857,3089,138.992079440271
1,34,"CEV","scram",89,0.432571428571429,0,38.2977142857143,3272,144.940068640048
1,35,"CEV","scram",53,0.746857142857143,53,39.2405714285714,1072,148.588880430325
1,36,"CEV","scram",78,0.466,0,36.534,3038,154.153706686222
1,37,"CEV","scram",46,0.746857142857143,46,34.0125714285714,1072,157.452671778155
1,38,"CEV","scram",49,0.758857142857143,49,37,988,160.968135614996
1,39,"CEV","scram",53,0.756428571428571,53,40.0257142857143,1005,164.250425403239
1,40,"CEV","scram",46,0.746142857142857,46,34.0154285714286,1077,167.815885817865
1,41,"CEV","scram",77,0.463714285714286,0,35.6088571428571,3054,173.297429421917
1,42,"CEV","scram",63,0.608142857142857,63,38.2162857142857,2043,177.629323559231
1,43,"CEV","scram",64,0.594714285714286,0,38.1894285714286,2137,182.294469269109
1,44,"CEV","scram",54,0.744714285714286,54,39.9788571428571,1087,185.560047156876
1,45,"CEV","scram",42,0.842285714285714,42,35.3154285714286,404,188.592387021286
1,46,"CEV","scram",46,0.749571428571429,46,34.7512857142857,1053,192.074582942761
1,47,"CEV","scram",51,0.766285714285714,51,39.2988571428571,936,195.490098881302
1,48,"CEV","scram",48,0.759142857142857,48,36.2408571428571,986,199.055658470606
1,49,"CEV","scram",63,0.614,63,38.842,2002,203.487484861864
1,50,"CEV","scram",55,0.616428571428571,55,33.9178571428571,1985,208.052651663776
1,51,"CEV","scram",64,0.609285714285714,0,38.8278571428571,2035,212.517833691207
1,52,"CEV","scram",63,0.621142857142857,63,38.8634285714286,1952,216.749831053894
1,53,"CEV","scram",81,0.476,0,38.428,2968,222.098028101376
1,54,"CEV","scram",52,0.749857142857143,52,39.2495714285714,1051,225.680209914921
1,55,"CEV","scram",59,0.607,59,35.786,2051,230.212040636456
1,56,"CEV","scram",66,0.607,66,40.035,2051,234.893832875416
1,57,"CEV","scram",48,0.766571428571429,0,37,934,238.059462305973
1,58,"CEV","scram",63,0.616714285714286,0,38.8501428571429,1983,242.324738199939
1,59,"CEV","scram",47,0.742857142857143,47,34.7714285714286,1100,245.756935029407
1,60,"CEV","scram",77,0.464428571428571,0,35.6067142857143,3049,251.338423738256
1,61,"CEV","scram",64,0.609571428571429,0,38.8287142857143,2033,255.703679378261
1,62,"CEV","scram",46,0.771571428571429,46,35.4568571428571,899,258.786007998278
1,63,"CEV","scram",41,0.807285714285714,0,32.9635714285714,649,262.118212230853
2,64,"IEV","happy",40,0.747130662886686,0,29.6245964064173,2088,2.38844238582533
2,65,"IEV","happy",22,0.872878564641592,22,18.7758844753515,931,5.60406364500523
2,66,"IEV","happy",73,0.580718526135616,0,42.6478633339008,3014,11.2521326035494
2,67,"IEV","happy",22,0.891583526740693,22,19.2955470853067,532,14.0678907515248
2,68,"IEV","happy",21,0.86390892396805,0,18.2950760997135,1064,17.7166896910639
2,69,"IEV","happy",111,0.460640760387315,0,51.122923100115,3597,23.9479724378325
2,70,"IEV","happy",17,0.883744912274118,17,15.3361699705601,731,26.9636610239977
2,71,"IEV","happy",25,0.865134685079128,25,21.5883674623695,1047,30.2458879550686
2,72,"IEV","happy",30,0.831794401696714,30,24.7265280048638,1430,34.3112348078284
2,73,"IEV","happy",32,0.79733953902819,32,25.8269884854885,1730,38.3765554002021
2,74,"IEV","happy",42,0.772856588147119,0,32.7641663910567,1913,42.5751641619718
2,75,"IEV","happy",28,0.821113270052943,28,23.3999375095112,1530,46.4905640241923
2,76,"IEV","happy",32,0.824836021088523,32,26.2981503253078,1496,50.5725465108408
2,77,"IEV","happy",30,0.84013588128563,30,25.4775832292411,1346,54.1547115625581
2,78,"IEV","happy",31,0.830140114513644,31,25.7364198901395,1446,57.9868019539863
2,79,"IEV","happy",29,0.833630481914538,29,24.5253312272497,1412,61.8355218331562
2,80,"IEV","happy",30,0.838591595380524,30,24.8109507361734,1362,65.5842893441441
2,81,"IEV","happy",31,0.833630481914538,31,26.1925921910788,1412,69.3830229820451
2,82,"IEV","happy",106,0.454370787561155,0,48.1921341908212,3627,75.4477448950056
2,83,"IEV","happy",35,0.821334846051451,0,29.1255835172477,1528,79.2131187064806
2,84,"IEV","happy",24,0.841848097862611,24,20.2341335004153,1328,82.7786254957318
2,85,"IEV","happy",31,0.835440066456097,31,25.9961245884321,1394,86.4607560458826
2,86,"IEV","happy",58,0.661738323087413,58,38.2088319599438,2593,91.7423206022941
2,87,"IEV","happy",66,0.64014578028814,66,42.1905808211731,2709,96.7406977702631
2,88,"IEV","happy",70,0.595047663274991,70,41.8054333443719,2942,101.97234257427
2,89,"IEV","happy",75,0.585114052460405,75,44.1473518368634,2992,107.603782324353
2,90,"IEV","happy",73,0.611546031991866,0,44.4742939178555,2858,112.702122197137
2,91,"IEV","happy",63,0.654364410733415,0,41.3189276692423,2633,117.883771820227
2,92,"IEV","happy",38,0.75916248886338,38,28.5824668190744,2008,122.582230981905
2,93,"IEV","happy",79,0.578715777359539,79,45.6572729893671,3024,128.247000666335
2,94,"IEV","happy",81,0.57530442995034,0,46.4117524027775,3041,133.578576327534
2,95,"IEV","happy",19,0.869007645881563,19,16.7191947256739,991,136.960914306226
2,96,"IEV","happy",28,0.816156947269639,28,23.108239941204,1574,140.876191806514
2,97,"IEV","happy",47,0.749268506805613,47,35.4359666219746,2074,145.341381376726
2,98,"IEV","happy",43,0.773699330844977,0,33.4666047258327,1907,149.490011719405
2,99,"IEV","happy",53,0.683373189727739,53,36.0340874184977,2473,154.455053645186
2,100,"IEV","happy",55,0.683373189727739,55,37.4008337979532,2473,159.520065539051
2,101,"IEV","happy",58,0.674450200391356,58,39.3644236400786,2523,164.285139871179
