"run","trial","rewFunc","emotion","magnitude","probability","score","ev","rt","clock_onset","isi_onset","feedback_onset","iti_onset","iti_ideal","image","pushidx"
1,1,"CEV","scram",75,0.478285714285714,0,36.0434285714286,2892,3565,6525,6863,7675,0,NA,6457
1,2,"CEV","scram",44,0.801428571428571,0,35.3971428571429,616,9043,9739,10044,10889,0,NA,9659
1,3,"CEV","scram",47,0.741,47,34.777,1050,11952,13071,13376,14221,0,NA,13002
1,4,"CEV","scram",49,0.727428571428571,49,35.5451428571429,1134,15490,16703,17009,17854,0,NA,16624
1,5,"CEV","scram",51,0.729142857142857,51,37,1139,19017,20219,20524,21369,0,NA,20156
1,6,"CEV","scram",49,0.738714285714286,49,36.2612857142857,1069,22633,23767,24072,24918,0,NA,23702
1,7,"CEV","scram",46,0.736285714285714,46,34.0548571428571,1085,26432,27583,27888,28733,0,NA,27517
1,8,"CEV","scram",58,0.674428571428571,58,39.0232857142857,1514,30147,31731,32036,32881,0,NA,31661
1,9,"CEV","scram",62,0.622142857142857,62,38.8664285714286,1886,33896,35846,36152,36997,0,NA,35782
1,10,"CEV","scram",58,0.588857142857143,58,34.0557142857143,2104,38512,40695,41000,41845,0,NA,40616
1,11,"CEV","scram",59,0.600857142857143,59,35.1974285714286,2036,43110,45210,45515,46360,0,NA,45146
1,12,"CEV","scram",62,0.622285714285714,0,38.8668571428571,1883,47875,49825,50130,50975,0,NA,49758
1,13,"CEV","scram",59,0.674714285714286,59,39.6988571428571,1510,52241,53823,54129,54974,0,NA,53751
1,14,"CEV","scram",49,0.753285714285714,49,37,960,55989,57022,57327,58173,0,NA,56949
1,15,"CEV","scram",71,0.553285714285714,71,39.2131428571429,2363,59239,61671,61976,62821,0,NA,61602
1,16,"CEV","scram",75,0.503428571428571,75,38.0068571428571,2715,64087,66869,67174,68019,0,NA,66802
1,17,"CEV","scram",69,0.510571428571429,0,35.4682857142857,2657,69136,71867,72172,73017,0,NA,71793
1,18,"CEV","scram",68,0.541571428571429,68,37,2442,74384,76899,77204,78049,0,NA,76826
1,19,"CEV","scram",73,0.546428571428571,0,39.7321428571429,2413,79566,82047,82352,83197,0,NA,81979
1,20,"CEV","scram",78,0.498714285714286,78,38.9948571428571,2741,84664,87478,87783,88629,0,NA,87405
1,21,"CEV","scram",77,0.479857142857143,77,37,2884,90096,93043,93348,94193,0,NA,92980
1,22,"CEV","scram",85,0.448857142857143,0,38.3465714285714,3084,95211,98374,98680,99525,0,NA,98295
1,23,"CEV","scram",76,0.496571428571429,76,37.4965714285714,2759,100543,103373,103678,104523,0,NA,103302
1,24,"CEV","scram",91,0.408428571428571,0,37,3374,105741,109187,109492,110338,0,NA,109115
1,25,"CEV","scram",71,0.515571428571429,71,36.4844285714286,2625,111556,114252,114557,115402,0,NA,114181
1,26,"CEV","scram",72,0.525142857142857,0,38.0502857142857,2547,116771,119400,119705,120551,0,NA,119318
1,27,"CEV","scram",70,0.546571428571429,70,38.0931428571429,2410,121669,124149,124454,125299,0,NA,124079
1,28,"CEV","scram",71,0.546714285714286,71,38.6401428571429,2397,126569,129047,129352,130197,0,NA,128966
1,29,"CEV","scram",65,0.549,65,35.902,2398,131466,133929,134235,135080,0,NA,133864
1,30,"CEV","scram",74,0.520571428571429,74,38.5617142857143,2599,136099,138760,139066,139911,0,NA,138698
1,31,"CEV","scram",75,0.484857142857143,0,36.5151428571429,2827,141280,144192,144497,145342,0,NA,144107
1,32,"CEV","scram",61,0.558714285714286,61,34.2064285714286,2328,146712,149107,149412,150257,0,NA,149040
1,33,"CEV","scram",75,0.487285714285714,75,36.5127142857143,2818,151327,154221,154527,155372,0,NA,154145
1,34,"CEV","scram",51,0.775428571428571,51,39.3262857142857,803,156892,157770,158075,158921,0,NA,157695
1,35,"CEV","scram",48,0.830142857142857,48,39.4904285714286,419,160341,160836,161141,161986,0,NA,160760
1,36,"CEV","scram",57,0.637428571428571,0,36.3625714285714,1780,163357,165201,165507,166351,0,NA,165137
1,37,"CEV","scram",44,0.770714285714286,44,33.9171428571429,829,167423,168333,168638,169484,0,NA,168252
1,38,"CEV","scram",69,0.537428571428571,0,37,2461,170855,173398,173703,174548,0,NA,173316
1,39,"CEV","scram",80,0.489857142857143,80,38.9594285714286,2802,175670,178546,178851,179697,0,NA,178472
1,40,"CEV","scram",78,0.451857142857143,0,35.1925714285714,3066,181018,184161,184466,185311,0,NA,184084
1,41,"CEV","scram",78,0.459,0,35.623,3013,186583,189676,189981,190826,0,NA,189596
1,42,"CEV","scram",78,0.49,78,37.98,2808,191948,194824,195129,195974,0,NA,194756
1,43,"CEV","scram",75,0.504285714285714,0,38.0085714285714,2704,197347,200122,200427,201273,0,NA,200051
1,44,"CEV","scram",77,0.504285714285714,0,39.0171428571429,2704,202295,205070,205375,206221,0,NA,204999
1,45,"CEV","scram",71,0.506714285714286,71,35.9865714285714,2691,207694,210452,210757,211602,0,NA,210385
1,46,"CEV","scram",73,0.487714285714286,0,35.5368571428571,2816,212875,215767,216072,216917,0,NA,215691
1,47,"CEV","scram",73,0.525857142857143,73,38.5775714285714,2553,218240,220865,221170,222015,0,NA,220793
1,48,"CEV","scram",67,0.544857142857143,0,36.4551428571429,2419,223439,225930,226235,227080,0,NA,225858
1,49,"CEV","scram",78,0.492571428571429,0,38.4777142857143,2787,228354,231211,231516,232361,0,NA,231141
1,50,"CEV","scram",63,0.540285714285714,63,34.2985714285714,2442,233786,236309,236615,237460,0,NA,236228
1,51,"CEV","scram",70,0.552142857142857,0,38.6564285714286,2373,238734,241174,241479,242325,0,NA,241107
1,52,"CEV","scram",76,0.504571428571429,76,38.5137142857143,2702,243449,246223,246528,247373,0,NA,246151
1,53,"CEV","scram",80,0.483142857142857,0,38.4494285714286,2848,248597,251521,251826,252671,0,NA,251445
1,54,"CEV","scram",75,0.514142857142857,75,38.5424285714286,2641,254046,256752,257057,257903,0,NA,256687
1,55,"CEV","scram",67,0.533285714285714,0,35.9334285714286,2501,259228,261800,262106,262951,0,NA,261729
1,56,"CEV","scram",80,0.495142857142857,80,39.4757142857143,2775,264426,267265,267570,268415,0,NA,267201
1,57,"CEV","scram",75,0.495142857142857,0,37,2759,269491,272330,272635,273480,0,NA,272250
1,58,"CEV","scram",76,0.509571428571429,0,38.5287142857143,2663,274607,277345,277650,278495,0,NA,277270
1,59,"CEV","scram",68,0.521571428571429,68,35.4352857142857,2585,279672,282327,282632,283477,0,NA,282257
1,60,"CEV","scram",63,0.557285714285714,0,35.3281428571429,2326,284854,287258,287563,288408,0,NA,287180
1,61,"CEV","scram",76,0.509714285714286,0,38.5291428571429,2661,289585,292323,292628,293473,0,NA,292246
1,62,"CEV","scram",75,0.483428571428571,0,36.0331428571429,2849,294500,297421,297726,298572,0,NA,297349
1,63,"CEV","scram",40,0.814428571428571,0,32.9278571428571,533,300099,300703,301008,301854,0,NA,300632
2,64,"IEV","happy",22,0.854257448169967,0,18.7060768229268,1116,2760,3954,4260,5104,0,NA,3876
2,65,"IEV","happy",19,0.885985324242091,19,16.7288119852342,617,6232,6919,7225,8070,0,NA,6849
2,66,"IEV","happy",37,0.772715872321371,0,28.9124673424616,1849,9548,11468,11773,12618,0,NA,11397
2,67,"IEV","happy",30,0.849136126794208,30,25.2941223065524,1176,13747,15000,15305,16150,0,NA,14923
2,68,"IEV","happy",60,0.639201150074004,0,38.4123088226984,2654,17579,20298,20603,21448,0,NA,20233
2,69,"IEV","happy",93,0.52308111645124,0,48.4170048027475,3227,22927,26229,26535,27380,0,NA,26154
2,70,"IEV","happy",17,0.886028241613652,17,14.9494501259793,610,28509,29195,29500,30345,0,NA,29119
2,71,"IEV","happy",24,0.869804803406868,24,20.9541070602079,905,31426,32410,32716,33561,0,NA,32331
2,72,"IEV","happy",26,0.853508063672733,26,22.215642710236,1120,35040,36243,36548,37393,0,NA,36160
2,73,"IEV","happy",25,0.84013588128563,25,21.2769038228129,1277,38573,39925,40230,41075,0,NA,39850
2,74,"IEV","happy",36,0.813620401555004,0,29.0705023960146,1532,42205,43807,44112,44957,0,NA,43737
2,75,"IEV","happy",24,0.8463743775548,24,20.5357765311281,1207,46187,47472,47777,48622,0,NA,47394
2,76,"IEV","happy",30,0.833630481914538,30,25.3589617091642,1339,50053,51471,51776,52621,0,NA,51392
2,77,"IEV","happy",38,0.791034594873413,38,30.3917989638636,1717,53701,55486,55791,56636,0,NA,55418
2,78,"IEV","happy",52,0.702685921394753,52,36.729826279979,2291,57867,60234,60539,61384,0,NA,60158
2,79,"IEV","happy",66,0.627014552799357,0,41.0903944414074,2710,62665,65449,65754,66599,0,NA,65375
2,80,"IEV","happy",58,0.670482112686668,58,38.9554764019867,2469,67830,70380,70686,71531,0,NA,70299
2,81,"IEV","happy",62,0.65547544063427,62,40.5941634761827,2553,72763,75395,75701,76546,0,NA,75316
2,82,"IEV","happy",55,0.661554929815108,55,36.2365134478373,2529,77827,80427,80732,81577,0,NA,80356
2,83,"IEV","happy",52,0.719626601715335,0,37.648520297002,2195,82659,84925,85231,86076,0,NA,84854
2,84,"IEV","happy",58,0.646164932159803,0,37.3018121235789,2606,87158,89840,90146,90991,0,NA,89764
2,85,"IEV","happy",62,0.65547544063427,62,40.5941634761827,2558,92123,94755,95061,95906,0,NA,94681
2,86,"IEV","happy",64,0.627397996274081,64,40.4393642418767,2722,97438,100224,100525,101371,0,NA,100160
2,87,"IEV","happy",74,0.601558722120526,74,44.4223677300848,2843,102503,105418,105723,106569,0,NA,105346
2,88,"IEV","happy",81,0.548147687124492,0,44.4750537278338,3109,107702,110883,111188,112033,0,NA,110811
2,89,"IEV","happy",69,0.614270946528115,69,42.4793828069958,2789,113517,116366,116671,117516,0,NA,116306
2,90,"IEV","happy",70,0.62451817950683,0,43.7418588271376,2728,118600,121399,121701,122546,0,NA,121328
2,91,"IEV","happy",82,0.565022190378515,0,46.3684517297449,3022,123930,127027,127333,128178,0,NA,126952
2,92,"IEV","happy",75,0.565224470109322,75,42.4015301424448,3020,129712,132809,133114,133959,0,NA,132732
2,93,"IEV","happy",84,0.558332768418691,84,46.7081478416743,3053,135443,138573,138879,139724,0,NA,138496
2,94,"IEV","happy",90,0.538113662556657,0,48.2428864073681,3153,140859,144088,144393,145238,0,NA,144012
2,95,"IEV","happy",75,0.565224470109322,75,42.4015301424448,3029,146473,149569,149875,150720,0,NA,149502
2,96,"IEV","happy",77,0.558535874141915,77,42.7881565240531,3058,151905,155034,155340,156184,0,NA,154963
2,97,"IEV","happy",90,0.538113662556657,90,48.2428864073681,3156,157420,160649,160954,161799,0,NA,160576
2,98,"IEV","happy",89,0.541600387102402,0,48.0776998047547,3133,162884,166097,166402,167247,0,NA,166017
2,99,"IEV","happy",87,0.524526503345485,87,45.7269397502757,3217,168583,171878,172183,173029,0,NA,171800
2,100,"IEV","happy",86,0.538318920320817,0,46.0799229533208,3153,174464,177693,177998,178843,0,NA,177617
2,101,"IEV","happy",81,0.565426723963959,81,45.7823211220346,3019,179929,183024,183330,184175,0,NA,182948
2,102,"IEV","happy",76,0.562187585006446,0,42.5776957529672,3033,185711,188822,189128,189973,0,NA,188744
2,103,"IEV","happy",28,0.856868232091306,28,24.3676662080503,1086,191459,192621,192926,193771,0,NA,192545
2,104,"IEV","happy",21,0.893841748729652,21,18.869632818048,378,195108,195570,195875,196720,0,NA,195486
2,105,"IEV","happy",18,0.89511748238796,18,15.9339271612449,339,197907,198319,198624,199469,0,NA,198246
2,106,"IEV","happy",17,0.887036219031329,17,14.7744180874155,582,200656,201318,201623,202468,0,NA,201238
2,107,"IEV","happy",36,0.802594976806713,36,28.519075571701,1615,203656,205350,205655,206500,0,NA,205271
2,108,"IEV","happy",85,0.528445708858924,0,44.9949344917239,3209,207988,211264,211570,212415,0,NA,211197
2,109,"IEV","happy",65,0.609009205733727,0,39.7429911997019,2806,213453,216329,216635,217480,0,NA,216259
2,110,"IEV","happy",63,0.634651684464442,63,39.9814487307636,2666,218917,221661,221966,222811,0,NA,221583
2,111,"IEV","happy",75,0.596036556502769,75,44.7265809340518,2873,224350,227293,227598,228443,0,NA,227223
2,112,"IEV","happy",75,0.582918118476525,75,43.6859477543832,2937,229832,232840,233145,233990,0,NA,232769
2,113,"IEV","happy",73,0.575907034866112,0,41.7735454210757,2973,235329,238373,238678,239523,0,NA,238302
2,114,"IEV","happy",67,0.602935038007099,67,40.1254280993397,2830,240962,243870,244175,245020,0,NA,243792
2,115,"IEV","happy",81,0.562795419738649,81,45.3564961947263,3037,246259,249368,249673,250518,0,NA,249296
2,116,"IEV","happy",77,0.562795419738649,77,43.1053145157718,3040,252057,255166,255471,256316,0,NA,255097
2,117,"IEV","happy",80,0.572891471495709,0,45.9623767186915,2991,257606,260664,260969,261814,0,NA,260597
2,118,"IEV","happy",77,0.569667989480784,0,43.850895228777,2998,263304,266378,266684,267529,0,NA,266302
2,119,"IEV","happy",65,0.612325330709408,0,39.5322870523403,2791,268569,271428,271733,272578,0,NA,271360
2,120,"IEV","happy",105,0.466909951001378,105,49.0015673259511,3491,274019,277591,277896,278742,0,NA,277510
2,121,"IEV","happy",98,0.480484323897512,98,46.9428756776735,3434,279982,283492,283794,284639,0,NA,283416
2,122,"IEV","happy",105,0.47359476423475,105,49.6471219806867,3473,286080,289621,289926,290771,0,NA,289553
2,123,"IEV","happy",100,0.484239870449741,0,48.2102598264076,3408,291862,295351,295657,296502,0,NA,295270
2,124,"IEV","happy",110,0.449355111906692,110,49.3229601477659,3585,298043,301699,302005,302850,0,NA,301628
2,125,"IEV","happy",106,0.477144565897645,106,50.4464990466745,3440,303891,307414,307719,308564,0,NA,307331
2,126,"IEV","happy",98,0.498198511915205,0,49.0452274983438,3347,309906,313329,313634,314479,0,NA,313253
3,127,"CEVR","scram",131,0.284928492849285,0,37.2849284928493,1680,4363,6123,6429,7274,0,NA,6043
3,128,"CEVR","scram",74,0.473664959765911,74,35.1053401609364,3499,8367,11938,12243,13088,0,NA,11866
3,129,"CEVR","scram",171,0.220125786163522,0,37.6603773584906,348,14531,14954,15259,16104,0,NA,14879
3,130,"CEVR","scram",159,0.228556300741264,0,36.3143310977762,569,17346,17986,18291,19136,0,NA,17915
3,131,"CEVR","scram",157,0.239062211556212,157,37.4781244231124,814,20479,21368,21673,22518,0,NA,21293
3,132,"CEVR","scram",149,0.24128936090926,0,36.034842556363,873,23712,24650,24956,25801,0,NA,24585
3,133,"CEVR","scram",165,0.227153131029644,0,37.4543062620593,526,27344,27949,28254,29099,0,NA,27870
3,134,"CEVR","scram",156,0.232620801149632,0,36.3021375965511,666,30143,30881,31187,32032,0,NA,30809
3,135,"CEVR","scram",154,0.242010839095496,0,37.2420108390955,888,33275,34230,34535,35381,0,NA,34163
3,136,"CEVR","scram",158,0.237571087873785,0,37.4751421757476,783,36924,37779,38084,38929,0,NA,37707
3,137,"CEVR","scram",146,0.245033112582781,146,35.7748344370861,957,40324,41344,41650,42495,0,NA,41281
3,138,"CEVR","scram",148,0.253871789845128,148,37.5077435796902,1136,43689,44893,45198,46044,0,NA,44825
3,139,"CEVR","scram",143,0.251358695652174,143,35.9945652173913,1085,47338,48492,48797,49642,0,NA,48423
3,140,"CEVR","scram",149,0.253822030576245,0,37.7614660917287,1123,50887,52091,52396,53241,0,NA,52010
3,141,"CEVR","scram",139,0.260615818072047,0,36.2181525457839,1276,54286,55623,55928,56773,0,NA,55562
3,142,"CEVR","scram",148,0.247326203208556,0,36.5053475935829,1005,58318,59388,59693,60538,0,NA,59323
3,143,"CEVR","scram",134,0.271488469601677,134,36.4570230607966,1462,62084,63620,63925,64770,0,NA,63546
3,144,"CEVR","scram",92,0.384272997032641,0,35.4629080118694,2860,65916,68851,69156,70002,0,NA,68776
3,145,"CEVR","scram",147,0.250483558994197,0,36.7495164410058,1063,71298,72433,72739,73584,0,NA,72361
3,146,"CEVR","scram",152,0.245683930942895,0,37.2456839309429,960,74781,75816,76121,76966,0,NA,75741
3,147,"CEVR","scram",137,0.271488469601677,0,37.2714884696017,1466,78113,79648,79953,80798,0,NA,79579
3,148,"CEVR","scram",147,0.254570473756635,0,37.5091409475133,1144,82344,83563,83868,84713,0,NA,83488
3,149,"CEVR","scram",154,0.241109663005027,0,37.241109663005,858,85810,86745,87050,87895,0,NA,86668
3,150,"CEVR","scram",156,0.245683930942895,0,38.2284196547145,962,89392,90427,90732,91577,0,NA,90354
3,151,"CEVR","scram",121,0.302005597014925,0,36.3959888059701,1948,92675,94692,94998,95843,0,NA,94623
