"run","trial","rewFunc","emotion","magnitude","probability","score","ev","rt","starttime"
1,1,"CEV","scram",50,0.711571428571429,0,35.5768571428571,1319,1.62254616158316
1,2,"CEV","scram",42,0.843857142857143,0,35.3122857142857,393,4.51956463740498
1,3,"CEV","scram",43,0.805142857142857,43,34.5845714285714,664,7.40198293357389
1,4,"CEV","scram",48,0.744142857142857,48,35.5117142857143,1091,10.9175227577798
1,5,"CEV","scram",55,0.669571428571429,55,37,1613,14.8495646793017
1,6,"CEV","scram",61,0.595857142857143,61,36.4041428571429,2129,19.3980195806944
1,7,"CEV","scram",67,0.524428571428571,67,34.9022857142857,2629,24.6962868185656
1,8,"CEV","scram",86,0.443571428571429,0,38.3307142857143,3195,30.4610636267898
1,9,"CEV","scram",97,0.393571428571429,97,38.1807142857143,3545,36.1764263335062
1,10,"CEV","scram",106,0.334285714285714,0,35.3285714285714,3960,42.8069883183343
1,11,"CEV","scram",111,0.324714285714286,0,36.0258571428571,4027,49.2548639561719
1,12,"CEV","scram",81,0.477,0,38.431,2961,54.8863394649234
1,13,"CEV","scram",48,0.846,48,40.384,378,57.6854315282981
1,14,"CEV","scram",60,0.619857142857143,0,37,1961,61.8174170180719
1,15,"CEV","scram",76,0.515142857142857,76,39.0605714285714,2694,66.7324612485536
1,16,"CEV","scram",78,0.486714285714286,78,37.9734285714286,2893,72.0473887044209
1,17,"CEV","scram",75,0.474857142857143,0,35.5754285714286,2976,77.2956604819774
1,18,"CEV","scram",89,0.415285714285714,89,37,3393,83.2103898679779
1,19,"CEV","scram",109,0.356,0,38.78,3808,89.6915797957481
1,20,"CEV","scram",98,0.394,0,38.576,3542,95.856232007136
1,21,"CEV","scram",109,0.339285714285714,109,37,3925,102.404068673524
1,22,"CEV","scram",108,0.351142857142857,0,38.0534285714286,3842,108.435466239418
1,23,"CEV","scram",114,0.327428571428571,0,37.3274285714286,4008,114.616727265617
1,24,"CEV","scram",108,0.341714285714286,0,37,3908,120.897986755299
1,25,"CEV","scram",91,0.401285714285714,91,36.5987142857143,3491,126.762755042888
1,26,"CEV","scram",100,0.377571428571429,0,37.7551428571429,3657,132.944015789704
1,27,"CEV","scram",97,0.389428571428571,97,37.7788571428571,3574,138.792100951367
1,28,"CEV","scram",95,0.401428571428571,95,38.2042857142857,3490,144.706814972291
1,29,"CEV","scram",92,0.394285714285714,92,36.2114285714286,3540,150.671524174162
1,30,"CEV","scram",94,0.406285714285714,94,38.2188571428571,3456,156.303003035297
1,31,"CEV","scram",91,0.401428571428571,0,36.5985714285714,3490,162.317697081613
1,32,"CEV","scram",95,0.370571428571429,95,35.1471428571429,3706,168.548989047486
1,33,"CEV","scram",98,0.375428571428571,98,36.6245714285714,3672,174.447021339292
1,34,"CEV","scram",103,0.368285714285714,0,38.1048571428571,3722,180.844948450147
1,35,"CEV","scram",101,0.377857142857143,101,38.1335714285714,3655,187.076208009676
1,36,"CEV","scram",96,0.382571428571429,0,36.6174285714286,3622,193.224195253861
