run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image
1,1,DEV,happy,69,6.95E-01,69,4.80E+01,784,8.02E+00,8.82E+00,8.87E+00,9.77E+00,1.11E+01,happy_18.png
1,2,DEV,happy,77,7.15E-01,0,5.53E+01,701,2.09E+01,2.16E+01,2.16E+01,2.25E+01,2.10E+00,happy_7.png
1,3,DEV,happy,71,6.35E-01,71,4.49E+01,1051,2.46E+01,2.57E+01,2.57E+01,2.66E+01,7.10E+00,happy_10.png
1,4,DEV,happy,75,5.91E-01,75,4.42E+01,1267,3.37E+01,3.50E+01,3.51E+01,3.60E+01,4.10E+00,happy_3.png
1,5,DEV,happy,69,6.53E-01,0,4.52E+01,967,4.01E+01,4.11E+01,4.11E+01,4.20E+01,7.10E+00,happy_5.png
1,6,DEV,happy,76,4.82E-01,76,3.65E+01,1900,4.91E+01,5.10E+01,5.11E+01,5.20E+01,1.11E+01,happy_25.png
1,7,DEV,happy,83,3.93E-01,0,3.27E+01,2634,6.31E+01,6.57E+01,6.58E+01,6.67E+01,9.10E+00,happy_21.png
1,8,DEV,happy,73,6.99E-01,73,5.10E+01,767,7.58E+01,7.65E+01,7.66E+01,7.75E+01,4.10E+00,happy_6.png
1,9,DEV,happy,75,5.38E-01,0,4.05E+01,1550,8.16E+01,8.32E+01,8.32E+01,8.41E+01,1.00E-01,happy_24.png
1,10,DEV,happy,70,6.95E-01,0,4.87E+01,784,8.42E+01,8.50E+01,8.51E+01,8.60E+01,6.10E+00,happy_12.png
1,11,DEV,happy,71,6.46E-01,0,4.61E+01,1001,9.21E+01,9.31E+01,9.31E+01,9.40E+01,1.11E+01,happy_15.png
1,12,DEV,happy,83,3.57E-01,0,2.97E+01,3033,1.05E+02,1.08E+02,1.08E+02,1.09E+02,6.10E+00,happy_16.png
1,13,DEV,happy,68,7.15E-01,0,4.89E+01,701,1.15E+02,1.16E+02,1.16E+02,1.17E+02,1.00E-01,happy_23.png
1,14,DEV,happy,80,5.38E-01,0,4.32E+01,1550,1.17E+02,1.19E+02,1.19E+02,1.20E+02,1.10E+00,happy_22.png
1,15,DEV,happy,72,6.87E-01,72,4.96E+01,817,1.21E+02,1.21E+02,1.21E+02,1.22E+02,3.10E+00,happy_17.png
1,16,DEV,happy,73,6.28E-01,73,4.57E+01,1084,1.25E+02,1.27E+02,1.27E+02,1.28E+02,1.10E+00,happy_8.png
1,17,DEV,happy,80,4.20E-01,0,3.37E+01,2384,1.29E+02,1.31E+02,1.31E+02,1.32E+02,3.10E+00,happy_9.png
1,18,DEV,happy,76,6.95E-01,0,5.28E+01,784,1.35E+02,1.36E+02,1.36E+02,1.37E+02,8.10E+00,happy_11.png
1,19,DEV,happy,78,4.55E-01,0,3.56E+01,2100,1.45E+02,1.47E+02,1.47E+02,1.48E+02,5.10E+00,happy_19.png
1,20,DEV,happy,73,6.95E-01,0,5.07E+01,784,1.53E+02,1.54E+02,1.54E+02,1.55E+02,2.10E+00,happy_1.png
