run,trial,rewFunc,emotion,magnitude,probability,score,ev,rt,clock_onset,isi_onset,feedback_onset,iti_onset,iti_ideal,image
1,1,IEV,happy,15,8.92E-01,15,1.30E+01,517,8.01E+00,8.54E+00,8.59E+00,9.49E+00,1.00E-01,happy_8.png
1,2,IEV,happy,25,8.87E-01,0,2.19E+01,667,9.59E+00,1.03E+01,1.03E+01,1.12E+01,2.10E+00,happy_20.png
1,3,IEV,happy,15,8.90E-01,15,1.33E+01,567,1.33E+01,1.39E+01,1.40E+01,1.49E+01,7.10E+00,happy_23.png
1,4,IEV,happy,22,8.71E-01,22,1.91E+01,967,2.20E+01,2.29E+01,2.30E+01,2.39E+01,2.10E+00,happy_21.png
1,5,IEV,happy,14,8.92E-01,14,1.21E+01,517,2.60E+01,2.65E+01,2.66E+01,2.75E+01,1.00E-01,happy_13.png
1,6,IEV,happy,26,8.38E-01,26,2.15E+01,1367,2.76E+01,2.90E+01,2.90E+01,2.99E+01,1.00E-01,happy_16.png
1,7,IEV,happy,43,7.65E-01,43,3.26E+01,1967,3.00E+01,3.20E+01,3.20E+01,3.29E+01,1.00E-01,happy_1.png
1,8,IEV,happy,49,7.13E-01,49,3.53E+01,2300,3.30E+01,3.54E+01,3.54E+01,3.63E+01,2.10E+00,happy_11.png
1,9,IEV,happy,59,6.51E-01,59,3.83E+01,2650,3.84E+01,4.11E+01,4.11E+01,4.20E+01,1.00E-01,happy_17.png
1,10,IEV,happy,85,5.29E-01,0,4.50E+01,3267,4.21E+01,4.54E+01,4.55E+01,4.64E+01,1.11E+01,happy_18.png
1,11,IEV,happy,37,7.68E-01,37,2.86E+01,1950,5.75E+01,5.95E+01,5.95E+01,6.04E+01,9.10E+00,happy_15.png
1,12,IEV,happy,75,5.87E-01,75,4.40E+01,2983,6.95E+01,7.25E+01,7.25E+01,7.35E+01,5.10E+00,happy_24.png
1,13,IEV,happy,90,5.09E-01,0,4.55E+01,3367,7.85E+01,8.19E+01,8.20E+01,8.29E+01,9.10E+00,happy_22.png
1,14,IEV,happy,45,7.58E-01,0,3.40E+01,2017,9.20E+01,9.40E+01,9.41E+01,9.50E+01,7.10E+00,happy_6.png
1,15,IEV,happy,96,4.95E-01,96,4.77E+01,3433,1.02E+02,1.06E+02,1.06E+02,1.06E+02,1.01E+01,happy_4.png
1,16,IEV,happy,118,4.25E-01,0,5.04E+01,3767,1.17E+02,1.20E+02,1.20E+02,1.21E+02,8.10E+00,happy_14.png
1,17,IEV,happy,51,7.02E-01,51,3.61E+01,2367,1.29E+02,1.32E+02,1.32E+02,1.33E+02,8.10E+00,happy_7.png
1,18,IEV,happy,94,5.19E-01,0,4.86E+01,3317,1.41E+02,1.44E+02,1.44E+02,1.45E+02,7.10E+00,happy_5.png
1,19,IEV,happy,117,4.32E-01,0,5.05E+01,3733,1.52E+02,1.56E+02,1.56E+02,1.57E+02,8.10E+00,happy_9.png
1,20,IEV,happy,118,4.32E-01,0,5.09E+01,3733,1.65E+02,1.69E+02,1.69E+02,1.70E+02,3.10E+00,happy_2.png
1,21,IEV,happy,23,8.89E-01,23,2.07E+01,617,1.73E+02,1.73E+02,1.73E+02,1.74E+02,1.10E+00,happy_3.png
1,22,IEV,happy,43,7.55E-01,0,3.27E+01,2034,1.75E+02,1.78E+02,1.78E+02,1.78E+02,8.10E+00,happy_25.png
1,23,IEV,happy,71,6.03E-01,0,4.31E+01,2900,1.87E+02,1.89E+02,1.90E+02,1.90E+02,1.11E+01,happy_10.png
1,24,IEV,happy,96,4.91E-01,96,4.74E+01,3450,2.02E+02,2.05E+02,2.05E+02,2.06E+02,5.10E+00,happy_12.png
1,25,IEV,happy,102,4.70E-01,0,4.79E+01,3550,2.11E+02,2.15E+02,2.15E+02,2.16E+02,9.10E+00,happy_19.png
1,26,IEV,happy,87,5.22E-01,0,4.53E+01,3300,2.25E+02,2.28E+02,2.28E+02,2.29E+02,2.10E+00,happy_25.png
1,27,IEV,happy,15,8.94E-01,15,1.34E+01,434,2.31E+02,2.31E+02,2.32E+02,2.32E+02,5.10E+00,happy_17.png
1,28,IEV,happy,35,7.93E-01,35,2.79E+01,1767,2.38E+02,2.39E+02,2.39E+02,2.40E+02,8.10E+00,happy_5.png
1,29,IEV,happy,118,4.43E-01,118,5.23E+01,3683,2.48E+02,2.52E+02,2.52E+02,2.53E+02,3.10E+00,happy_18.png
1,30,IEV,happy,109,4.50E-01,109,4.89E+01,3650,2.56E+02,2.60E+02,2.60E+02,2.61E+02,7.10E+00,happy_8.png
1,31,IEV,happy,124,4.29E-01,0,5.32E+01,3750,2.68E+02,2.72E+02,2.72E+02,2.73E+02,1.10E+00,happy_22.png
1,32,IEV,happy,110,4.43E-01,110,4.87E+01,3683,2.74E+02,2.77E+02,2.77E+02,2.78E+02,1.11E+01,happy_21.png
1,33,IEV,happy,116,4.36E-01,116,5.04E+01,3717,2.89E+02,2.93E+02,2.93E+02,2.94E+02,7.10E+00,happy_7.png
1,34,IEV,happy,122,4.15E-01,0,5.08E+01,3817,3.01E+02,3.05E+02,3.05E+02,3.06E+02,9.10E+00,happy_9.png
